"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Alex Avila","ARI",".287","2.08","22.9%","52.1%","25.0%","0.0%","37.5%","3","6.0%","0","0.0%","46.9%","37.5%","15.6%","5.2%","41.7%","53.1%","7476"
"Joey Gallo","TEX",".368","0.58","25.6%","27.2%","47.2%","11.9%","37.3%","3","8.8%","3","75.0%","52.7%","26.4%","20.9%","13.2%","34.9%","51.9%","14128"
"Miguel Sano","MIN",".319","0.88","21.2%","36.9%","41.9%","8.6%","36.6%","7","8.5%","0","0.0%","55.4%","29.3%","15.3%","9.0%","38.3%","52.7%","12164"
"Aaron Judge","NYY",".360","1.25","27.3%","40.3%","32.4%","2.6%","35.1%","6","6.3%","0","0.0%","38.7%","34.5%","26.9%","9.2%","37.0%","53.8%","15640"
"Yordan Alvarez","HOU",".366","1.02","24.9%","38.0%","37.1%","1.2%","32.9%","3","3.6%","0","0.0%","38.5%","37.6%","24.0%","10.0%","38.9%","51.1%","19556"
"Christian Yelich","MIL",".355","1.20","20.9%","43.2%","35.9%","7.5%","32.8%","10","6.2%","0","0.0%","39.3%","37.4%","23.3%","14.4%","34.8%","50.8%","11477"
"Fernando Tatis Jr.","SDP",".410","1.51","22.4%","46.6%","30.9%","5.8%","31.9%","15","14.4%","2","50.0%","41.9%","36.6%","21.6%","21.1%","37.0%","41.9%","19709"
"Nelson Cruz","MIN",".351","0.98","20.2%","39.6%","40.2%","7.6%","31.3%","12","9.3%","0","0.0%","41.7%","32.8%","25.5%","12.0%","35.6%","52.5%","2434"
"Franmil Reyes","- - -",".279","1.28","21.4%","44.1%","34.5%","7.6%","31.1%","6","3.9%","0","0.0%","38.3%","38.6%","23.2%","13.9%","38.6%","47.5%","14566"
"Pete Alonso","NYM",".280","0.98","18.0%","40.5%","41.5%","13.3%","30.6%","12","7.1%","0","0.0%","45.8%","36.7%","17.5%","15.8%","42.0%","42.2%","19251"
"George Springer","HOU",".305","1.25","19.7%","44.6%","35.7%","8.3%","29.5%","13","7.9%","0","0.0%","40.3%","37.0%","22.7%","16.5%","38.4%","45.1%","12856"
"Eugenio Suarez","CIN",".312","0.85","21.7%","36.0%","42.3%","11.4%","29.5%","10","7.1%","0","0.0%","52.0%","26.8%","21.2%","15.1%","38.3%","46.7%","12552"
"Mitch Garver","MIN",".277","0.82","13.7%","38.9%","47.3%","9.3%","29.0%","6","6.8%","0","0.0%","51.3%","27.4%","21.2%","18.1%","34.5%","47.3%","15161"
"Aristides Aquino","CIN",".266","0.77","20.4%","34.7%","44.9%","19.7%","28.8%","2","3.9%","0","0.0%","49.7%","28.6%","21.8%","20.4%","40.8%","38.8%","15482"
"Jake Cave","MIN",".358","2.43","25.0%","53.1%","21.9%","0.0%","28.6%","3","4.4%","0","0.0%","41.4%","33.6%","25.0%","5.5%","42.2%","52.3%","14477"
