"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Roberto Perez","CLE",".285","1.56","17.1%","50.6%","32.3%","3.5%","28.2%","3","2.3%","1","10.0%","33.0%","36.6%","30.4%","15.0%","44.7%","40.3%","2900"
"Jorge Soler","KCR",".294","0.95","19.5%","39.3%","41.2%","8.8%","28.1%","11","6.7%","0","0.0%","46.7%","31.1%","22.2%","13.0%","40.2%","46.7%","14221"
"Willson Contreras","CHC",".314","1.48","15.8%","50.2%","34.0%","8.0%","27.3%","10","7.7%","1","100.0%","41.2%","32.7%","26.2%","21.9%","40.8%","37.3%","11609"
"Eloy Jimenez","CHW",".308","1.41","18.2%","47.9%","33.9%","7.9%","27.2%","10","6.2%","0","0.0%","43.2%","33.6%","23.2%","18.2%","44.0%","37.8%","17484"
"Ryan McMahon","COL",".323","1.82","21.3%","50.8%","27.9%","5.6%","27.0%","7","4.3%","1","33.3%","33.9%","38.2%","28.0%","14.6%","41.3%","44.1%","15112"
"Max Muncy","LAD",".283","0.98","23.5%","37.8%","38.7%","3.8%","26.5%","14","10.9%","1","100.0%","44.2%","32.2%","23.7%","11.7%","42.1%","46.2%","13301"
"Shohei Ohtani","LAA",".354","2.03","25.9%","49.6%","24.5%","2.9%","26.5%","15","10.9%","0","0.0%","30.9%","37.8%","31.3%","8.6%","41.7%","49.6%","19755"
"Gary Sanchez","NYY",".244","0.67","20.3%","32.1%","47.6%","15.5%","26.4%","7","8.0%","0","0.0%","49.8%","29.5%","20.7%","19.9%","38.0%","42.1%","11442"
"Joc Pederson","LAD",".249","1.02","17.4%","41.8%","40.9%","15.8%","25.9%","7","4.9%","1","100.0%","49.0%","33.1%","17.9%","16.4%","38.4%","45.2%","11899"
"Mike Trout","LAA",".298","0.49","26.6%","24.3%","49.2%","9.8%","25.9%","10","11.6%","0","0.0%","42.4%","33.3%","24.3%","13.0%","43.2%","43.8%","10155"
"Josh Donaldson","ATL",".292","1.16","21.5%","42.2%","36.4%","12.5%","25.7%","14","8.4%","0","0.0%","48.5%","26.8%","24.7%","15.2%","37.6%","47.2%","5038"
"Carlos Correa","HOU",".303","0.99","21.3%","39.1%","39.6%","9.8%","25.6%","11","13.6%","0","0.0%","38.6%","34.8%","26.6%","20.8%","34.3%","44.9%","14162"
"Jorge Alfaro","MIA",".364","2.07","21.9%","52.7%","25.4%","0.0%","25.4%","13","8.8%","0","0.0%","32.3%","36.9%","30.8%","17.9%","38.4%","43.7%","12180"
"Ronald Acuna Jr.","ATL",".337","1.01","24.4%","38.0%","37.6%","4.8%","24.8%","19","11.4%","0","0.0%","40.1%","32.8%","27.1%","14.1%","40.1%","45.8%","18401"
"Cody Bellinger","LAD",".302","0.74","26.2%","31.5%","42.4%","8.9%","24.6%","15","10.6%","3","75.0%","47.9%","32.3%","19.8%","13.2%","37.6%","49.2%","15998"
"Javier Baez","CHC",".345","1.59","18.1%","50.3%","31.6%","3.4%","24.4%","20","10.6%","0","0.0%","36.1%","36.1%","27.9%","18.0%","44.6%","37.4%","12979"
"Danny Santana","TEX",".353","1.15","24.7%","40.2%","35.1%","6.1%","24.3%","10","7.6%","0","0.0%","42.1%","32.0%","25.9%","12.8%","42.1%","45.1%","10322"
"Mitch Moreland","BOS",".271","1.29","19.9%","45.1%","35.0%","2.5%","24.1%","2","2.0%","0","0.0%","47.3%","31.0%","21.7%","11.5%","53.1%","35.4%","3086"
"Kyle Schwarber","CHC",".276","0.90","19.8%","38.0%","42.2%","8.9%","24.1%","8","5.6%","4","80.0%","40.1%","30.9%","29.0%","12.7%","45.4%","42.0%","16478"
"Keston Hiura","MIL",".402","1.00","24.0%","38.0%","38.0%","8.9%","24.1%","3","3.8%","0","0.0%","30.3%","40.4%","29.3%","16.8%","38.9%","44.2%","20003"
"Josh Bell","PIT",".288","1.18","18.8%","44.0%","37.3%","6.5%","23.9%","6","3.3%","0","0.0%","42.5%","33.2%","24.3%","13.2%","41.3%","45.4%","13145"
"Garrett Cooper","MIA",".357","2.25","24.6%","52.2%","23.2%","7.9%","23.8%","6","4.2%","0","0.0%","33.5%","34.2%","32.4%","18.8%","40.1%","41.2%","15279"
"Matt Olson","OAK",".300","0.70","24.0%","31.4%","44.6%","13.8%","23.7%","6","5.6%","5","100.0%","51.7%","30.1%","18.2%","15.6%","34.1%","50.3%","14344"
"Trey Mancini","BAL",".326","1.44","22.2%","45.9%","31.9%","5.4%","23.6%","17","8.0%","0","0.0%","35.8%","37.5%","26.7%","15.7%","47.0%","37.3%","15149"
"Freddie Freeman","ATL",".318","1.12","27.5%","38.3%","34.1%","4.3%","23.6%","5","2.8%","0","0.0%","40.5%","30.9%","28.6%","12.3%","40.9%","46.8%","5361"
"Domingo Santana","SEA",".347","1.38","26.6%","42.6%","30.8%","1.1%","23.6%","9","7.3%","0","0.0%","39.4%","34.6%","26.0%","12.8%","44.3%","42.9%","10348"
"Hunter Renfroe","SDP",".239","0.76","15.8%","36.3%","47.9%","11.4%","23.6%","5","4.7%","0","0.0%","55.8%","31.2%","13.0%","15.4%","37.7%","46.9%","15464"
"Bryce Harper","PHI",".313","1.01","23.9%","38.3%","37.8%","5.4%","23.5%","10","6.6%","4","80.0%","37.8%","37.8%","24.3%","10.5%","41.4%","48.1%","11579"
"Jordan Luplow","CLE",".313","1.03","20.7%","40.2%","39.0%","7.8%","23.4%","5","7.6%","0","0.0%","49.7%","30.3%","20.0%","12.1%","47.9%","40.0%","16424"
"J.D. Martinez","BOS",".342","1.23","22.4%","42.8%","34.8%","2.6%","23.4%","14","7.4%","0","0.0%","41.2%","32.4%","26.5%","10.2%","43.9%","45.9%","6184"
"Jose Altuve","HOU",".303","1.53","17.6%","49.9%","32.5%","10.5%","23.3%","19","9.3%","6","46.2%","50.0%","32.7%","17.3%","17.5%","41.7%","40.8%","5417"
"Jesse Winker","CIN",".286","1.96","26.4%","48.7%","24.9%","4.3%","23.2%","2","1.5%","0","0.0%","39.9%","36.3%","23.7%","15.5%","43.2%","41.4%","13590"
"J.D. Davis","NYM",".355","1.56","22.9%","47.0%","30.2%","4.2%","23.2%","11","7.4%","0","0.0%","38.4%","37.8%","23.8%","11.1%","47.6%","41.3%","16219"
"Hunter Pence","TEX",".333","1.26","19.6%","44.7%","35.6%","6.4%","23.1%","11","11.2%","0","0.0%","36.5%","30.6%","32.9%","14.2%","43.4%","42.5%","8252"
"Michael Chavis","BOS",".347","1.27","19.5%","45.0%","35.5%","7.7%","23.1%","10","10.1%","0","0.0%","37.3%","39.1%","23.6%","20.9%","45.9%","33.2%","17321"
"Kole Calhoun","LAA",".265","1.10","22.3%","40.8%","36.9%","8.3%","22.9%","2","1.3%","1","50.0%","50.5%","29.3%","20.2%","13.5%","44.1%","42.3%","11200"
"Teoscar Hernandez","TOR",".293","0.90","17.8%","39.0%","43.2%","12.3%","22.8%","8","7.8%","0","0.0%","48.7%","29.1%","22.3%","16.2%","40.0%","43.8%","13066"
"Matt Adams","WSN",".284","0.69","23.6%","31.3%","45.1%","12.5%","22.7%","5","8.2%","1","100.0%","51.5%","28.1%","20.4%","18.9%","42.3%","38.8%","9393"
"Bo Bichette","TOR",".368","1.31","22.6%","43.8%","33.6%","10.2%","22.4%","7","10.9%","1","100.0%","39.5%","29.9%","30.6%","15.6%","51.7%","32.7%","19612"
"Derek Dietrich","CIN",".176","0.72","17.0%","34.7%","48.3%","16.5%","22.4%","1","1.6%","1","50.0%","48.3%","28.1%","23.6%","23.6%","37.6%","38.8%","10542"
"Tom Murphy","SEA",".340","0.74","19.0%","34.5%","46.6%","6.2%","22.2%","3","5.0%","0","0.0%","50.6%","28.7%","20.7%","16.7%","45.4%","37.9%","13499"
"Juan Soto","WSN",".312","1.12","21.2%","41.6%","37.2%","4.6%","22.2%","8","4.7%","1","20.0%","39.4%","34.1%","26.4%","12.5%","46.2%","41.3%","20123"
"Marcell Ozuna","STL",".257","1.18","23.4%","41.4%","35.2%","9.9%","22.1%","11","7.1%","0","0.0%","49.5%","31.7%","18.8%","11.8%","39.8%","48.4%","10324"
"Jason Castro","MIN",".307","0.92","24.7%","36.0%","39.3%","3.4%","22.0%","6","11.1%","0","0.0%","39.7%","32.5%","27.8%","11.9%","36.4%","51.7%","8722"
"Victor Caratini","CHC",".305","1.86","23.9%","49.5%","26.6%","6.0%","22.0%","2","2.2%","0","0.0%","27.1%","44.7%","28.2%","14.4%","52.1%","33.5%","14968"
"Austin Riley","ATL",".293","0.54","25.0%","26.2%","48.8%","12.2%","22.0%","3","6.8%","0","0.0%","36.3%","40.5%","23.2%","23.2%","34.5%","42.3%","18360"
"Brandon Lowe","TBR",".377","0.71","26.9%","30.2%","42.9%","6.4%","21.8%","6","10.9%","2","100.0%","44.6%","34.8%","20.7%","11.4%","45.7%","42.9%","18882"
"Rowdy Tellez","TOR",".267","1.02","23.7%","38.5%","37.7%","10.3%","21.6%","1","1.0%","0","0.0%","42.0%","39.3%","18.7%","15.6%","42.8%","41.6%","15679"
"Gleyber Torres","NYY",".296","0.89","20.9%","37.2%","41.9%","8.5%","21.5%","7","4.5%","0","0.0%","44.4%","31.9%","23.6%","14.9%","45.6%","39.5%","16997"
"Daniel Vogelbach","SEA",".232","0.74","22.2%","33.0%","44.8%","7.8%","21.3%","4","3.8%","0","0.0%","41.3%","34.0%","24.8%","19.4%","42.2%","38.4%","14130"
"Edwin Encarnacion","- - -",".239","0.61","18.6%","30.8%","50.6%","18.0%","21.1%","6","6.1%","0","0.0%","51.9%","25.5%","22.6%","19.5%","40.6%","39.9%","2151"
"Jose Abreu","CHW",".320","1.45","21.7%","46.3%","31.9%","8.9%","21.0%","15","6.6%","0","0.0%","44.3%","29.7%","26.0%","15.7%","43.7%","40.7%","15676"
"Eric Thames","MIL",".313","0.72","20.5%","33.3%","46.1%","8.4%","21.0%","2","2.3%","0","0.0%","43.0%","35.7%","21.3%","13.2%","38.4%","48.4%","3711"
"Luke Voit","NYY",".345","1.14","25.7%","39.6%","34.7%","1.0%","21.0%","7","6.1%","0","0.0%","47.9%","31.6%","20.5%","13.2%","47.9%","38.9%","14811"
"Mark Canha","OAK",".308","1.01","18.4%","41.0%","40.7%","18.5%","21.0%","12","9.6%","0","0.0%","49.5%","29.5%","21.0%","18.4%","42.0%","39.7%","11445"
"Pablo Sandoval","SFG",".304","1.46","20.7%","47.1%","32.2%","10.4%","20.9%","6","6.1%","0","0.0%","29.5%","40.0%","30.5%","19.0%","39.5%","41.4%","5409"
"Shin-Soo Choo","TEX",".333","1.69","21.8%","49.1%","29.1%","1.7%","20.9%","8","4.1%","2","50.0%","40.1%","36.1%","23.8%","11.8%","43.4%","44.9%","3174"
"Jay Bruce","- - -",".200","0.53","17.3%","28.6%","54.1%","6.4%","20.8%","5","7.6%","0","0.0%","44.2%","28.1%","27.7%","17.7%","39.0%","43.3%","9892"
"Eric Hosmer","SDP",".323","2.42","20.9%","56.0%","23.1%","4.7%","20.8%","11","4.3%","1","50.0%","33.0%","39.9%","27.1%","18.2%","41.6%","40.1%","3516"
"Mike Tauchman","NYY",".333","1.25","24.9%","41.8%","33.3%","3.2%","20.6%","3","3.8%","0","0.0%","31.6%","33.2%","35.3%","15.8%","50.5%","33.7%","15274"
"Tim Beckham","SEA",".305","1.29","17.3%","46.5%","36.1%","5.5%","20.5%","9","9.6%","0","0.0%","42.1%","34.7%","23.3%","22.8%","43.1%","34.2%","7949"
"Michael Conforto","NYM",".290","0.90","23.9%","36.1%","40.0%","7.5%","20.5%","7","4.8%","1","33.3%","41.2%","31.1%","27.7%","13.6%","49.9%","36.5%","16376"
"Ryan Braun","MIL",".325","1.66","19.2%","50.4%","30.4%","8.3%","20.4%","15","8.4%","0","0.0%","41.2%","34.2%","24.6%","17.1%","37.5%","45.4%","3410"
"Ian Desmond","COL",".304","1.55","22.5%","47.1%","30.5%","10.1%","20.2%","6","3.9%","0","0.0%","34.9%","34.3%","30.9%","16.2%","45.0%","38.8%","6885"
"Lourdes Gurriel Jr.","TOR",".318","0.92","17.7%","39.4%","42.9%","10.1%","20.2%","11","12.1%","0","0.0%","39.7%","35.3%","25.0%","19.0%","37.9%","43.1%","19238"
"Yoan Moncada","CHW",".406","1.23","23.1%","42.3%","34.5%","5.6%","20.2%","7","4.6%","1","50.0%","39.6%","34.3%","26.0%","12.2%","47.9%","39.9%","17232"
"Christian Walker","ARI",".312","1.08","20.0%","41.6%","38.4%","11.8%","20.1%","5","3.2%","0","0.0%","39.5%","36.5%","24.0%","13.9%","40.0%","46.1%","13419"
"Mitch Haniger","SEA",".257","0.77","20.4%","34.7%","44.9%","14.7%","20.0%","4","6.9%","0","0.0%","50.3%","30.5%","19.2%","21.0%","43.7%","35.3%","14274"
"Trevor Story","COL",".361","0.79","24.3%","33.4%","42.3%","7.4%","19.9%","10","7.2%","1","100.0%","39.6%","32.1%","28.3%","12.2%","43.9%","43.9%","12564"
"Paul Goldschmidt","STL",".303","0.98","22.1%","38.5%","39.4%","8.8%","19.9%","17","10.2%","0","0.0%","38.0%","37.6%","24.4%","14.5%","38.0%","47.5%","9218"
"Anthony Rizzo","CHC",".306","1.35","25.3%","42.9%","31.9%","9.6%","19.9%","6","3.3%","1","50.0%","42.9%","32.4%","24.7%","18.4%","44.3%","37.3%","3473"
"Welington Castillo","CHW",".247","1.16","16.5%","44.9%","38.6%","13.1%","19.7%","4","5.6%","0","0.0%","41.8%","35.4%","22.8%","20.3%","44.9%","34.8%","3256"
"Jonathan Schoop","MIN",".298","1.18","19.8%","43.4%","36.8%","19.7%","19.7%","8","5.8%","0","0.0%","46.5%","33.0%","20.4%","23.6%","37.7%","38.7%","11265"
"Yasmani Grandal","MIL",".279","1.03","22.9%","39.1%","38.0%","12.6%","19.6%","5","3.4%","1","33.3%","39.8%","34.3%","25.9%","14.8%","39.8%","45.4%","11368"
"Wil Myers","SDP",".344","1.23","21.8%","43.1%","35.1%","13.0%","19.6%","10","8.8%","4","57.1%","46.5%","32.0%","21.6%","17.5%","35.3%","47.2%","10047"
"C.J. Cron","MIN",".277","1.16","21.5%","42.2%","36.3%","7.8%","19.5%","9","6.0%","0","0.0%","41.6%","34.6%","23.8%","16.4%","42.5%","41.1%","12546"
"Aaron Hicks","NYY",".286","1.06","15.8%","43.4%","40.8%","14.5%","19.4%","5","7.6%","0","0.0%","45.4%","30.9%","23.7%","22.4%","39.5%","38.2%","5297"
"Carlos Santana","CLE",".293","1.20","17.1%","45.2%","37.7%","9.1%","19.3%","14","6.6%","0","0.0%","45.6%","34.9%","19.5%","16.3%","40.5%","43.3%","2396"
"Brett Gardner","NYY",".265","1.16","17.6%","44.2%","38.2%","12.4%","19.3%","11","6.5%","3","50.0%","46.4%","32.9%","20.7%","20.5%","45.1%","34.5%","9927"
"David Bote","CHC",".333","1.86","23.1%","50.0%","26.9%","10.5%","19.3%","12","11.3%","0","0.0%","40.6%","34.4%","25.0%","14.6%","49.1%","36.3%","14593"
"Austin Meadows","TBR",".331","0.80","23.1%","34.1%","42.9%","9.9%","19.3%","7","5.1%","0","0.0%","45.1%","34.8%","20.1%","13.3%","41.4%","45.4%","15672"
"DJ LeMahieu","NYY",".349","1.91","23.7%","50.1%","26.2%","5.2%","19.3%","22","8.5%","0","0.0%","27.9%","38.5%","33.7%","14.3%","45.3%","40.4%","9874"
"Ramon Laureano","OAK",".342","0.91","25.1%","35.7%","39.2%","8.0%","19.2%","10","8.8%","0","0.0%","43.1%","36.3%","20.6%","16.3%","43.8%","40.0%","17128"
"Tommy Pham","TBR",".316","2.15","21.8%","53.4%","24.8%","9.1%","19.1%","25","10.5%","0","0.0%","38.7%","36.2%","25.2%","15.3%","41.3%","43.4%","2967"
"Ketel Marte","ARI",".342","1.24","22.2%","43.1%","34.8%","8.3%","19.0%","9","4.3%","2","100.0%","43.7%","35.5%","20.8%","15.7%","42.3%","42.1%","13613"
"Matt Chapman","OAK",".270","0.96","15.5%","41.5%","43.1%","17.5%","19.0%","19","10.4%","0","0.0%","42.4%","34.6%","23.0%","15.9%","38.7%","45.3%","16505"
"Tyler Flowers","ATL",".325","1.31","20.2%","45.2%","34.5%","12.1%","19.0%","6","7.9%","0","0.0%","42.3%","33.3%","24.4%","14.3%","44.0%","41.7%","9134"
"Rougned Odor","TEX",".244","0.73","17.4%","34.7%","47.9%","13.8%","18.8%","8","6.9%","6","50.0%","47.4%","33.5%","19.1%","17.9%","36.4%","45.7%","12282"
"Alex Bregman","HOU",".281","0.69","22.5%","31.5%","45.9%","11.8%","18.6%","3","2.0%","0","0.0%","45.3%","36.3%","18.4%","14.8%","40.3%","44.9%","17678"
"James McCann","CHW",".359","1.38","23.5%","44.4%","32.1%","7.2%","18.6%","6","4.5%","0","0.0%","37.6%","32.0%","30.4%","13.9%","46.2%","39.9%","12859"
"Carson Kelly","ARI",".271","0.91","21.6%","37.3%","41.1%","10.3%","18.6%","6","6.8%","0","0.0%","41.5%","36.9%","21.6%","17.8%","33.5%","48.7%","13620"
"Starling Marte","PIT",".319","1.79","21.4%","50.5%","28.2%","5.6%","18.5%","15","6.8%","5","45.5%","39.7%","35.0%","25.3%","19.1%","43.5%","37.5%","9241"
"Jackie Bradley Jr.","BOS",".281","1.48","17.0%","49.6%","33.4%","8.8%","18.4%","8","4.7%","0","0.0%","42.2%","34.6%","23.3%","16.0%","48.3%","35.8%","12984"
"Mike Yastrzemski","SFG",".325","0.78","22.8%","33.8%","43.3%","11.4%","18.4%","6","6.7%","3","60.0%","42.2%","29.5%","28.4%","17.2%","39.6%","43.3%","14854"
"Willie Calhoun","TEX",".262","0.82","19.4%","36.4%","44.2%","17.5%","18.4%","3","3.2%","0","0.0%","51.9%","32.2%","15.9%","18.6%","40.7%","40.7%","17838"
"Tommy La Stella","LAA",".282","1.37","21.4%","45.4%","33.2%","10.3%","18.4%","3","2.5%","1","50.0%","39.8%","33.7%","26.5%","14.4%","42.4%","43.2%","12371"
"Khris Davis","OAK",".264","1.13","20.5%","42.1%","37.4%","7.1%","18.3%","7","4.9%","0","0.0%","40.4%","35.9%","23.7%","11.9%","42.1%","46.0%","9112"
"Mike Moustakas","MIL",".250","0.79","18.9%","35.8%","45.3%","13.5%","18.2%","12","7.9%","1","33.3%","40.7%","30.2%","29.0%","20.8%","37.7%","41.5%","4892"
"Nolan Arenado","COL",".312","0.80","19.3%","36.0%","44.7%","15.1%","18.2%","17","9.4%","0","0.0%","42.5%","34.4%","23.1%","16.9%","40.6%","42.5%","9777"
"Keon Broxton","- - -",".292","1.42","16.7%","49.0%","34.4%","12.1%","18.2%","4","8.5%","1","14.3%","36.9%","35.9%","27.2%","18.4%","51.5%","30.1%","9253"
"Chris Davis","BAL",".270","0.98","23.4%","38.0%","38.6%","1.5%","18.2%","3","4.6%","0","0.0%","39.2%","38.6%","22.2%","11.1%","50.9%","38.0%","9272"
"Jackson Frazier","NYY",".329","0.92","19.6%","38.6%","41.8%","10.6%","18.2%","1","1.6%","0","0.0%","38.0%","36.1%","25.9%","17.7%","46.8%","35.4%","15983"
"Kris Bryant","CHC",".331","0.83","20.9%","35.9%","43.2%","11.6%","18.0%","8","5.6%","1","50.0%","46.5%","30.0%","23.5%","16.8%","47.5%","35.8%","15429"
"Max Kepler","MIN",".244","0.78","17.2%","36.1%","46.6%","15.5%","18.0%","9","5.8%","0","0.0%","53.4%","26.8%","19.8%","19.6%","38.0%","42.4%","12144"
"Wilson Ramos","NYM",".310","3.26","18.4%","62.4%","19.2%","6.4%","17.9%","12","4.7%","0","0.0%","39.8%","34.6%","25.6%","18.2%","49.6%","32.2%","1433"
"Justin Upton","LAA",".261","0.82","16.4%","37.7%","45.9%","17.9%","17.9%","3","5.5%","0","0.0%","46.6%","32.2%","21.2%","19.9%","39.0%","41.1%","5222"
"Howie Kendrick","WSN",".359","1.47","18.7%","48.4%","32.9%","2.1%","17.9%","6","4.3%","0","0.0%","34.1%","39.7%","26.2%","14.1%","40.3%","45.5%","4229"
"Ji-Man Choi","TBR",".303","1.20","23.7%","41.6%","34.7%","6.5%","17.8%","5","3.9%","1","100.0%","37.2%","38.8%","23.9%","10.4%","46.9%","42.7%","5452"
"Nomar Mazara","TEX",".312","1.43","20.5%","46.8%","32.7%","7.5%","17.8%","7","4.6%","0","0.0%","34.6%","32.1%","33.3%","19.3%","35.5%","45.3%","14553"
"Robinson Chirinos","HOU",".306","0.89","25.5%","35.0%","39.5%","11.5%","17.7%","12","14.1%","0","0.0%","47.6%","31.5%","21.0%","17.7%","42.7%","39.5%","3142"
"Charlie Blackmon","COL",".334","1.04","23.0%","39.2%","37.8%","7.7%","17.7%","9","4.8%","2","100.0%","42.8%","32.8%","24.3%","15.6%","44.1%","40.3%","7859"
"Rafael Devers","BOS",".339","1.29","21.3%","44.4%","34.3%","9.9%","17.7%","16","6.8%","1","33.3%","42.1%","30.2%","27.7%","17.7%","44.7%","37.5%","17350"
"Willy Adames","TBR",".320","1.54","22.9%","46.8%","30.3%","4.4%","17.5%","11","6.3%","0","0.0%","38.2%","35.9%","25.9%","13.4%","44.5%","42.1%","15986"
"Gio Urshela","NYY",".349","1.23","25.3%","41.2%","33.4%","10.0%","17.5%","8","5.4%","0","0.0%","39.3%","37.0%","23.7%","12.8%","43.2%","44.0%","10681"
"Yandy Diaz","TBR",".288","1.59","17.2%","50.8%","32.0%","10.0%","17.5%","4","3.1%","0","0.0%","33.2%","39.6%","27.2%","17.6%","40.0%","42.4%","16578"
"Francisco Lindor","CLE",".291","1.20","19.7%","43.7%","36.6%","13.6%","17.4%","13","5.9%","0","0.0%","44.6%","32.9%","22.5%","16.4%","41.6%","42.0%","12916"
"Chad Pinder","OAK",".284","1.67","21.9%","48.8%","29.3%","10.7%","17.3%","4","3.2%","0","0.0%","36.6%","39.7%","23.7%","16.0%","42.4%","41.6%","15191"
"Randal Grichuk","TOR",".266","0.93","18.8%","39.1%","42.1%","14.5%","17.3%","11","6.6%","0","0.0%","47.1%","32.5%","20.5%","19.3%","43.5%","37.2%","10243"
"Avisail Garcia","TBR",".340","1.46","22.3%","46.0%","31.6%","5.2%","17.2%","17","10.1%","0","0.0%","42.2%","36.5%","21.3%","18.5%","41.4%","40.1%","5760"
"A.J. Pollock","LAD",".300","1.18","19.8%","43.5%","36.7%","12.6%","17.2%","8","7.8%","0","0.0%","47.1%","32.4%","20.6%","17.2%","39.1%","43.7%","9256"
"David Dahl","COL",".386","1.28","26.1%","41.4%","32.5%","2.3%","17.2%","5","4.5%","0","0.0%","36.9%","35.4%","27.7%","13.3%","49.8%","36.9%","13744"
"Kyle Seager","SEA",".248","0.75","23.4%","32.8%","43.8%","8.1%","17.0%","6","5.9%","1","100.0%","39.2%","36.6%","24.3%","11.3%","50.8%","37.9%","9785"
"Justin Turner","LAD",".304","0.84","25.9%","33.8%","40.4%","5.0%","17.0%","10","7.5%","0","0.0%","38.2%","37.0%","24.8%","12.4%","37.2%","50.4%","5235"
"Ronald Guzman","TEX",".282","1.08","28.9%","37.0%","34.1%","8.5%","16.9%","3","4.7%","0","0.0%","38.7%","31.2%","30.1%","18.5%","42.2%","39.3%","14388"
"Cameron Maybin","NYY",".365","1.05","19.4%","41.2%","39.4%","13.8%","16.9%","9","13.2%","0","0.0%","33.5%","40.7%","25.7%","20.4%","41.9%","37.7%","5223"
"Ronny Rodriguez","DET",".254","0.88","18.8%","38.0%","43.2%","18.1%","16.9%","5","6.8%","3","42.9%","57.3%","26.6%","16.1%","18.1%","41.2%","40.7%","11875"
"Ryan O'Hearn","KCR",".230","1.29","17.7%","46.3%","35.9%","9.6%","16.9%","4","3.7%","0","0.0%","41.6%","34.6%","23.8%","14.3%","43.3%","42.4%","16442"
"Manny Machado","SDP",".274","1.02","17.1%","41.8%","41.1%","13.7%","16.8%","12","6.2%","0","0.0%","36.8%","36.1%","27.1%","19.0%","37.2%","43.7%","11493"
"Justin Smoak","TOR",".223","0.86","20.7%","36.6%","42.7%","6.8%","16.7%","4","3.5%","0","0.0%","47.9%","35.0%","17.2%","14.2%","43.4%","42.4%","9054"
"Andrew McCutchen","PHI",".299","1.23","18.3%","45.1%","36.6%","13.3%","16.7%","1","1.4%","0","0.0%","45.7%","32.3%","22.0%","12.8%","50.6%","36.6%","9847"
"Jonathan Villar","BAL",".341","1.56","19.8%","48.9%","31.3%","7.6%","16.7%","14","6.2%","4","33.3%","39.6%","33.7%","26.7%","21.8%","49.2%","29.0%","10071"
"Xander Bogaerts","BOS",".338","1.04","19.1%","41.2%","39.8%","6.1%","16.7%","21","10.2%","0","0.0%","42.6%","32.9%","24.5%","14.1%","47.2%","38.8%","12161"
