"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Aaron Judge","NYY",".340","0.86","19.3%","37.3%","43.5%","4.6%","35.6%","11","7.4%","0","0.0%","47.5%","31.8%","20.8%","7.5%","44.5%","48.0%","15640"
"Giancarlo Stanton","NYY",".227","1.21","14.8%","46.6%","38.6%","9.8%","30.4%","5","4.1%","0","0.0%","35.6%","38.3%","26.1%","14.0%","47.0%","39.0%","4949"
"Keston Hiura","MIL",".355","0.98","25.0%","37.1%","37.9%","4.3%","29.8%","5","10.9%","0","0.0%","41.9%","33.9%","24.2%","11.3%","50.0%","38.7%","20003"
"William Contreras","ATL",".344","1.66","15.1%","53.0%","31.9%","9.5%","27.0%","12","9.8%","0","0.0%","41.8%","36.2%","22.0%","16.8%","46.1%","37.1%","20503"
"Trayce Thompson","- - -",".374","0.80","29.7%","31.3%","39.1%","6.0%","26.0%","3","7.5%","0","0.0%","55.5%","28.9%","15.6%","9.4%","48.4%","42.2%","9952"
"Joey Meneses","WSN",".371","1.51","25.6%","44.8%","29.7%","3.9%","25.5%","2","2.6%","0","0.0%","39.5%","33.7%","26.7%","7.6%","56.4%","36.0%","14366"
"Yordan Alvarez","HOU",".320","0.99","21.6%","39.1%","39.4%","2.1%","25.3%","7","4.8%","0","0.0%","39.4%","39.6%","21.0%","9.2%","46.6%","44.2%","19556"
"Byron Buxton","MIN",".244","0.60","18.2%","30.7%","51.1%","12.2%","24.3%","5","7.2%","0","0.0%","58.2%","24.9%","16.9%","14.7%","43.6%","41.8%","14161"
"Kyle Schwarber","PHI",".240","0.65","15.7%","33.2%","51.1%","12.0%","24.0%","4","3.2%","3","100.0%","43.8%","36.9%","19.3%","16.4%","45.1%","38.5%","16478"
"Oneil Cruz","PIT",".317","1.42","16.5%","49.0%","34.5%","12.7%","23.9%","9","8.9%","0","0.0%","43.7%","34.5%","21.8%","18.4%","43.2%","38.3%","21711"
"Mike Trout","LAA",".323","0.44","18.7%","24.7%","56.7%","7.6%","23.5%","8","10.8%","0","0.0%","41.7%","31.3%","27.0%","13.7%","47.7%","38.7%","10155"
"Jazz Chisholm Jr.","MIA",".294","0.92","21.8%","37.4%","40.8%","8.3%","23.3%","3","5.5%","3","100.0%","50.0%","31.3%","18.7%","13.3%","50.0%","36.7%","20454"
"Michael Harris II","ATL",".361","2.07","16.7%","56.2%","27.1%","8.4%","22.9%","15","8.7%","1","50.0%","34.7%","40.6%","24.7%","18.2%","47.7%","34.1%","25931"
"Austin Riley","ATL",".315","0.98","23.5%","37.9%","38.6%","9.2%","21.8%","8","4.7%","0","0.0%","41.5%","34.4%","24.2%","12.4%","48.1%","39.5%","18360"
"Eloy Jimenez","CHW",".337","1.53","16.5%","50.4%","33.0%","4.1%","21.6%","8","7.1%","0","0.0%","37.5%","40.2%","22.3%","11.6%","44.6%","43.8%","17484"
"Julio Rodriguez","SEA",".345","1.29","18.3%","46.0%","35.7%","10.7%","21.4%","17","10.1%","0","0.0%","41.7%","35.1%","23.2%","13.4%","52.0%","34.6%","23697"
"Willson Contreras","CHC",".270","1.56","15.6%","51.4%","33.0%","13.5%","21.2%","10","6.2%","0","0.0%","44.4%","31.7%","23.8%","15.9%","42.5%","41.6%","11609"
"Jack Suwinski","PIT",".242","1.00","15.5%","42.3%","42.3%","11.1%","21.1%","4","4.4%","0","0.0%","46.9%","31.0%","22.1%","19.2%","44.1%","36.6%","22244"
"Teoscar Hernandez","TOR",".335","1.29","21.6%","44.1%","34.3%","5.9%","21.0%","10","6.5%","0","0.0%","42.1%","32.6%","25.4%","10.1%","46.1%","43.8%","13066"
"Shohei Ohtani","LAA",".320","1.10","19.8%","42.1%","38.1%","4.3%","21.0%","10","5.6%","1","33.3%","37.1%","35.0%","27.8%","8.9%","52.8%","38.3%","19755"
"Joey Bart","SFG",".326","1.19","21.1%","42.9%","36.1%","17.0%","20.8%","2","3.2%","2","100.0%","55.0%","22.1%","22.8%","23.5%","43.0%","33.6%","21524"
