"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Albert Pujols","STL",".252","0.84","16.7%","38.0%","45.3%","13.7%","20.5%","5","5.1%","0","0.0%","53.5%","29.1%","17.4%","19.4%","40.3%","40.3%","1177"
"Christopher Morel","CHC",".320","1.54","17.5%","50.0%","32.5%","12.8%","20.5%","9","7.5%","1","14.3%","45.7%","37.2%","17.0%","16.6%","46.6%","36.8%","21897"
"Paul Goldschmidt","STL",".368","0.99","18.9%","40.3%","40.8%","10.4%","20.2%","11","6.4%","0","0.0%","37.7%","36.3%","25.9%","15.1%","51.2%","33.7%","9218"
"Jake Fraley","CIN",".289","1.18","20.1%","43.3%","36.6%","1.7%","20.0%","5","7.0%","0","0.0%","45.7%","28.0%","26.2%","18.3%","54.9%","26.8%","19260"
"Vladimir Guerrero Jr.","TOR",".289","1.70","17.3%","52.1%","30.6%","11.2%","19.9%","20","7.3%","0","0.0%","39.5%","37.6%","22.8%","15.2%","46.4%","38.4%","19611"
"Nathaniel Lowe","TEX",".363","1.57","21.3%","48.1%","30.6%","6.6%","19.9%","19","8.9%","0","0.0%","33.0%","37.0%","30.0%","15.5%","49.3%","35.2%","19566"
"Joey Gallo","- - -",".219","0.53","19.4%","28.0%","52.7%","13.3%","19.4%","4","7.7%","0","0.0%","54.8%","27.7%","17.6%","20.2%","46.8%","33.0%","14128"
"Bryan Reynolds","PIT",".306","1.24","22.1%","43.2%","34.7%","4.3%","19.3%","9","5.2%","0","0.0%","40.2%","35.2%","24.6%","12.9%","57.3%","29.8%","19326"
"Eugenio Suarez","SEA",".302","0.75","20.2%","34.1%","45.7%","6.2%","19.3%","6","5.0%","0","0.0%","46.3%","30.1%","23.6%","13.4%","50.9%","35.8%","12552"
"Cal Raleigh","SEA",".226","0.51","15.8%","28.5%","55.7%","9.2%","19.1%","7","9.7%","0","0.0%","47.8%","30.0%","22.1%","15.8%","47.4%","36.8%","21534"
"Pete Alonso","NYM",".279","0.82","19.9%","36.2%","43.9%","11.0%","19.0%","9","5.2%","0","0.0%","44.8%","31.2%","24.1%","17.6%","48.5%","33.9%","19251"
"Rowdy Tellez","MIL",".215","0.86","15.6%","38.9%","45.5%","12.3%","18.7%","7","4.4%","0","0.0%","41.4%","39.7%","19.0%","17.5%","42.1%","40.4%","15679"
"Rodolfo Castro","PIT",".284","1.44","18.6%","48.0%","33.3%","15.3%","18.6%","6","7.1%","1","33.3%","45.0%","30.0%","25.0%","18.3%","57.2%","24.4%","21987"
"Joc Pederson","SFG",".310","0.80","18.9%","36.1%","45.0%","3.2%","18.3%","14","13.9%","2","50.0%","37.7%","37.0%","25.4%","13.4%","46.5%","40.1%","11899"
"Evan Longoria","SFG",".297","0.88","22.0%","36.6%","41.4%","10.4%","18.2%","6","8.8%","0","0.0%","47.8%","29.0%","23.1%","15.1%","52.7%","32.3%","9368"
"Bryce Harper","PHI",".324","1.20","24.0%","41.5%","34.5%","4.0%","18.2%","6","5.0%","1","33.3%","40.3%","34.8%","24.8%","10.0%","54.8%","35.2%","11579"
"Brandon Drury","- - -",".293","1.04","19.7%","40.9%","39.4%","9.0%","17.9%","14","8.6%","0","0.0%","47.2%","30.1%","22.7%","17.2%","47.7%","35.1%","11615"
"J.D. Davis","- - -",".360","1.33","21.2%","44.9%","33.8%","10.4%","17.9%","9","10.1%","0","0.0%","37.4%","37.4%","25.3%","15.2%","48.5%","36.4%","16219"
"Matt Olson","ATL",".274","0.92","18.7%","39.0%","42.3%","13.7%","17.9%","6","3.4%","0","0.0%","40.4%","37.3%","22.2%","16.2%","44.4%","39.3%","14344"
"Patrick Wisdom","CHC",".274","0.70","17.1%","34.1%","48.8%","15.7%","17.9%","8","8.2%","1","50.0%","51.2%","29.4%","19.4%","18.7%","45.0%","36.3%","13602"
"Jorge Soler","MIA",".256","1.04","17.7%","42.0%","40.3%","11.0%","17.8%","3","3.9%","0","0.0%","50.3%","33.7%","16.0%","16.0%","44.2%","39.8%","14221"
"Anthony Rizzo","NYY",".216","0.67","17.5%","33.2%","49.3%","10.6%","17.8%","3","2.5%","1","100.0%","48.1%","29.5%","22.4%","17.5%","50.0%","32.5%","3473"
"Christian Walker","ARI",".248","0.87","17.4%","38.3%","44.2%","10.8%","17.7%","13","7.4%","0","0.0%","42.9%","33.8%","23.3%","16.1%","46.0%","37.9%","13419"
"Hunter Renfroe","MIL",".281","0.78","17.5%","36.1%","46.5%","12.1%","17.6%","8","6.3%","1","33.3%","44.1%","32.4%","23.5%","18.4%","46.4%","35.2%","15464"
"Kevin Kiermaier","TBR",".290","1.90","20.0%","52.4%","27.6%","5.0%","17.5%","6","7.9%","0","0.0%","33.1%","33.8%","33.1%","17.2%","55.9%","26.9%","11038"
"C.J. Cron","COL",".307","0.98","20.4%","39.4%","40.1%","9.6%","17.4%","10","6.1%","0","0.0%","34.9%","38.9%","26.2%","17.1%","51.7%","31.3%","12546"
"Bryan De La Cruz","MIA",".304","1.35","27.6%","41.6%","30.9%","4.0%","17.3%","5","5.0%","0","0.0%","40.3%","36.6%","23.0%","8.2%","52.7%","39.1%","19600"
"Jeremy Pena","HOU",".298","1.41","20.7%","46.4%","32.9%","10.2%","17.3%","20","11.2%","3","50.0%","46.4%","30.9%","22.7%","16.1%","55.4%","28.6%","21636"
"Manny Machado","SDP",".337","0.91","20.6%","37.8%","41.6%","15.1%","17.2%","10","5.9%","0","0.0%","41.2%","33.8%","25.1%","16.3%","45.6%","38.0%","11493"
"Juan Soto","- - -",".249","1.28","16.2%","47.1%","36.8%","10.8%","17.2%","10","5.0%","1","100.0%","38.1%","38.1%","23.8%","19.4%","51.2%","29.4%","20123"
"Corey Seager","TEX",".242","1.03","21.0%","40.0%","39.0%","1.6%","17.1%","6","3.0%","0","0.0%","42.2%","34.3%","23.4%","10.5%","52.3%","37.2%","13624"
"Rhys Hoskins","PHI",".292","0.85","22.6%","35.6%","41.7%","11.9%","16.9%","11","7.3%","0","0.0%","45.5%","31.8%","22.6%","14.2%","53.5%","32.3%","16472"
"Jordan Luplow","ARI",".185","0.92","14.4%","41.1%","44.5%","15.4%","16.9%","3","5.0%","0","0.0%","52.7%","26.7%","20.5%","19.2%","46.6%","34.2%","16424"
"Danny Jansen","TOR",".255","0.66","15.9%","33.5%","50.6%","22.5%","16.9%","6","10.2%","0","0.0%","52.3%","31.3%","16.5%","22.2%","36.4%","41.5%","16535"
"Willy Adames","MIL",".278","0.74","20.0%","34.2%","45.9%","10.3%","16.8%","12","8.8%","0","0.0%","40.4%","34.7%","24.9%","16.7%","48.1%","35.2%","15986"
"Jose Altuve","HOU",".315","1.06","20.4%","41.0%","38.7%","12.0%","16.8%","17","9.6%","5","55.6%","51.9%","31.7%","16.3%","17.7%","52.2%","30.2%","5417"
"Luke Voit","- - -",".298","0.84","25.7%","33.9%","40.4%","4.5%","16.7%","3","2.7%","0","0.0%","48.9%","31.5%","19.6%","15.0%","47.4%","37.6%","14811"
"Ryan McMahon","COL",".311","1.36","22.7%","44.6%","32.7%","2.5%","16.5%","6","3.6%","3","75.0%","36.9%","34.0%","29.1%","9.9%","50.5%","39.6%","15112"
"Isaac Paredes","TBR",".195","0.93","12.4%","42.1%","45.5%","14.9%","16.5%","5","4.5%","0","0.0%","51.9%","27.8%","20.3%","16.2%","55.6%","28.2%","20036"
"Lars Nootbaar","STL",".248","1.13","17.4%","43.8%","38.8%","11.8%","16.5%","6","6.3%","3","60.0%","42.4%","36.6%","21.0%","16.1%","48.7%","35.3%","21454"
"Rafael Devers","BOS",".329","1.13","20.3%","42.2%","37.5%","11.4%","16.3%","9","4.8%","1","100.0%","34.0%","39.4%","26.6%","14.4%","50.0%","35.6%","17350"
"Travis d'Arnaud","ATL",".306","1.24","18.6%","45.1%","36.3%","10.8%","16.2%","8","5.8%","0","0.0%","44.8%","30.4%","24.8%","15.4%","53.3%","31.4%","7739"
"Martin Maldonado","HOU",".228","1.04","17.0%","42.4%","40.6%","7.5%","16.1%","1","1.0%","0","0.0%","44.4%","31.2%","24.4%","15.0%","56.0%","29.1%","6887"
"Chas McCormick","HOU",".308","1.23","21.8%","43.1%","35.1%","4.6%","16.1%","11","10.3%","5","83.3%","34.3%","35.8%","29.9%","10.2%","59.8%","29.9%","19599"
"Nolan Gorman","STL",".301","0.55","25.0%","26.7%","48.3%","6.9%","16.1%","2","4.2%","0","0.0%","41.1%","36.1%","22.8%","16.1%","48.9%","35.0%","22263"
"Daniel Vogelbach","- - -",".290","0.92","21.2%","37.7%","41.0%","4.5%","16.1%","3","2.9%","0","0.0%","40.3%","35.9%","23.8%","13.9%","53.1%","33.0%","14130"
"Daulton Varsho","ARI",".269","0.91","15.3%","40.4%","44.3%","11.9%","16.1%","8","5.2%","9","64.3%","54.5%","29.5%","16.0%","19.1%","47.1%","33.8%","19918"
"Jesus Sanchez","MIA",".258","1.27","16.7%","46.6%","36.7%","12.3%","16.0%","2","1.9%","0","0.0%","42.8%","30.2%","27.0%","15.8%","55.0%","29.3%","19913"
"Seth Brown","OAK",".273","0.81","20.1%","35.9%","44.1%","10.9%","16.0%","6","4.7%","1","100.0%","42.3%","34.4%","23.4%","18.6%","46.5%","34.9%","18171"
"Chad Pinder","OAK",".313","1.61","20.0%","49.4%","30.6%","8.0%","16.0%","6","5.0%","0","0.0%","41.5%","34.6%","24.0%","18.7%","53.3%","28.0%","15191"
"Mitch Haniger","SEA",".293","0.87","19.9%","37.3%","42.9%","14.5%","15.9%","4","6.7%","0","0.0%","46.0%","32.3%","21.7%","16.8%","47.2%","36.0%","14274"
"George Springer","TOR",".285","1.18","17.9%","44.5%","37.6%","11.5%","15.9%","15","8.1%","0","0.0%","48.3%","28.5%","23.2%","18.7%","49.3%","32.1%","12856"
"Adolis Garcia","TEX",".309","1.02","19.4%","40.7%","39.8%","12.9%","15.9%","15","8.6%","1","100.0%","42.3%","36.2%","21.5%","16.1%","44.6%","39.3%","19287"
"Josh Naylor","CLE",".268","1.45","17.4%","48.9%","33.7%","10.3%","15.9%","9","4.9%","0","0.0%","45.2%","34.2%","20.6%","16.8%","48.1%","35.0%","18839"
"J.T. Realmuto","PHI",".318","1.24","19.7%","44.4%","35.9%","8.6%","15.7%","14","8.1%","0","0.0%","39.2%","33.6%","27.2%","15.4%","50.3%","34.4%","11739"
"Bo Bichette","TOR",".347","1.58","20.4%","48.7%","30.9%","5.2%","15.6%","7","2.9%","0","0.0%","29.3%","36.9%","33.9%","10.6%","54.5%","34.9%","19612"
"Mookie Betts","LAD",".272","0.71","18.6%","33.7%","47.7%","6.2%","15.6%","11","6.9%","0","0.0%","45.3%","33.7%","21.0%","12.3%","49.4%","38.3%","13611"
"Tyler O'Neill","STL",".277","1.11","20.2%","42.0%","37.8%","11.1%","15.6%","10","10.0%","0","0.0%","46.6%","31.5%","21.8%","13.9%","54.2%","31.9%","15711"
"Starling Marte","NYM",".340","1.70","22.1%","49.0%","28.9%","5.7%","15.1%","17","9.4%","2","100.0%","42.5%","33.6%","23.8%","17.1%","57.5%","25.5%","9241"
"Marcell Ozuna","ATL",".252","0.87","18.8%","37.8%","43.5%","11.8%","15.0%","5","3.8%","0","0.0%","44.6%","34.4%","21.0%","16.5%","50.0%","33.5%","10324"
"Orlando Arcia","ATL",".278","1.22","16.4%","45.9%","37.7%","3.3%","15.0%","6","8.2%","0","0.0%","42.5%","36.3%","21.3%","11.9%","52.5%","35.6%","13185"
"Ramon Urias","BAL",".287","1.36","18.1%","47.2%","34.6%","14.0%","15.0%","11","7.5%","0","0.0%","41.7%","33.7%","24.7%","17.6%","48.4%","34.0%","18795"
"Mitch Garver","TEX",".228","0.70","16.8%","34.3%","48.9%","11.9%","14.9%","7","14.9%","0","0.0%","58.4%","21.9%","19.7%","19.0%","47.4%","33.6%","15161"
"Matt Chapman","TOR",".277","0.70","17.4%","34.0%","48.5%","16.6%","14.9%","7","5.5%","0","0.0%","47.7%","34.6%","17.7%","16.4%","43.4%","40.2%","16505"
"Jorge Alfaro","SDP",".364","1.60","24.2%","46.6%","29.2%","4.3%","14.9%","7","9.3%","0","0.0%","35.4%","37.3%","27.3%","15.5%","53.4%","31.1%","12180"
"Eric Haase","DET",".316","0.96","19.7%","39.3%","41.0%","12.8%","14.9%","6","6.7%","0","0.0%","45.0%","29.7%","25.3%","18.3%","52.4%","29.3%","14111"
"Trevor Story","BOS",".309","0.79","19.2%","35.6%","45.2%","14.8%","14.8%","10","11.8%","0","0.0%","42.3%","32.6%","25.1%","18.4%","48.5%","33.1%","12564"
"Salvador Perez","KCR",".285","0.78","18.0%","36.0%","46.0%","6.4%","14.7%","10","8.2%","0","0.0%","45.4%","32.7%","21.8%","11.8%","54.0%","34.2%","7304"
"Christian Yelich","MIL",".327","2.55","18.4%","58.6%","23.0%","5.3%","14.7%","15","6.2%","1","33.3%","34.4%","35.3%","30.3%","13.9%","52.2%","33.9%","11477"
"Ji-Man Choi","TBR",".320","1.41","23.0%","45.1%","31.9%","6.7%","14.7%","7","6.6%","1","100.0%","41.5%","34.3%","24.2%","10.2%","56.8%","33.1%","5452"
"Austin Slater","SFG",".361","2.02","21.6%","52.4%","25.9%","4.2%","14.6%","5","5.2%","4","80.0%","34.2%","41.6%","24.2%","12.1%","56.8%","31.1%","16153"
"Jared Walsh","LAA",".281","1.24","18.1%","45.4%","36.5%","11.7%","14.6%","5","3.9%","2","66.7%","42.1%","35.4%","22.5%","16.1%","49.1%","34.7%","18607"
"Anthony Santander","BAL",".248","0.63","18.9%","31.4%","49.8%","18.9%","14.5%","5","3.5%","1","100.0%","44.0%","35.9%","20.1%","21.2%","44.0%","34.8%","14551"
"Aristides Aquino","CIN",".277","0.87","18.4%","38.0%","43.7%","17.4%","14.5%","5","8.3%","0","0.0%","50.6%","27.8%","21.5%","30.4%","43.7%","25.9%","15482"
"Carlos Correa","MIN",".339","1.14","19.8%","42.7%","37.5%","8.6%","14.5%","13","7.5%","0","0.0%","41.0%","38.5%","20.5%","16.8%","47.2%","36.0%","14162"
"Bobby Dalbec","BOS",".293","0.95","20.2%","38.9%","40.9%","9.6%","14.5%","7","8.9%","0","0.0%","36.0%","39.4%","24.6%","14.8%","56.7%","28.6%","19966"
"Franmil Reyes","- - -",".307","1.38","18.0%","47.5%","34.5%","7.1%","14.3%","7","5.2%","0","0.0%","42.6%","29.9%","27.5%","13.4%","50.0%","36.6%","14566"
"Diego Castillo","PIT",".239","0.99","19.9%","39.8%","40.3%","5.2%","14.3%","5","6.6%","0","0.0%","42.9%","35.6%","21.5%","13.1%","49.7%","37.2%","19906"
"Kyle Tucker","HOU",".261","0.73","18.9%","34.1%","47.0%","8.1%","14.2%","7","4.6%","2","100.0%","39.9%","37.5%","22.6%","14.2%","50.3%","35.5%","18345"
"Tyrone Taylor","MIL",".272","0.87","17.9%","38.1%","44.0%","9.2%","14.2%","5","4.8%","0","0.0%","40.9%","38.0%","21.2%","14.6%","51.5%","33.9%","13675"
"Ty France","SEA",".296","1.56","21.4%","47.8%","30.7%","8.5%","14.1%","10","4.5%","0","0.0%","38.3%","34.2%","27.5%","18.0%","51.7%","30.3%","17982"
"Randy Arozarena","TBR",".325","1.54","16.4%","50.7%","32.9%","19.0%","14.1%","21","9.6%","0","0.0%","39.6%","38.0%","22.5%","19.7%","48.8%","31.5%","19290"
"Victor Caratini","MIL",".228","1.63","18.4%","50.5%","31.1%","7.8%","14.1%","2","1.9%","0","0.0%","36.7%","35.7%","27.5%","19.3%","44.9%","35.7%","14968"
"Yadiel Hernandez","WSN",".326","1.86","21.5%","51.1%","27.5%","1.6%","14.1%","5","4.2%","0","0.0%","33.0%","41.2%","25.8%","15.0%","50.2%","34.8%","19334"
"Andres Gimenez","CLE",".353","1.41","21.1%","46.2%","32.7%","12.4%","14.0%","15","8.8%","8","50.0%","40.9%","35.8%","23.3%","18.1%","56.2%","25.6%","19950"
"Taylor Ward","LAA",".325","0.81","21.8%","35.0%","43.2%","7.9%","14.0%","13","9.8%","0","0.0%","40.3%","35.8%","23.9%","12.4%","52.1%","35.5%","17548"
"Franchy Cordero","BOS",".313","1.00","22.7%","38.7%","38.7%","3.4%","13.8%","3","5.2%","1","25.0%","41.6%","32.5%","26.0%","15.6%","46.1%","38.3%","14567"
"Emmanuel Rivera","- - -",".275","1.39","16.1%","48.8%","35.1%","6.9%","13.8%","5","4.1%","0","0.0%","42.3%","31.9%","25.8%","12.1%","51.6%","36.3%","19890"
"Randal Grichuk","COL",".309","1.41","12.9%","50.9%","36.2%","8.0%","13.8%","18","9.3%","0","0.0%","37.3%","36.2%","26.5%","15.2%","48.3%","36.5%","10243"
"Ramon Laureano","OAK",".262","1.09","17.8%","43.0%","39.3%","10.5%","13.7%","9","8.7%","0","0.0%","43.8%","30.2%","26.0%","14.9%","51.7%","33.5%","17128"
"Andrew Velazquez","LAA",".274","1.38","19.5%","46.7%","33.8%","4.5%","13.6%","13","14.3%","5","29.4%","33.5%","41.0%","25.5%","15.6%","57.1%","27.4%","14196"
"Trent Grisham","SDP",".231","1.00","13.5%","43.3%","43.3%","10.4%","13.6%","6","4.8%","8","38.1%","46.8%","28.4%","24.8%","16.8%","52.9%","30.3%","18564"
"Dansby Swanson","ATL",".348","0.97","21.2%","38.7%","40.0%","6.5%","13.5%","16","8.9%","0","0.0%","39.8%","35.1%","25.1%","13.4%","52.6%","34.0%","18314"
"Oscar Gonzalez","CLE",".345","1.79","20.8%","50.9%","28.4%","8.5%","13.4%","18","12.2%","0","0.0%","43.9%","37.0%","19.0%","16.6%","49.8%","33.6%","20970"
"Gary Sanchez","MIN",".257","1.05","14.6%","43.8%","41.7%","10.8%","13.3%","4","3.2%","0","0.0%","50.0%","28.8%","21.2%","18.8%","39.9%","41.3%","11442"
"Francisco Lindor","NYM",".301","1.11","17.9%","43.1%","39.0%","13.8%","13.3%","17","7.8%","1","100.0%","43.3%","32.7%","24.0%","19.0%","49.8%","31.2%","12916"
"Christian Bethancourt","- - -",".304","1.29","19.5%","45.3%","35.2%","10.8%","13.3%","11","10.3%","0","0.0%","42.3%","36.4%","21.3%","16.3%","51.0%","32.6%","10028"
"Ryan Mountcastle","BAL",".303","0.92","22.1%","37.3%","40.7%","5.4%","13.3%","6","3.9%","0","0.0%","33.8%","36.8%","29.4%","12.7%","52.0%","35.3%","18373"
"Sam Haggerty","SEA",".333","1.42","23.3%","45.0%","31.7%","13.2%","13.2%","3","5.6%","2","33.3%","40.5%","34.1%","25.4%","18.3%","57.1%","24.6%","18054"
"MJ Melendez","KCR",".258","0.96","20.2%","39.0%","40.8%","8.0%","13.1%","7","5.3%","0","0.0%","44.9%","32.4%","22.6%","13.7%","50.9%","35.4%","22197"
"Austin Barnes","LAD",".222","0.98","14.8%","42.3%","43.0%","11.5%","13.1%","2","3.3%","0","0.0%","38.6%","31.7%","29.7%","20.0%","55.2%","24.8%","12158"
"Gleyber Torres","NYY",".295","0.78","18.5%","35.6%","45.9%","8.7%","13.1%","9","6.3%","0","0.0%","36.7%","33.9%","29.4%","12.7%","52.6%","34.7%","16997"
"Joey Votto","CIN",".257","1.19","18.2%","44.4%","37.3%","7.1%","13.1%","2","2.0%","0","0.0%","40.0%","36.0%","24.0%","11.6%","54.7%","33.8%","4314"
"Juan Yepez","STL",".283","0.80","15.3%","37.8%","46.9%","13.0%","13.0%","7","9.5%","0","0.0%","48.5%","30.6%","20.9%","22.4%","48.0%","29.6%","18400"
"Max Muncy","LAD",".227","0.64","19.0%","31.5%","49.5%","7.4%","13.0%","8","7.8%","2","100.0%","49.2%","31.3%","19.5%","11.2%","47.7%","41.0%","13301"
"Michael Chavis","PIT",".294","1.15","16.5%","44.6%","38.8%","15.7%","13.0%","14","11.3%","0","0.0%","42.7%","37.3%","20.1%","27.6%","41.6%","30.8%","17321"
"Tyler Naquin","- - -",".291","0.98","21.1%","39.0%","39.9%","11.8%","12.9%","4","4.8%","1","20.0%","37.6%","36.7%","25.7%","15.6%","50.0%","34.4%","13359"
"Tommy Pham","- - -",".304","1.42","18.4%","48.0%","33.7%","7.6%","12.9%","13","6.9%","0","0.0%","37.5%","37.5%","25.0%","13.5%","48.2%","38.3%","2967"
"Kyle Higashioka","NYY",".246","0.81","22.1%","34.8%","43.1%","12.8%","12.8%","3","4.8%","0","0.0%","45.9%","38.8%","15.3%","13.1%","51.9%","35.0%","5517"
"Ronald Acuna Jr.","ATL",".331","1.40","18.3%","47.7%","34.0%","12.8%","12.8%","18","11.0%","0","0.0%","44.5%","35.2%","20.3%","18.0%","47.4%","34.6%","18401"
"Aledmys Diaz","HOU",".256","1.09","22.5%","40.3%","37.2%","16.0%","12.8%","9","8.8%","0","0.0%","48.8%","32.3%","18.9%","19.3%","52.0%","28.7%","15937"
"P.J. Higgins","CHC",".290","1.28","24.1%","42.6%","33.3%","4.3%","12.8%","4","6.7%","2","33.3%","38.1%","32.0%","29.9%","18.4%","63.3%","18.4%","18433"
"Brandon Marsh","- - -",".360","1.30","24.5%","42.6%","32.8%","1.1%","12.6%","7","6.2%","2","28.6%","34.9%","38.6%","26.5%","10.3%","56.6%","33.1%","20202"
"Carlos Santana","- - -",".209","0.89","16.9%","39.2%","43.9%","15.2%","12.6%","9","6.7%","1","100.0%","48.4%","33.3%","18.3%","18.0%","47.0%","35.1%","2396"
"Jean Segura","PHI",".307","2.10","16.5%","56.6%","26.9%","13.8%","12.5%","20","11.9%","0","0.0%","31.3%","38.7%","30.0%","23.6%","49.8%","26.6%","5933"
"Kole Calhoun","TEX",".263","1.01","24.3%","38.0%","37.6%","9.4%","12.5%","2","2.1%","0","0.0%","47.8%","34.1%","18.0%","14.9%","49.4%","35.7%","11200"
"Nick Fortes","MIA",".252","0.95","17.4%","40.1%","42.4%","13.7%","12.3%","3","4.3%","0","0.0%","44.8%","31.4%","23.8%","18.0%","50.0%","32.0%","21538"
"Javier Baez","DET",".292","1.49","16.5%","49.9%","33.6%","10.9%","12.3%","22","10.7%","0","0.0%","43.6%","31.6%","24.8%","14.6%","58.6%","26.8%","12979"
"Jace Peterson","MIL",".303","1.42","23.0%","45.1%","31.9%","4.6%","12.3%","5","5.4%","2","50.0%","41.8%","36.1%","22.1%","13.0%","55.8%","31.3%","12325"
"Jo Adell","LAA",".338","0.95","20.6%","38.8%","40.6%","15.4%","12.3%","7","11.3%","0","0.0%","47.2%","31.1%","21.7%","18.0%","57.1%","24.8%","20220"
"Nolan Arenado","STL",".290","0.59","20.4%","29.7%","49.9%","16.8%","12.3%","8","5.5%","0","0.0%","47.9%","32.5%","19.6%","20.0%","48.1%","31.9%","9777"
"Adam Duvall","ATL",".278","0.56","18.6%","29.3%","52.1%","12.2%","12.2%","3","5.5%","0","0.0%","49.5%","31.9%","18.6%","17.0%","49.5%","33.5%","10950"
"Will Smith","LAD",".276","0.67","21.2%","31.7%","47.1%","5.6%","12.2%","7","5.3%","0","0.0%","37.7%","37.0%","25.2%","11.8%","55.5%","32.7%","19197"
"Nelson Velazquez","CHC",".281","1.04","16.7%","42.5%","40.8%","4.1%","12.2%","7","13.7%","0","0.0%","43.3%","37.5%","19.2%","20.8%","45.8%","33.3%","23359"
"Lane Thomas","WSN",".291","1.19","17.3%","45.0%","37.7%","18.6%","12.1%","17","10.2%","0","0.0%","43.4%","34.5%","22.1%","23.2%","49.3%","27.5%","16939"
"Avisail Garcia","MIA",".298","2.11","18.0%","55.6%","26.4%","3.0%","12.1%","15","10.8%","0","0.0%","35.6%","39.2%","25.2%","19.2%","51.2%","29.6%","5760"
