"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"Aaron Judge","NYY","633","397","95.8","119.0","11.6","70","17.6%","230","57.9%",".287",".308",".544",".594",".387",".418","15640"
"Vladimir Guerrero Jr.","TOR","698","496","95.1","117.4","9.4","75","15.1%","274","55.2%",".311",".307",".601",".590",".419",".417","19611"
"Giancarlo Stanton","NYY","579","356","95.1","122.2","10.3","56","15.7%","198","55.6%",".273",".262",".516",".498",".370",".363","4949"
"Evan Longoria","SFG","291","187","94.1","113.2","15.5","25","13.4%","102","54.5%",".261",".253",".482",".486",".352",".351","9368"
"Josh Donaldson","MIN","543","351","94.1","114.7","14.6","61","17.4%","185","52.7%",".247",".269",".475",".542",".353",".388","5038"
"Fernando Tatis Jr.","SDP","546","329","93.9","116.6","13.8","70","21.3%","183","55.6%",".282",".279",".611",".617",".403",".407","19709"
"Ronald Acuna Jr.","ATL","360","217","93.8","117.9","18.2","44","20.3%","117","53.9%",".283",".295",".596",".603",".412",".429","18401"
"Shohei Ohtani","LAA","639","350","93.6","119.0","16.8","78","22.3%","187","53.4%",".257",".269",".592",".616",".393",".411","19755"
"Miguel Sano","MIN","532","288","93.4","117.1","17.6","51","17.7%","160","55.6%",".223",".216",".466",".439",".332",".322","12164"
"Yordan Alvarez","HOU","598","395","93.2","116.4","14.1","63","15.9%","214","54.2%",".277",".279",".531",".570",".369",".389","19556"
"Manny Machado","SDP","640","473","93.1","119.6","14.0","63","13.3%","246","52.0%",".278",".291",".489",".526",".350",".376","11493"
"Yasmani Grandal","CHW","375","203","93.1","112.0","14.2","27","13.3%","108","53.2%",".240",".258",".520",".506",".402",".412","11368"
"Darin Ruf","SFG","312","176","93.0","110.8","9.8","25","14.2%","96","54.5%",".271",".262",".519",".515",".384",".381","9929"
"Salvador Perez","KCR","665","454","93.0","114.4","15.9","74","16.3%","254","55.9%",".273",".276",".544",".565",".359",".374","7304"
"Tyler O'Neill","STL","537","318","93.0","113.1","17.8","57","17.9%","166","52.2%",".286",".279",".560",".582",".384",".392","15711"
