"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Brad Miller","TBR",".265","1.31","16.5%","47.4%","36.1%","6.0%","10.8%","8","7.3%","1","50.0%","34.5%","35.8%","29.7%","18.1%","43.5%","38.4%","12775"
"Yuli Gurriel","HOU",".308","1.31","18.6%","46.2%","35.2%","12.7%","10.8%","13","6.0%","0","0.0%","41.4%","37.4%","21.1%","15.9%","49.0%","35.1%","19198"
"Justin Turner","LAD",".326","0.66","20.8%","31.4%","47.8%","3.1%","10.8%","5","3.9%","0","0.0%","36.7%","38.9%","24.4%","9.8%","51.3%","38.9%","5235"
"Andrew Knapp","PHI",".360","2.46","17.1%","59.0%","23.9%","7.1%","10.7%","5","7.2%","0","0.0%","41.9%","34.2%","23.9%","15.4%","46.2%","38.5%","14942"
"Melky Cabrera","- - -",".299","1.69","22.1%","48.9%","29.0%","10.0%","10.6%","18","6.7%","0","0.0%","38.8%","35.9%","25.3%","19.0%","52.2%","28.9%","4022"
"Stephen Piscotty","STL",".286","1.48","17.6%","49.2%","33.2%","8.2%","10.6%","8","6.3%","1","100.0%","44.7%","29.6%","25.7%","17.9%","49.4%","32.7%","13367"
"Evan Longoria","TBR",".282","1.18","19.8%","43.4%","36.8%","14.2%","10.5%","12","5.4%","0","0.0%","42.8%","32.0%","25.2%","18.0%","47.7%","34.3%","9368"
"Yangervis Solarte","SDP",".258","0.99","16.4%","41.6%","42.1%","17.4%","10.5%","8","4.7%","0","0.0%","42.3%","35.9%","21.8%","25.2%","43.8%","31.1%","5352"
"Troy Tulowitzki","TOR",".272","1.58","14.4%","52.5%","33.2%","16.4%","10.4%","8","7.5%","0","0.0%","41.6%","35.1%","23.3%","24.8%","45.0%","30.2%","3531"
"Peter Bourjos","TBR",".282","1.35","15.7%","48.5%","35.8%","20.8%","10.4%","7","10.8%","2","66.7%","38.7%","34.3%","27.0%","24.1%","46.0%","29.9%","2578"
"Austin Jackson","CLE",".385","1.54","21.0%","47.9%","31.1%","2.9%","10.3%","9","8.6%","1","100.0%","36.8%","35.9%","27.3%","11.4%","56.8%","31.8%","9848"
"Derek Dietrich","MIA",".294","0.90","22.8%","36.5%","40.7%","8.7%","10.2%","10","8.8%","0","0.0%","40.7%","36.5%","22.8%","20.5%","47.4%","32.1%","10542"
