"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"Jason Castro","- - -","92","47","92.7","111.1","19.7","7","14.9%","26","55.3%",".188",".237",".375",".485",".294",".352","8722"
"Jorge Soler","KCR","174","92","92.5","114.0","15.5","17","18.5%","46","50.0%",".228",".243",".443",".487",".332",".354","14221"
"Bryce Harper","PHI","244","150","92.5","114.7","16.0","26","17.3%","76","50.7%",".268",".308",".542",".658",".400",".454","11579"
"Vladimir Guerrero Jr.","TOR","243","183","92.5","116.1","4.6","16","8.7%","93","50.8%",".262",".261",".462",".439",".338",".333","19611"
"David Bote","CHC","145","86","92.4","110.3","9.3","9","10.5%","45","52.3%",".200",".233",".408",".418",".309",".330","14593"
"Freddie Freeman","ATL","262","177","92.4","109.3","17.2","26","14.7%","96","54.2%",".341",".343",".640",".663",".456",".466","5361"
"Ronald Acuna Jr.","ATL","202","100","92.4","114.8","18.6","16","16.0%","57","57.0%",".250",".254",".581",".591",".413",".420","18401"
"Mitch Garver","MIN","81","36","92.4","109.8","18.5","3","8.3%","18","50.0%",".167",".170",".264",".278",".232",".240","15161"
"Franmil Reyes","CLE","241","147","92.4","114.7","11.2","19","12.9%","66","44.9%",".275",".245",".450",".442",".341",".342","14566"
"Eloy Jimenez","CHW","226","158","92.4","113.6","5.7","26","16.5%","88","55.7%",".296",".278",".559",".540",".373",".364","17484"
"Matt Olson","OAK","245","133","92.3","112.5","19.7","17","12.8%","61","45.9%",".195",".224",".424",".453",".316",".340","14344"
"Aaron Judge","NYY","114","70","92.2","113.1","15.5","8","11.4%","29","41.4%",".257",".265",".554",".545",".375",".378","15640"
"Sean Murphy","OAK","140","79","92.2","112.5","14.7","10","12.7%","38","48.1%",".233",".217",".457",".440",".358",".348","19352"
"Juan Soto","WSN","196","126","92.1","113.3","4.2","22","17.5%","65","51.6%",".351",".332",".695",".696",".478",".475","20123"
"Jesse Winker","CIN","183","104","92.1","113.0","10.5","14","13.5%","51","49.0%",".255",".265",".544",".524",".396",".397","13590"
"Pablo Sandoval","- - -","94","66","91.9","112.1","8.1","2","3.0%","34","51.5%",".214",".236",".262",".347",".252",".292","5409"
"Colin Moran","PIT","200","127","91.9","112.0","8.3","17","13.4%","60","47.2%",".247",".254",".472",".479",".340",".350","16909"
"Gary Sanchez","NYY","178","92","91.8","117.5","19.2","16","17.4%","46","50.0%",".147",".193",".365",".430",".271",".314","11442"
"Evan White","SEA","202","99","91.7","112.8","13.7","14","14.1%","52","52.5%",".176",".190",".346",".387",".261",".292","20078"
"Josh Bell","PIT","223","140","91.7","114.2","5.9","12","8.6%","60","42.9%",".226",".228",".364",".381",".286",".297","13145"
"Tyler Naquin","CLE","141","95","91.7","110.3","13.0","9","9.5%","48","50.5%",".218",".265",".383",".473",".268",".326","13359"
"Evan Longoria","SFG","209","157","91.7","111.5","10.7","18","11.5%","71","45.2%",".254",".282",".425",".524",".308",".364","9368"
"Justin Upton","LAA","166","105","91.7","111.5","18.6","9","8.6%","46","43.8%",".204",".228",".422",".430",".307",".329","5222"
"Max Stassi","LAA","105","72","91.6","108.0","15.0","8","11.1%","30","41.7%",".278",".270",".533",".567",".370",".390","10059"
"Nelson Cruz","MIN","214","127","91.6","114.4","9.4","19","15.0%","59","46.5%",".303",".269",".595",".545",".411",".383","2434"
"Edwin Rios","LAD","83","59","91.5","110.8","14.5","8","13.6%","27","45.8%",".250",".282",".645",".631",".385",".397","18316"
"D.J. Stewart","BAL","112","52","91.4","107.8","17.8","10","19.2%","24","46.2%",".193",".192",".455",".392",".353",".336","17766"
"Gio Urshela","NYY","174","130","91.4","111.0","12.3","9","6.9%","53","40.8%",".298",".314",".490",".491",".365",".379","10681"
"DJ LeMahieu","NYY","216","175","91.3","109.5","2.3","5","2.9%","80","45.7%",".364",".312",".590",".460",".429",".366","9874"
"Joey Gallo","TEX","226","114","91.2","113.5","26.8","16","14.0%","50","43.9%",".181",".192",".378",".418",".297",".317","14128"
"Byron Buxton","MIN","135","96","91.2","111.9","23.6","13","13.5%","46","47.9%",".254",".249",".577",".548",".345",".335","14161"
"Taylor Ward","LAA","102","66","91.1","108.6","10.4","3","4.5%","31","47.0%",".277",".250",".383",".396",".314",".309","17548"
"Ian Happ","CHC","231","136","91.1","109.1","9.0","14","10.3%","65","47.8%",".258",".261",".505",".469",".369",".362","17919"
"Giancarlo Stanton","NYY","94","50","91.1","121.3","8.3","9","18.0%","25","50.0%",".250",".295",".500",".539",".379",".413","4949"
"Kyle Tucker","HOU","228","164","91.1","110.9","14.9","15","9.1%","72","43.9%",".268",".261",".512",".449",".349",".327","18345"
"Wil Myers","SDP","218","142","91.0","109.2","13.4","21","14.8%","65","45.8%",".288",".285",".606",".589",".400",".396","10047"
"Austin Riley","ATL","206","140","91.0","111.0","13.6","14","10.0%","60","42.9%",".239",".265",".415",".474",".307",".342","18360"
"Nomar Mazara","CHW","149","92","91.0","109.1","6.7","7","7.6%","45","48.9%",".228",".222",".294",".364",".267",".291","14553"
"Salvador Perez","KCR","156","115","91.0","110.4","14.2","16","13.9%","54","47.0%",".333",".323",".633",".626",".410",".410","7304"
"Nick Castellanos","CIN","242","150","91.0","108.5","16.5","24","16.0%","69","46.0%",".225",".274",".486",".545",".329",".375","11737"
"Alex Dickerson","SFG","170","122","90.9","114.6","17.8","13","10.7%","52","42.6%",".298",".268",".576",".494",".394",".356","12649"
"Travis Shaw","TOR","180","114","90.9","112.8","19.8","9","7.9%","51","44.7%",".239",".241",".411",".436",".310",".323","11982"
"Mike Brosseau","TBR","98","56","90.9","108.1","15.1","5","8.9%","24","42.9%",".302",".226",".558",".420",".394",".318","19683"
"Anderson Tejeda","TEX","77","45","90.8","112.2","14.3","6","13.3%","19","42.2%",".253",".193",".453",".380",".306",".252","19909"
"Lourdes Gurriel Jr.","TOR","224","162","90.8","109.5","10.5","19","11.7%","80","49.4%",".308",".281",".534",".486",".372",".347","19238"
"Eric Hosmer","SDP","156","117","90.8","112.0","8.7","12","10.3%","55","47.0%",".287",".284",".517",".520",".359",".366","3516"
"Will Smith","LAD","137","93","90.8","108.8","24.2","12","12.9%","43","46.2%",".289",".293",".579",".539",".411",".407","19197"
"Ryan O'Hearn","KCR","132","77","90.7","105.4","11.9","5","6.5%","34","44.2%",".195",".230",".301",".384",".269",".317","16442"
"Rowdy Tellez","TOR","127","95","90.7","117.4","10.6","8","8.4%","42","44.2%",".283",".283",".540",".508",".369",".368","15679"
"Mookie Betts","LAD","246","182","90.7","108.5","18.5","14","7.7%","79","43.4%",".292",".283",".562",".485",".390",".362","13611"
"Brandon Belt","SFG","179","113","90.7","109.1","18.0","19","16.8%","53","46.9%",".309",".287",".591",".597",".427",".422","10264"
"Adalberto Mondesi","KCR","233","151","90.6","111.0","13.7","11","7.3%","59","39.1%",".256",".215",".416",".355",".305",".267","13769"
"Jo Adell","LAA","132","69","90.6","115.5","11.4","3","4.3%","25","36.2%",".161",".177",".266",".293",".212",".232","20220"
"James McCann","CHW","111","69","90.5","108.5","15.0","6","8.7%","33","47.8%",".289",".260",".536",".458",".378",".346","12859"
"Jose Marmolejos","SEA","115","75","90.5","108.8","10.5","9","12.0%","34","45.3%",".206",".234",".411",".449",".287",".317","15767"
"Trea Turner","WSN","259","199","90.5","111.2","9.5","18","9.0%","81","40.7%",".335",".303",".588",".515",".413",".383","16252"
"Dylan Moore","SEA","159","94","90.4","109.8","17.3","13","13.8%","42","44.7%",".255",".251",".496",".464",".368",".357","18042"
"Robinson Cano","NYM","182","148","90.4","113.5","6.2","11","7.4%","69","46.6%",".316",".297",".544",".481",".376",".353","3269"
"Christian Walker","ARI","243","171","90.4","110.4","11.5","11","6.4%","83","48.5%",".271",".266",".459",".454",".339",".339","13419"
"Austin Meadows","TBR","152","84","90.3","108.6","24.2","6","7.1%","37","44.0%",".205",".186",".371",".344",".292",".278","15672"
"Randy Arozarena","TBR","76","43","90.3","113.1","9.2","6","14.0%","19","44.2%",".281",".253",".641",".496",".422",".369","19290"
"Justin Turner","LAD","175","125","90.3","107.8","17.5","14","11.2%","55","44.0%",".307",".298",".460",".551",".376",".403","5235"
"Yasmani Grandal","CHW","194","105","90.3","110.5","15.6","8","7.6%","45","42.9%",".230",".207",".422",".403",".338",".327","11368"
"Alec Bohm","PHI","180","126","90.2","109.6","4.8","13","10.3%","59","46.8%",".338",".285",".481",".467",".381",".357","21618"
"Pete Alonso","NYM","239","148","90.2","118.4","15.5","19","12.8%","60","40.5%",".231",".226",".490",".466",".342",".335","19251"
"Jeimer Candelario","DET","206","136","90.2","110.8","13.3","14","10.3%","64","47.1%",".297",".277",".503",".471",".373",".356","13621"
"Yoshi Tsutsugo","TBR","185","108","90.2","108.9","17.2","10","9.3%","51","47.2%",".197",".211",".395",".421",".309",".325","27459"
"J.T. Realmuto","PHI","195","125","90.2","112.4","11.6","17","13.6%","53","42.4%",".266",".246",".491",".498",".361",".356","11739"
"Manny Machado","SDP","254","191","90.2","115.7","15.6","21","11.0%","83","43.5%",".304",".300",".580",".540",".391",".385","11493"
"Austin Hedges","- - -","83","52","90.2","108.8","18.6","4","7.7%","20","38.5%",".145",".209",".290",".336",".232",".281","12976"
"Jake Lamb","- - -","99","63","90.2","108.3","16.7","5","7.9%","32","50.8%",".193",".237",".352",".427",".281",".328","13329"
"Ryan McMahon","COL","193","107","90.1","109.7","9.2","12","11.2%","46","43.0%",".215",".203",".419",".389",".308",".296","15112"
"J.D. Davis","NYM","229","135","90.1","111.2","3.3","12","8.9%","61","45.2%",".247",".258",".389",".430",".339",".359","16219"
"Anthony Rendon","LAA","232","158","90.1","109.1","19.6","10","6.3%","63","39.9%",".286",".287",".497",".469",".395",".390","12861"
"Garrett Cooper","MIA","133","89","90.1","109.7","9.5","9","10.1%","37","41.6%",".283",".303",".500",".518",".365",".383","15279"
"Victor Reyes","DET","213","157","90.0","108.6","10.7","6","3.8%","65","41.4%",".277",".287",".391",".430",".307",".329","15487"
"Shin-Soo Choo","TEX","127","79","90.0","111.2","11.4","8","10.1%","28","35.4%",".236",".254",".400",".455",".312",".340","3174"
"Trevor Story","COL","259","172","89.9","109.0","20.9","15","8.7%","71","41.3%",".289",".253",".519",".457",".370",".335","12564"
"Vimael Machin","OAK","71","53","89.9","108.0","6.4","0","0.0%","23","43.4%",".206",".290",".238",".391",".250",".338","17684"
"Yan Gomes","WSN","119","90","89.9","105.0","17.6","5","5.6%","33","36.7%",".284",".283",".468",".462",".332",".338","9627"
"Bobby Dalbec","BOS","92","41","89.9","110.4","14.8","9","22.0%","18","43.9%",".263",".199",".600",".532",".400",".351","19966"
"Nick Solak","TEX","233","171","89.9","111.7","9.4","8","4.7%","69","40.4%",".268",".264",".344",".388",".297",".318","19294"
"Francisco Lindor","CLE","266","197","89.9","111.4","13.5","11","5.6%","81","41.1%",".258",".279",".415",".441",".324",".346","12916"
"Dwight Smith Jr.","BAL","72","45","89.9","112.0","8.1","3","6.7%","20","44.4%",".222",".196",".365",".308",".289",".263","13473"
"Brian Goodwin","- - -","164","92","89.9","109.6","20.7","10","10.9%","38","41.3%",".215",".212",".417",".381",".305",".298","12858"
"Ryan Braun","MIL","141","105","89.8","110.2","15.3","12","11.4%","42","40.0%",".233",".274",".488",".477",".322",".342","3410"
"Willson Contreras","CHC","225","134","89.8","114.1","9.1","14","10.4%","63","47.0%",".243",".249",".407",".441",".336",".353","11609"
"Jake Cronenworth","SDP","192","143","89.8","110.1","10.6","15","10.5%","61","42.7%",".285",".317",".477",".535",".356",".393","18036"
"Brandon Lowe","TBR","224","137","89.8","111.4","18.1","24","17.5%","59","43.1%",".269",".261",".554",".550",".385",".384","18882"
"Dominic Smith","NYM","199","135","89.8","110.7","10.8","18","13.3%","63","46.7%",".316",".303",".616",".566",".412",".392","15653"
"Rhys Hoskins","PHI","185","108","89.8","111.2","24.8","16","14.8%","46","42.6%",".245",".237",".503",".507",".382",".381","16472"
"Brad Miller","STL","171","97","89.8","110.3","11.2","13","13.4%","42","43.3%",".232",".252",".451",".481",".349",".377","12775"
"Andrew McCutchen","PHI","241","170","89.7","109.9","18.2","14","8.2%","70","41.2%",".253",".276",".433",".484",".327",".358","9847"
"Mike Ford","NYY","84","59","89.7","109.2","8.4","4","6.8%","23","39.0%",".135",".231",".270",".393",".224",".311","15585"
"Austin Nola","- - -","184","129","89.7","110.1","12.6","10","7.8%","56","43.4%",".273",".280",".472",".467",".352",".361","15941"
"Mark Canha","OAK","243","142","89.7","108.9","19.4","11","7.7%","55","38.7%",".246",".241",".408",".415",".351",".359","11445"
"Kyle Farmer","CIN","70","51","89.6","106.9","18.2","3","5.9%","23","45.1%",".266",".283",".313",".450",".290",".347","14813"
"A.J. Pollock","LAD","210","153","89.6","110.0","13.0","16","10.5%","66","43.1%",".276",".269",".566",".499",".364",".345","9256"
"Justin Smoak","- - -","132","78","89.6","107.0","15.3","3","3.8%","31","39.7%",".176",".187",".361",".327",".265",".260","9054"
"J.D. Martinez","BOS","237","154","89.5","110.7","14.7","17","11.0%","64","41.6%",".213",".229",".389",".443",".290",".318","6184"
"Daniel Vogelbach","- - -","136","82","89.5","111.4","10.2","7","8.5%","33","40.2%",".209",".229",".391",".411",".317",".335","14130"
"JaCoby Jones","DET","108","64","89.5","112.4","11.0","7","10.9%","29","45.3%",".268",".240",".515",".425",".358",".321","14818"
"Asdrubal Cabrera","WSN","213","154","89.5","107.0","13.7","10","6.5%","59","38.3%",".242",".243",".447",".429",".319",".317","4962"
"Manuel Margot","TBR","159","121","89.4","108.2","7.5","5","4.1%","41","33.9%",".269",".260",".352",".381",".301",".309","14712"
"Darin Ruf","SFG","100","64","89.4","111.7","12.5","6","9.4%","28","43.8%",".276",".253",".517",".458",".379",".353","9929"
"Jackson Frazier","NYY","160","88","89.4","108.8","11.6","11","12.5%","38","43.2%",".267",".246",".511",".447",".388",".363","15983"
"Javier Baez","CHC","235","149","89.4","116.0","10.3","12","8.1%","60","40.3%",".203",".218",".360",".385",".256",".279","12979"
"Kole Calhoun","ARI","228","144","89.4","109.0","17.1","17","11.8%","55","38.2%",".226",".263",".526",".517",".362",".379","11200"
"Hunter Renfroe","TBR","139","86","89.4","111.9","17.3","8","9.3%","33","38.4%",".156",".204",".393",".438",".277",".318","15464"
"Jesus Aguilar","MIA","216","152","89.3","109.9","16.0","11","7.2%","57","37.5%",".277",".271",".457",".452",".347",".345","11342"
"Willie Calhoun","TEX","108","85","89.3","106.6","14.4","1","1.2%","33","38.8%",".190",".194",".260",".271",".217",".234","17838"
"Cody Bellinger","LAD","243","171","89.3","110.6","16.6","16","9.4%","71","41.5%",".239",".284",".455",".494",".337",".374","15998"
"Yuli Gurriel","HOU","230","189","89.3","107.1","13.9","7","3.7%","67","35.4%",".232",".265",".384",".408",".281",".318","19198"
"Ketel Marte","ARI","195","163","89.2","115.9","10.0","6","3.7%","66","40.5%",".287",".265",".409",".381",".316",".306","13613"
"Bo Bichette","TOR","128","96","89.2","109.2","12.0","12","12.5%","39","40.6%",".301",".292",".512",".532",".353",".359","19612"
"David Peralta","ARI","218","160","89.2","113.8","6.4","8","5.0%","58","36.3%",".300",".260",".433",".375",".333",".299","2136"
"Marwin Gonzalez","MIN","199","138","89.2","106.0","12.6","7","5.1%","53","38.4%",".211",".240",".320",".401",".269",".314","5497"
"Paul Goldschmidt","STL","231","150","89.2","111.3","11.6","16","10.7%","61","40.7%",".304",".285",".466",".510",".387",".396","9218"
"Paul DeJong","STL","174","106","89.2","105.5","21.7","8","7.5%","43","40.6%",".250",".238",".349",".406",".296",".315","18015"
"Brett Gardner","NYY","158","96","89.2","107.9","15.0","5","5.2%","35","36.5%",".223",".226",".392",".370",".332",".327","9927"
"Austin Slater","SFG","104","64","89.2","109.1","10.9","9","14.1%","29","45.3%",".282",".303",".506",".540",".395",".416","16153"
"Jorge Alfaro","MIA","100","57","89.2","109.8","2.8","4","7.0%","28","49.1%",".226",".220",".344",".379",".271",".283","12180"
"Jose Osuna","PIT","82","62","89.1","110.0","14.6","8","12.9%","26","41.9%",".205",".266",".397",".472",".273",".330","12937"
"Cesar Hernandez","CLE","261","178","89.1","108.2","5.6","7","3.9%","66","37.1%",".283",".273",".408",".396",".335",".330","10556"
"Eugenio Suarez","CIN","231","132","89.1","111.4","17.9","19","14.4%","58","43.9%",".202",".216",".470",".472",".332",".342","12552"
"Kyle Seager","SEA","248","176","89.1","108.7","17.7","18","10.2%","70","39.8%",".241",".252",".433",".472",".338",".365","9785"
"Shohei Ohtani","LAA","175","103","89.1","111.9","9.2","11","10.7%","44","42.7%",".190",".239",".366",".429",".290",".336","19755"
"Dansby Swanson","ATL","264","167","89.0","109.3","14.7","19","11.4%","68","40.7%",".274",".267",".464",".474",".348",".354","18314"
"Josh VanMeter","- - -","79","46","89.0","108.5","15.1","3","6.5%","17","37.0%",".129",".213",".257",".350",".222",".294","15170"
"Robbie Grossman","OAK","192","128","89.0","108.1","15.2","7","5.5%","48","37.5%",".241",".240",".482",".399",".351",".328","5254"
"Nick Markakis","ATL","141","107","89.0","106.1","9.5","2","1.9%","45","42.1%",".254",".276",".392",".364",".307",".310","5930"
"Jay Bruce","PHI","103","72","89.0","109.2","15.3","7","9.7%","28","38.9%",".198",".237",".469",".472",".297",".322","9892"
"Xander Bogaerts","BOS","225","163","89.0","112.5","8.7","14","8.6%","60","36.8%",".300",".259",".502",".474",".368",".341","12161"
"Wilson Ramos","NYM","155","112","89.0","110.1","6.5","8","7.1%","47","42.0%",".239",".247",".387",".420",".297",".317","1433"
"Ji-Man Choi","TBR","145","89","89.0","109.9","15.7","3","3.4%","35","39.3%",".230",".193",".410",".303",".316",".276","5452"
"Orlando Arcia","MIL","189","142","89.0","108.7","9.6","8","5.6%","55","38.7%",".260",".281",".416",".428",".317",".338","13185"
"Joey Bart","SFG","111","62","89.0","109.5","12.6","3","4.8%","30","48.4%",".233",".200",".320",".292",".271",".248","21524"
"Michael A. Taylor","WSN","99","65","89.0","108.6","12.5","9","13.8%","24","36.9%",".196",".229",".424",".480",".287",".325","11489"
"Kevin Plawecki","BOS","89","68","88.9","106.6","12.7","3","4.4%","21","30.9%",".341",".269",".463",".386",".373",".315","13807"
"Ryan McBroom","KCR","85","51","88.9","108.2","20.1","7","13.7%","16","31.4%",".247",".215",".506",".455",".330",".300","16524"
"Leody Taveras","TEX","134","77","88.9","107.8","14.3","5","6.5%","32","41.6%",".227",".236",".395",".379",".307",".308","18900"
"Nathaniel Lowe","TBR","76","39","88.9","114.8","7.1","6","15.4%","17","43.6%",".224",".230",".433",".377",".314",".300","19566"
"Luke Voit","NYY","234","160","88.9","111.7","15.2","21","13.1%","64","40.0%",".277",".279",".610",".586",".393",".389","14811"
"Alex Bregman","HOU","180","128","88.9","105.6","17.3","5","3.9%","43","33.6%",".242",".249",".451",".389",".345",".332","17678"
"Randal Grichuk","TOR","231","169","88.9","110.9","12.6","19","11.2%","67","39.6%",".273",".268",".481",".468",".334",".333","10243"
"Willy Adames","TBR","205","111","88.8","109.1","12.5","11","9.9%","44","39.6%",".259",".229",".481",".394",".347",".307","15986"
"Chance Sisco","BAL","121","57","88.8","104.4","20.0","7","12.3%","21","36.8%",".214",".194",".378",".376",".335",".327","15694"
"Mike Moustakas","CIN","163","105","88.8","111.7","16.3","10","9.5%","41","39.0%",".230",".240",".468",".430",".340",".335","4892"
"Howie Kendrick","WSN","100","76","88.8","109.6","7.3","5","6.6%","30","39.5%",".275",".282",".385",".450",".298",".332","4229"
"Niko Goodrum","DET","179","92","88.8","105.6","16.0","9","9.8%","37","40.2%",".184",".183",".335",".336",".262",".265","12092"
"Jose Ramirez","CLE","254","177","88.7","114.3","23.2","18","10.2%","62","35.0%",".292",".264",".607",".507",".415",".373","13510"
"Pat Valaika","BAL","150","108","88.7","108.2","18.2","9","8.3%","37","34.3%",".277",".260",".475",".456",".337",".323","14885"
"Brandon Crawford","SFG","193","127","88.7","109.8","12.4","12","9.4%","50","39.4%",".256",".235",".465",".398",".334",".309","5343"
"Eric Thames","WSN","140","81","88.7","105.8","14.6","5","6.2%","38","46.9%",".203",".219",".317",".379",".276",".305","3711"
"George Springer","HOU","222","155","88.7","115.0","18.4","19","12.3%","65","41.9%",".265",".294",".540",".569",".379",".405","12856"
"Michael Brantley","HOU","187","142","88.7","105.3","10.2","7","4.9%","52","36.6%",".300",".260",".476",".413",".362",".325","4106"
"Anthony Santander","BAL","165","128","88.6","113.2","24.7","13","10.2%","47","36.7%",".261",".287",".575",".516",".364",".358","14551"
"Cedric Mullins II","BAL","153","107","88.6","110.2","15.6","3","2.8%","34","31.8%",".271",".214",".407",".297",".313",".251","17929"
"Jedd Gyorko","MIL","135","81","88.6","108.0","15.3","13","16.0%","35","43.2%",".248",".249",".504",".505",".351",".357","10816"
"Albert Pujols","LAA","163","128","88.6","108.8","16.4","7","5.5%","43","33.6%",".224",".248",".395",".401",".282",".299","1177"
"Jacob Stallings","PIT","143","88","88.6","105.0","12.5","4","4.5%","33","37.5%",".248",".205",".376",".323",".309",".277","13723"
"Carlos Correa","HOU","221","153","88.6","109.0","11.4","9","5.9%","64","41.8%",".264",".254",".383",".402",".308",".315","14162"
"Curt Casali","CIN","93","47","88.6","104.7","22.2","3","6.4%","20","42.6%",".224",".185",".500",".341",".372",".308","12510"
"Gleyber Torres","NYY","160","108","88.6","110.2","14.9","4","3.7%","41","38.0%",".243",".245",".368",".384",".326",".335","16997"
"Eduardo Escobar","ARI","222","164","88.6","106.7","18.1","9","5.5%","52","31.7%",".212",".263",".335",".396",".257",".306","6153"
"Enrique Hernandez","LAD","148","109","88.5","110.2","16.2","8","7.3%","47","43.1%",".230",".224",".410",".383",".290",".290","10472"
"Donovan Solano","SFG","203","152","88.5","108.1","15.5","7","4.6%","53","34.9%",".326",".278",".463",".417",".357",".320","8623"
"Max Kepler","MIN","196","136","88.5","110.3","21.9","7","5.1%","52","38.2%",".228",".258",".439",".425",".328",".340","12144"
"Max Muncy","LAD","248","145","88.5","109.8","14.2","18","12.4%","58","40.0%",".192",".229",".389",".473",".316",".360","13301"
"Elvis Andrus","TEX","111","88","88.5","109.0","9.3","5","5.7%","33","37.5%",".194",".234",".330",".389",".255",".295","8709"
"Erik Gonzalez","PIT","193","134","88.5","111.4","5.5","9","6.7%","59","44.0%",".227",".237",".359",".396",".262",".293","13369"
"Michael Conforto","NYM","233","145","88.4","114.4","11.0","16","11.0%","53","36.6%",".322",".281",".515",".478",".401",".374","16376"
"Christian Vazquez","BOS","189","130","88.4","108.8","14.4","6","4.6%","52","40.0%",".283",".222",".457",".358",".346",".285","9774"
"Jackie Bradley Jr.","BOS","217","144","88.3","112.4","4.4","11","7.6%","52","36.1%",".283",".220",".450",".368",".352",".301","12984"
"Kyle Lewis","SEA","242","137","88.3","110.9","11.1","16","11.7%","47","34.3%",".262",".239",".437",".433",".349",".344","19508"
"Trent Grisham","SDP","252","154","88.3","111.9","13.5","17","11.0%","64","41.6%",".251",".266",".456",".482",".349",".368","18564"
"Nick Senzel","CIN","78","57","88.3","106.7","16.4","2","3.5%","19","33.3%",".186",".234",".357",".384",".260",".294","19293"
"Michael Chavis","BOS","158","98","88.3","108.3","10.0","7","7.1%","37","37.8%",".212",".229",".377",".394",".272",".294","17321"
"Sam Hilliard","COL","114","63","88.3","111.0","10.8","6","9.5%","28","44.4%",".210",".193",".438",".345",".301",".266","17954"
"Yandy Diaz","TBR","138","97","88.3","113.0","-7.9","2","2.1%","30","30.9%",".307",".247",".386",".325",".367",".327","16578"
"Mike Yastrzemski","SFG","225","137","88.2","105.6","18.4","15","10.9%","58","42.3%",".297",".251",".568",".488",".407",".364","14854"
"Aaron Hicks","NYY","211","131","88.2","109.5","11.1","9","6.9%","50","38.2%",".225",".256",".414",".435",".351",".374","5297"
"Matt Carpenter","STL","169","92","88.2","106.2","17.0","9","9.8%","33","35.9%",".186",".212",".314",".403",".293",".332","8090"
"Oscar Mercado","CLE","93","61","88.2","110.8","14.5","1","1.6%","20","32.8%",".128",".157",".174",".227",".159",".193","16375"
"Mitch Moreland","- - -","152","104","88.2","110.1","12.5","15","14.4%","42","40.4%",".265",".236",".551",".476",".372",".335","3086"
"Jared Walsh","LAA","108","87","88.1","112.8","13.2","11","12.6%","34","39.1%",".293",".274",".646",".549",".393",".362","18607"
"Adam Duvall","ATL","209","137","88.1","114.2","22.9","19","13.9%","55","40.1%",".237",".228",".532",".516",".348",".342","10950"
"Stephen Piscotty","OAK","171","108","88.1","111.1","13.5","7","6.5%","43","39.8%",".226",".237",".358",".398",".273",".293","13367"
"Lewis Brinson","MIA","112","76","88.1","112.2","7.9","6","7.9%","28","36.8%",".226",".247",".368",".390",".275",".296","14352"
"Tyler O'Neill","STL","157","97","88.0","107.4","15.1","8","8.2%","38","39.2%",".173",".195",".360",".379",".271",".290","15711"
