"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"Fernando Tatis Jr.","SDP","257","164","95.9","113.4","8.7","32","19.5%","102","62.2%",".277",".297",".571",".614",".392",".422","19709"
"Miguel Sano","MIN","205","96","95.2","115.8","20.2","22","22.9%","55","57.3%",".204",".215",".478",".483",".317",".326","12164"
"Christian Yelich","MIL","247","124","94.0","112.0","7.1","15","12.1%","69","55.6%",".205",".250",".430",".473",".343",".378","11477"
"Mike Trout","LAA","241","147","93.7","112.9","23.1","22","15.0%","81","55.1%",".281",".291",".603",".612",".407",".428","10155"
"Matt Chapman","OAK","152","89","93.6","115.9","24.1","16","18.0%","46","51.7%",".232",".245",".535",".542",".335",".350","16505"
"Travis d'Arnaud","ATL","184","116","93.4","109.7","8.1","13","11.2%","67","57.8%",".321",".300",".533",".536",".392",".386","7739"
"Teoscar Hernandez","TOR","207","129","93.3","115.9","15.3","23","17.8%","68","52.7%",".289",".296",".579",".614",".384",".401","13066"
"Miguel Cabrera","DET","231","155","93.2","112.2","12.1","15","9.7%","77","49.7%",".250",".288",".417",".520",".323",".379","1744"
"Corey Seager","LAD","232","177","93.2","113.1","11.9","28","15.8%","98","55.4%",".307",".331",".585",".656",".394",".434","13624"
"Luis Torrens","- - -","78","56","93.0","107.1","13.9","1","1.8%","32","57.1%",".257",".260",".371",".393",".307",".318","15905"
"Tyler Flowers","ATL","80","35","93.0","107.8","16.2","3","8.6%","16","45.7%",".217",".189",".348",".322",".303",".282","9134"
"Rafael Devers","BOS","248","165","93.0","116.7","10.6","20","12.1%","72","43.6%",".263",".256",".483",".460",".337",".328","17350"
"Marcell Ozuna","ATL","267","169","93.0","115.6","16.4","26","15.4%","91","53.8%",".338",".313",".636",".635",".444",".436","10324"
"Gregory Polanco","PIT","174","96","92.9","114.2","20.8","12","12.5%","49","51.0%",".153",".223",".325",".417",".232",".301","12907"
"Joc Pederson","LAD","138","88","92.9","112.1","12.3","9","10.2%","39","44.3%",".190",".238",".397",".454",".297",".340","11899"
"Jose Abreu","CHW","262","182","92.9","114.0","10.9","26","14.3%","97","53.3%",".317",".299",".617",".587",".411",".399","15676"
"Josh Donaldson","MIN","102","58","92.8","110.8","6.1","4","6.9%","31","53.4%",".222",".213",".469",".418",".362",".347","5038"
"Kyle Schwarber","CHC","224","125","92.8","114.9","8.8","14","11.2%","59","47.2%",".188",".224",".393",".441",".307",".340","16478"
"Ke'Bryan Hayes","PIT","95","65","92.8","110.3","7.4","6","9.2%","36","55.4%",".376",".297",".682",".492",".464",".367","18577"
"Tommy Pham","SDP","125","82","92.8","111.1","2.4","6","7.3%","41","50.0%",".211",".257",".312",".450",".284",".353","2967"
