"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"J.J. Bleday","MIA","238","139","86.3","107.9","25.0","12","8.6%","47","33.8%",".167",".190",".309",".315",".266",".280","26368"
"Taylor Walls","TBR","466","292","86.3","105.7","16.6","18","6.2%","82","28.1%",".172",".196",".285",".304",".252",".270","22458"
"Michael A. Taylor","KCR","456","310","86.3","109.4","12.1","21","6.8%","100","32.3%",".254",".223",".357",".358",".297",".289","11489"
"Luis Guillorme","NYM","335","253","86.2","110.3","4.3","6","2.4%","63","24.9%",".273",".255",".340",".335",".311",".302","16451"
"Charlie Blackmon","COL","577","428","86.2","109.5","12.4","19","4.4%","131","30.6%",".264",".256",".419",".376",".317",".301","7859"
"Thairo Estrada","SFG","541","405","86.2","109.3","8.1","18","4.4%","124","30.6%",".260",".246",".400",".352",".317",".299","16426"
"Isiah Kiner-Falefa","NYY","531","419","86.2","109.8","4.3","5","1.2%","125","29.8%",".261",".262",".327",".333",".285",".290","16512"
"Dylan Carlson","STL","488","342","86.1","109.2","12.9","15","4.4%","93","27.2%",".236",".234",".380",".355",".306",".301","20126"
"Santiago Espinal","TOR","491","385","86.1","107.5","14.1","13","3.4%","121","31.4%",".267",".263",".370",".348",".305",".298","19997"
"Miguel Rojas","MIA","507","414","86.1","109.1","10.1","8","1.9%","111","26.8%",".236",".264",".323",".347",".268",".293","7802"
"Andrew Knizner","STL","293","199","86.0","110.2","15.6","7","3.5%","65","32.7%",".215",".219",".300",".306",".275",".280","19514"
"Sam Haggerty","SEA","201","126","86.0","109.0","13.6","5","4.0%","31","24.6%",".256",".230",".403",".330",".320",".285","18054"
"P.J. Higgins","CHC","229","147","86.0","104.3","8.7","5","3.4%","37","25.2%",".229",".205",".383",".287",".306",".264","18433"
"Jose Altuve","HOU","604","441","85.9","109.8","16.1","34","7.7%","130","29.5%",".300",".269",".533",".440",".397",".354","5417"
"Ezequiel Duran","TEX","220","154","85.9","110.2","9.5","7","4.5%","48","31.2%",".236",".216",".365",".317",".282",".256","23733"
"Nick Madrigal","CHC","228","184","85.9","106.5","-0.2","0","0.0%","44","23.9%",".249",".256",".282",".311",".267",".283","20521"
"Owen Miller","CLE","472","340","85.8","109.1","10.1","12","3.5%","106","31.2%",".243",".246",".351",".341",".287",".291","24655"
"Aristides Aquino","CIN","276","158","85.6","113.6","17.4","13","8.2%","54","34.2%",".197",".180",".363",".317",".267",".243","15482"
"Kevin Newman","PIT","309","243","85.6","108.2","13.3","4","1.6%","66","27.2%",".274",".260",".372",".332",".303",".285","17696"
"Kyle Farmer","CIN","583","435","85.5","106.6","12.7","19","4.4%","146","33.6%",".255",".258",".386",".380",".309",".311","14813"
"Michael Chavis","PIT","426","279","85.4","111.3","11.1","21","7.5%","107","38.4%",".229",".217",".389",".336",".282",".261","17321"
"Yan Gomes","CHC","293","235","85.3","107.5","9.4","8","3.4%","68","28.9%",".235",".251",".365",".379",".271",".287","9627"
"Connor Joe","COL","467","308","85.3","110.1","10.6","14","4.5%","104","33.8%",".238",".241",".359",".340",".314",".311","16572"
