"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"Aaron Judge","NYY","678","338","94.9","121.1","15.8","84","24.9%","186","55.0%",".284",".287",".627",".668",".430",".450","15640"
"Joey Gallo","TEX","532","253","93.3","117.3","23.0","53","20.9%","134","53.0%",".209",".224",".537",".560",".364",".379","14128"
"Nelson Cruz","SEA","645","423","93.2","117.7","12.4","58","13.7%","206","48.7%",".288",".288",".549",".598",".385",".405","2434"
"Miguel Sano","MIN","483","252","92.3","114.6","13.1","37","14.7%","119","47.2%",".264",".240",".507",".496",".361",".348","12164"
"Matt Olson","OAK","216","129","92.3","111.0","17.4","18","14.0%","64","49.6%",".259",".259",".651",".588",".411",".392","14344"
"Khris Davis","OAK","652","378","92.2","113.5","14.2","64","16.9%","197","52.1%",".247",".259",".528",".575",".361",".387","9112"
"Giancarlo Stanton","MIA","692","437","91.9","122.2","11.1","74","16.9%","199","45.5%",".281",".277",".631",".599",".410",".403","4949"
"Paul Goldschmidt","ARI","665","416","91.4","112.4","11.5","51","12.3%","196","47.1%",".297",".284",".563",".562",".400",".398","9218"
"Ryan Zimmerman","WSN","576","403","91.4","113.1","8.3","45","11.2%","194","48.1%",".303",".290",".573",".555",".387",".378","4220"
"Manny Machado","BAL","690","524","91.3","116.3","13.6","49","9.4%","249","47.5%",".259",".279",".471",".517",".328",".360","11493"
"Kendrys Morales","TOR","608","428","91.2","113.0","9.6","39","9.1%","196","45.8%",".250",".270",".445",".512",".320",".354","8610"
"Miguel Cabrera","DET","529","362","91.1","111.5","12.4","35","9.7%","173","47.8%",".249",".282",".399",".521",".313",".370","1744"
"Bryce Harper","WSN","492","324","91.1","116.3","14.1","31","9.6%","138","42.6%",".319",".294",".595",".550",".416",".394","11579"
"Alex Avila","- - -","376","193","91.0","107.9","12.4","26","13.5%","99","51.3%",".264",".273",".447",".555",".362",".401","7476"
"J.D. Martinez","- - -","489","308","91.0","114.8","15.4","57","18.5%","151","49.0%",".303",".300",".690",".693",".430",".432","6184"
"Rhys Hoskins","PHI","212","126","90.9","110.2","18.4","17","13.5%","57","45.2%",".259",".256",".618",".556",".417",".398","16472"
"Jose Martinez","STL","307","215","90.9","111.5","11.3","22","10.2%","97","45.1%",".309",".329",".518",".598",".379",".418","7996"
"Gary Sanchez","NYY","525","355","90.8","115.7","13.1","41","11.5%","153","43.1%",".278",".288",".531",".552",".368",".385","11442"
"Cody Bellinger","LAD","548","337","90.8","112.8","17.5","39","11.6%","154","45.7%",".267",".254",".581",".540",".380",".365","15998"
"Marcell Ozuna","MIA","679","471","90.7","114.5","10.1","40","8.5%","214","45.4%",".312",".284",".548",".520",".388",".369","10324"
"Josh Donaldson","TOR","496","306","90.7","113.5","13.8","39","12.7%","135","44.1%",".270",".259",".559",".550",".396",".392","5038"
"Adam Lind","WSN","301","226","90.7","118.3","10.7","16","7.1%","101","44.7%",".303",".283",".513",".524",".363",".370","8027"
"Christian Yelich","MIA","695","472","90.6","112.4","4.7","29","6.1%","214","45.3%",".282",".287",".439",".460",".348",".363","11477"
"Joe Mauer","MIN","597","445","90.6","108.2","6.2","17","3.8%","204","45.8%",".305",".308",".417",".469",".349",".368","1857"
"Jose Abreu","CHW","675","506","90.6","114.9","11.1","43","8.5%","231","45.7%",".304",".290",".552",".520",".377",".364","15676"
"Carlos Correa","HOU","481","334","90.4","112.0","9.2","28","8.4%","153","45.8%",".315",".316",".550",".558",".394",".401","14162"
"Lucas Duda","- - -","491","290","90.3","114.5","19.2","33","11.4%","128","44.1%",".217",".238",".496",".485",".341",".348","2502"
"Mike Zunino","SEA","435","228","90.3","114.1","20.5","32","14.0%","107","46.9%",".251",".220",".509",".466",".355",".329","13265"
"Avisail Garcia","CHW","561","408","90.3","115.5","7.6","35","8.6%","166","40.7%",".330",".296",".506",".513",".375",".365","5760"
"Robinson Cano","SEA","648","510","90.3","112.7","7.4","28","5.5%","223","43.7%",".280",".294",".453",".486",".334",".355","3269"
"Chris Davis","BAL","524","265","90.1","109.8","15.0","30","11.3%","120","45.3%",".215",".223",".423",".447",".312",".329","9272"
"Yoenis Cespedes","NYM","321","232","90.1","115.2","18.9","23","9.9%","103","44.4%",".292",".272",".540",".521",".369",".356","13110"
"Joc Pederson","LAD","323","206","90.1","114.1","10.2","17","8.3%","87","42.2%",".212",".240",".407",".431",".322",".343","11899"
"Matt Chapman","OAK","326","200","90.0","112.3","19.9","21","10.5%","79","39.5%",".234",".225",".472",".450",".332",".324","16505"
"Yuli Gurriel","HOU","564","473","89.9","114.4","10.4","15","3.2%","204","43.1%",".299",".287",".486",".435",".344",".326","19198"
"Ryan Braun","MIL","425","308","89.9","114.7","7.7","23","7.5%","134","43.5%",".268",".269",".487",".476",".347",".348","3410"
"Matt Holliday","NYY","427","264","89.8","116.0","11.8","27","10.2%","115","43.6%",".231",".232",".432",".435",".320",".333","1873"
"Rafael Devers","BOS","240","165","89.8","112.3","8.1","12","7.3%","74","44.8%",".284",".230",".482",".416",".344",".298","17350"
"Chris Carter","NYY","208","110","89.8","110.8","22.2","13","11.8%","42","38.2%",".201",".195",".370",".414",".284",".300","9911"
"Seth Smith","BAL","373","252","89.8","112.4","9.9","17","6.7%","102","40.5%",".258",".269",".433",".456",".332",".349","7331"
"Anthony Rendon","WSN","605","432","89.8","110.1","18.3","25","5.8%","162","37.5%",".301",".275",".533",".478",".394",".369","12861"
"Eric Hosmer","KCR","671","501","89.8","118.0","3.9","31","6.2%","195","38.9%",".318",".286",".498",".454",".376",".352","3516"
"Corey Seager","LAD","613","411","89.7","110.9","11.1","33","8.0%","181","44.0%",".295",".300",".479",".522",".364",".383","13624"
"Matt Carpenter","STL","622","379","89.7","113.0","22.6","30","7.9%","139","36.7%",".241",".255",".451",".483",".361",".381","8090"
"Justin Smoak","TOR","637","434","89.7","110.0","17.2","52","12.0%","186","42.9%",".270",".278",".529",".567",".371",".390","9054"
