"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"Aaron Judge","NYY","447","239","96.0","118.1","11.2","47","19.7%","136","56.9%",".272",".274",".540",".574",".382",".398","15640"
"Joey Gallo","TEX","297","129","94.8","115.4","22.4","33","25.6%","68","52.7%",".253",".225",".598",".604",".401",".397","14128"
"Miguel Sano","MIN","439","222","94.4","114.2","15.9","45","20.3%","127","57.2%",".247",".235",".576",".550",".378",".368","12164"
"Nelson Cruz","MIN","521","327","93.7","117.0","13.1","61","18.7%","168","51.4%",".311",".290",".639",".637",".417",".415","2434"
"Kyle Schwarber","CHC","610","379","93.5","117.6","15.5","53","14.0%","193","50.9%",".250",".264",".531",".553",".357",".375","16478"
"Franmil Reyes","- - -","548","345","93.3","115.0","9.5","50","14.5%","176","51.0%",".249",".259",".512",".535",".338",".359","14566"
"Christian Yelich","MIL","580","374","93.3","117.9","11.3","59","15.8%","182","48.7%",".329",".314",".671",".629",".442",".429","11477"
"Yoan Moncada","CHW","559","361","93.1","115.8","12.3","39","10.8%","173","47.9%",".315",".282",".548",".518",".379",".358","17232"
"Josh Donaldson","ATL","659","396","92.9","114.2","13.3","60","15.2%","200","50.5%",".259",".262",".521",".530",".377",".385","5038"
"Shohei Ohtani","LAA","425","280","92.8","115.1","6.7","32","11.4%","131","46.8%",".286",".284",".505",".493",".352",".354","19755"
"Matt Olson","OAK","547","346","92.8","111.9","19.2","49","14.2%","171","49.4%",".267",".278",".545",".578",".368",".388","14344"
"Matt Chapman","OAK","670","439","92.7","114.4","16.4","48","10.9%","211","48.1%",".249",".251",".506",".502",".354",".358","16505"
"Jorge Soler","KCR","679","418","92.6","115.7","15.6","68","16.3%","207","49.5%",".265",".276",".569",".596",".378",".396","14221"
"Rafael Devers","BOS","702","531","92.5","115.0","10.4","43","8.1%","252","47.5%",".311",".298",".555",".528",".377",".368","17350"
"Josh Bell","PIT","613","416","92.4","116.2","13.1","50","12.0%","193","46.4%",".277",".285",".569",".561",".378",".386","13145"
"Yordan Alvarez","HOU","369","221","92.2","117.9","13.4","36","16.3%","107","48.4%",".313",".288",".655",".597",".432",".410","19556"
"Jose Abreu","CHW","693","492","92.1","117.9","10.9","59","12.0%","237","48.2%",".284",".279",".503",".517",".344",".358","15676"
"Juan Soto","WSN","659","416","92.0","112.8","12.5","47","11.3%","199","47.8%",".282",".285",".548",".575",".394",".409","20123"
"Bryce Harper","PHI","682","399","91.9","116.4","13.8","54","13.5%","182","45.6%",".260",".273",".510",".547",".365",".387","11579"
"Ryan McMahon","COL","539","322","91.9","112.9","8.8","28","8.7%","154","47.8%",".250",".243",".450",".430",".330",".325","15112"
"Shin-Soo Choo","TEX","660","399","91.9","111.8","9.2","32","8.0%","195","48.9%",".265",".263",".455",".474",".353",".362","3174"
"DJ LeMahieu","NYY","655","517","91.9","111.1","6.5","36","7.0%","246","47.6%",".327",".314",".518",".522",".375",".376","9874"
"Marcell Ozuna","STL","549","372","91.8","115.3","13.5","44","11.8%","179","48.1%",".241",".284",".472",".532",".336",".378","10324"
"Carlos Santana","CLE","686","467","91.8","112.8","11.7","44","9.4%","209","44.8%",".281",".266",".515",".480",".380",".367","2396"
"Jason Castro","MIN","275","151","91.8","110.5","14.4","24","15.9%","71","47.0%",".232",".246",".435",".517",".328",".363","8722"
"Yandy Diaz","TBR","347","250","91.7","114.3","5.7","23","9.2%","112","44.8%",".267",".279",".476",".486",".341",".355","16578"
"Howie Kendrick","WSN","370","290","91.7","112.4","10.8","30","10.3%","140","48.3%",".344",".332",".572",".614",".400",".418","4229"
"Brandon Lowe","TBR","327","184","91.6","114.3","19.2","26","14.1%","85","46.2%",".270",".237",".514",".500",".354",".341","18882"
"JaCoby Jones","DET","333","206","91.6","112.8","14.0","20","9.7%","97","47.1%",".235",".246",".430",".449",".311",".327","14818"
"Hunter Pence","TEX","316","219","91.5","113.1","9.9","20","9.1%","92","42.0%",".297",".282",".552",".516",".377",".364","8252"
"J.D. Davis","NYM","453","315","91.5","114.7","10.2","33","10.5%","149","47.3%",".307",".312",".527",".546",".373",".386","16219"
"Ryan Braun","MIL","508","361","91.5","111.7","7.2","31","8.6%","160","44.3%",".285",".266",".505",".470",".354",".339","3410"
"Keston Hiura","MIL","348","208","91.4","112.4","16.4","26","12.5%","100","48.1%",".303",".256",".570",".514",".388",".352","20003"
"Alex Avila","ARI","201","96","91.4","107.9","9.4","16","16.7%","47","49.0%",".207",".230",".421",".499",".323",".360","7476"
"Danny Santana","TEX","511","329","91.4","113.1","13.4","29","8.8%","143","43.5%",".283",".277",".534",".504",".352",".345","10322"
"J.D. Martinez","BOS","657","443","91.3","112.6","12.5","48","10.8%","208","47.0%",".304",".301",".557",".567",".386",".396","6184"
"Kendrys Morales","- - -","201","145","91.3","111.2","9.6","10","6.9%","65","44.8%",".194",".274",".253",".444",".264",".365","8610"
"Ji-Man Choi","TBR","487","309","91.2","110.1","12.7","29","9.4%","132","42.7%",".261",".260",".459",".492",".348",".365","5452"
"Manny Machado","SDP","661","462","91.2","112.6","12.9","35","7.6%","202","43.7%",".256",".261",".462",".463",".335",".343","11493"
"Joc Pederson","LAD","514","341","91.2","113.7","15.2","34","10.0%","146","42.8%",".249",".249",".538",".479",".362",".347","11899"
"Nick Markakis","ATL","469","361","91.2","114.7","7.3","9","2.5%","160","44.3%",".285",".298",".420",".430",".332",".350","5930"
"Gary Sanchez","NYY","446","272","91.2","118.3","19.0","50","18.4%","112","41.2%",".232",".251",".525",".569",".346",".375","11442"
"Teoscar Hernandez","TOR","464","265","91.2","112.1","15.3","30","11.3%","112","42.3%",".230",".215",".472",".447",".325",".312","13066"
"Eloy Jimenez","CHW","504","336","91.2","114.1","9.3","41","12.2%","161","47.9%",".267",".261",".513",".515",".343",".347","17484"
"Cody Bellinger","LAD","660","454","91.1","110.6","17.9","57","12.6%","207","45.6%",".305",".319",".629",".635",".415",".430","15998"
"Mitch Garver","MIN","359","226","91.1","109.7","15.3","34","15.0%","113","50.0%",".273",".255",".630",".573",".404",".382","15161"
"Rougned Odor","TEX","581","346","91.1","113.1","17.9","47","13.6%","157","45.4%",".205",".221",".439",".464",".302",".321","12282"
"C.J. Cron","MIN","499","353","91.1","115.9","12.7","50","14.2%","158","44.8%",".253",".274",".469",".548",".325",".366","12546"
"Hunter Dozier","KCR","586","380","91.1","115.1","16.7","34","8.9%","163","42.9%",".279",".260",".522",".468",".360",".338","15117"
"Christian Walker","ARI","603","375","91.1","112.4","14.7","43","11.5%","183","48.8%",".259",".262",".476",".516",".346",".364","13419"
"Javier Baez","CHC","561","377","91.1","114.1","7.7","47","12.5%","163","43.2%",".281",".264",".531",".506",".347",".336","12979"
"Francisco Lindor","CLE","654","507","91.0","113.5","12.2","36","7.1%","207","40.8%",".284",".273",".518",".464",".349",".333","12916"
"Mookie Betts","BOS","706","505","91.0","109.3","19.2","47","9.3%","237","46.9%",".295",".311",".524",".577",".380",".411","13611"
"Trevor Story","COL","656","417","91.0","111.8","17.5","32","7.7%","192","46.0%",".294",".260",".554",".464",".380",".341","12564"
"Robinson Cano","NYM","423","324","90.9","112.1","7.4","21","6.5%","150","46.3%",".256",".280",".428",".448",".308",".330","3269"
"Ian Desmond","COL","482","327","90.9","113.6","8.7","32","9.8%","139","42.5%",".255",".270",".479",".481",".328",".340","6885"
"Chad Pinder","OAK","370","257","90.9","110.0","8.6","20","7.8%","110","42.8%",".240",".253",".416",".443",".298",".319","15191"
"Mike Trout","LAA","600","354","90.9","116.6","22.2","62","17.5%","155","43.8%",".291",".310",".645",".678",".436",".460","10155"
"Tommy Pham","TBR","654","445","90.9","113.3","5.2","32","7.2%","200","44.9%",".273",".270",".450",".455",".349",".354","2967"
"Eric Thames","MIL","459","258","90.9","110.5","19.0","22","8.5%","111","43.0%",".247",".222",".505",".429",".354",".324","3711"
"Jorge Alfaro","MIA","465","279","90.8","114.7","4.7","30","10.8%","125","44.8%",".262",".251",".425",".460",".312",".324","12180"
