"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"Giancarlo Stanton","MIA","318","187","96.1","120.3","16.0","44","23.5%","98","52.4%",".265",".277",".606",".614",".394",".411","4949"
"Miguel Sano","MIN","335","162","94.1","113.6","16.3","31","19.1%","86","53.1%",".269",".243",".530",".538",".392",".386","12164"
"Miguel Cabrera","DET","511","349","93.8","115.6","12.2","33","9.5%","184","52.7%",".338",".323",".534",".595",".413",".432","1744"
"David Ortiz","BOS","614","442","93.0","113.6","15.6","55","12.4%","218","49.3%",".273",".301",".553",".616",".379",".420","745"
"Mike Trout","LAA","682","422","92.9","117.7","14.0","68","16.1%","205","48.6%",".299",".297",".590",".588",".415",".422","10155"
"Nelson Cruz","SEA","655","427","92.6","119.0","9.3","56","13.1%","203","47.5%",".302",".286",".566",".546",".396",".386","2434"
"Josh Donaldson","TOR","711","499","92.5","113.6","10.4","57","11.4%","232","46.5%",".297",".280",".568",".546",".398",".390","5038"
"Randal Grichuk","STL","350","214","92.2","112.0","16.4","29","13.6%","99","46.3%",".276",".243",".548",".488",".370",".338","10243"
"Ryan Braun","MIL","568","395","92.2","114.9","7.6","38","9.6%","182","46.1%",".285",".281",".498",".503",".366",".374","3410"
"Yoenis Cespedes","- - -","676","497","92.2","112.9","12.2","52","10.5%","223","44.9%",".291",".294",".542",".546",".367",".380","13110"
"Chris Davis","BAL","670","370","92.1","113.2","17.5","62","16.8%","171","46.2%",".262",".262",".562",".589",".390",".403","9272"
"Paul Goldschmidt","ARI","695","424","92.0","114.0","12.9","52","12.3%","197","46.5%",".321",".279",".570",".558",".418",".403","9218"
"Jose Bautista","TOR","666","445","92.0","116.3","17.0","54","12.1%","204","45.8%",".250",".260",".536",".514",".389",".390","1887"
"Mark Trumbo","- - -","545","377","92.0","116.5","13.1","33","8.8%","161","42.7%",".262",".252",".449",".442",".327",".325","6876"
"Ryan Zimmerman","WSN","390","277","92.0","111.3","8.1","23","8.3%","134","48.4%",".249",".288",".465",".505",".329",".370","4220"
"Pedro Alvarez","PIT","491","310","91.9","115.4","7.1","32","10.3%","146","47.1%",".243",".257",".469",".471",".333",".343","2495"
"Kendrys Morales","KCR","639","470","91.9","113.4","10.1","40","8.5%","221","47.0%",".290",".285",".485",".504",".364",".375","8610"
"Kyle Schwarber","CHC","273","156","91.9","111.3","15.5","19","12.2%","66","42.3%",".246",".241",".487",".485",".364",".365","16478"
"Danny Valencia","- - -","378","268","91.9","112.6","6.0","24","9.0%","124","46.3%",".290",".277",".519",".489",".367",".355","6364"
"Jorge Soler","CHC","404","248","91.8","116.2","11.3","23","9.3%","108","43.5%",".262",".260",".399",".416",".312",".323","14221"
"Lucas Duda","NYM","554","336","91.8","114.1","19.8","37","11.0%","141","42.0%",".244",".254",".486",".504",".359",".372","2502"
"Christian Yelich","MIA","525","375","91.7","112.5","0.2","16","4.3%","169","45.1%",".300",".304",".416",".443",".343",".358","11477"
"Marcell Ozuna","MIA","494","351","91.7","114.5","7.2","19","5.4%","157","44.7%",".259",".266",".383",".426",".302",".326","10324"
"David Peralta","ARI","517","362","91.6","116.0","6.7","25","6.9%","156","43.1%",".312",".281",".522",".457",".380",".355","2136"
"Mitch Moreland","TEX","515","364","91.4","112.5","11.4","35","9.6%","166","45.6%",".278",".277",".482",".506",".348",".362","3086"
"Bryce Harper","WSN","654","394","91.4","116.0","14.6","48","12.2%","188","47.7%",".330",".292",".649",".544",".461",".418","11579"
