"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Gary Sanchez","NYY",".317","1.44","16.4%","49.3%","34.2%","14.0%","40.0%","5","6.9%","0","0.0%","54.1%","30.8%","15.1%","18.5%","39.7%","41.8%","11442"
"Alex Avila","CHW",".341","2.29","25.0%","52.2%","22.8%","4.8%","33.3%","1","2.1%","0","0.0%","38.0%","43.5%","18.5%","8.7%","58.7%","32.6%","7476"
"Ryan Braun","MIL",".326","2.22","19.3%","55.7%","25.1%","7.7%","28.8%","21","9.1%","0","0.0%","35.6%","37.0%","27.4%","17.8%","47.8%","34.4%","3410"
"Domingo Santana","MIL",".359","1.73","30.1%","44.2%","25.6%","5.0%","27.5%","2","2.9%","0","0.0%","39.1%","35.9%","25.0%","14.1%","47.4%","38.5%","10348"
"Ryan Howard","PHI",".205","0.81","22.7%","34.5%","42.7%","2.1%","26.6%","1","1.3%","0","0.0%","42.3%","42.7%","15.0%","11.4%","42.7%","45.9%","2154"
"Khris Davis","OAK",".270","1.06","17.0%","42.7%","40.2%","5.1%","26.6%","11","6.5%","0","0.0%","38.6%","36.0%","25.4%","14.7%","46.2%","39.1%","9112"
"Franklin Gutierrez","SEA",".309","1.57","18.1%","50.0%","31.9%","7.5%","26.4%","6","7.2%","0","0.0%","46.4%","37.3%","16.3%","15.1%","38.0%","47.0%","3255"
"Nelson Cruz","SEA",".320","1.18","18.1%","44.4%","37.5%","8.5%","26.2%","17","8.8%","0","0.0%","40.7%","37.3%","22.0%","16.2%","47.4%","36.4%","2434"
"Keon Broxton","MIL",".373","1.49","25.0%","44.8%","30.2%","2.9%","25.7%","3","5.8%","3","75.0%","40.0%","40.0%","20.0%","13.3%","43.3%","43.3%","9253"
"Dae-Ho Lee","SEA",".294","2.09","22.0%","52.8%","25.2%","3.6%","25.5%","6","5.2%","0","0.0%","36.2%","35.8%","28.0%","20.2%","53.2%","26.6%","18722"
"Yasmani Grandal","LAD",".250","1.14","16.1%","44.7%","39.2%","11.2%","25.2%","6","4.9%","1","50.0%","42.9%","37.5%","19.6%","17.5%","43.6%","38.9%","11368"
"Pedro Alvarez","BAL",".282","1.30","16.5%","47.1%","36.4%","15.9%","25.0%","6","5.3%","0","0.0%","46.3%","29.8%","24.0%","20.7%","40.5%","38.8%","2495"
"Sean Rodriguez","PIT",".344","1.11","24.4%","39.8%","35.8%","6.9%","25.0%","3","3.8%","0","0.0%","41.6%","34.7%","23.8%","15.3%","41.6%","43.1%","6589"
"Chris Davis","BAL",".279","0.84","19.8%","36.5%","43.7%","5.9%","25.0%","4","3.1%","1","50.0%","41.7%","35.7%","22.6%","12.9%","46.9%","40.3%","9272"
"Jeremy Hazelbaker","STL",".278","1.40","14.8%","49.6%","35.6%","6.3%","25.0%","7","10.4%","2","28.6%","34.5%","33.8%","31.7%","25.4%","43.7%","31.0%","9399"
"Yasmany Tomas","ARI",".310","1.52","21.0%","47.6%","31.4%","4.0%","25.0%","7","3.7%","0","0.0%","41.0%","29.4%","29.6%","14.9%","44.1%","41.0%","17171"
"Mark Trumbo","BAL",".278","0.92","17.4%","39.5%","43.1%","12.6%","24.6%","10","5.7%","0","0.0%","42.0%","34.1%","23.9%","19.2%","41.5%","39.3%","6876"
"Jedd Gyorko","STL",".244","1.01","19.0%","40.7%","40.3%","5.7%","24.4%","10","8.1%","0","0.0%","45.2%","33.1%","21.6%","16.7%","48.5%","34.8%","10816"
"Trayce Thompson","LAD",".255","1.63","16.5%","51.8%","31.8%","9.3%","24.1%","5","5.7%","0","0.0%","41.2%","41.8%","17.1%","19.4%","49.4%","31.2%","9952"
"Evan Gattis","HOU",".273","1.00","17.9%","41.0%","41.0%","11.3%","24.1%","12","9.0%","0","0.0%","46.6%","36.7%","16.7%","17.6%","50.0%","32.4%","11003"
"Chris Carter","MIL",".260","0.65","19.5%","31.7%","48.7%","9.3%","23.8%","7","6.3%","0","0.0%","37.7%","39.4%","22.9%","14.4%","45.0%","40.5%","9911"
"Trevor Story","COL",".343","0.62","23.6%","29.3%","47.1%","8.8%","23.7%","6","8.5%","1","33.3%","40.0%","33.1%","26.9%","14.3%","40.8%","44.9%","12564"
"Christian Yelich","MIA",".356","2.82","23.4%","56.5%","20.0%","5.6%","23.6%","15","6.0%","1","100.0%","36.0%","35.1%","29.0%","17.5%","44.5%","38.0%","11477"
"Willson Contreras","CHC",".339","1.96","17.9%","54.3%","27.7%","3.9%","23.5%","11","11.0%","1","50.0%","42.5%","34.4%","23.1%","17.7%","50.0%","32.3%","11609"
"Jung Ho Kang","PIT",".273","1.13","20.3%","42.3%","37.3%","6.7%","23.3%","8","7.8%","0","0.0%","43.6%","35.3%","21.2%","17.4%","43.2%","39.4%","17182"
"Joc Pederson","LAD",".296","1.00","20.6%","39.7%","39.7%","11.1%","23.1%","7","6.5%","3","42.9%","41.6%","37.3%","21.1%","17.2%","44.1%","38.7%","11899"
"Giancarlo Stanton","MIA",".290","0.92","16.7%","40.0%","43.3%","11.8%","22.7%","8","7.3%","0","0.0%","40.4%","37.1%","22.5%","17.1%","40.0%","42.9%","4949"
"Matt Joyce","PIT",".285","1.29","18.4%","46.0%","35.6%","10.3%","22.4%","0","0.0%","1","100.0%","47.0%","31.7%","21.3%","17.1%","47.0%","36.0%","3353"
"Tyler Naquin","CLE",".411","1.54","23.4%","46.4%","30.1%","7.9%","22.2%","4","4.1%","0","0.0%","37.6%","35.7%","26.8%","16.9%","44.6%","38.5%","13359"
"Miguel Cabrera","DET",".336","1.17","22.7%","41.7%","35.5%","4.7%","22.1%","4","2.0%","0","0.0%","37.8%","33.1%","29.1%","9.7%","49.2%","41.1%","1744"
"Joey Votto","CIN",".366","1.45","27.3%","43.0%","29.7%","0.0%","22.0%","4","2.1%","0","0.0%","36.9%","35.4%","27.7%","11.9%","49.3%","38.7%","4314"
"David Freese","PIT",".372","2.98","19.0%","60.7%","20.3%","3.3%","21.7%","16","8.9%","0","0.0%","34.6%","38.3%","27.1%","16.6%","48.1%","35.3%","9549"
"Adam Rosales","SDP",".308","0.80","16.9%","36.9%","46.2%","8.3%","21.7%","2","4.2%","0","0.0%","48.5%","31.5%","20.0%","13.8%","49.2%","36.9%","9682"
"Edwin Encarnacion","TOR",".270","0.92","20.4%","38.2%","41.4%","12.3%","21.5%","15","8.3%","0","0.0%","52.2%","29.3%","18.5%","16.8%","45.6%","37.6%","2151"
"Eric Hosmer","KCR",".301","2.38","16.5%","58.9%","24.7%","6.0%","21.4%","10","3.6%","2","66.7%","36.1%","34.6%","29.4%","18.9%","46.8%","34.4%","3516"
"Wilson Ramos","WSN",".327","2.15","20.4%","54.3%","25.3%","5.8%","21.4%","15","6.8%","0","0.0%","38.3%","34.2%","27.5%","17.9%","46.7%","35.4%","1433"
"Jake Lamb","ARI",".294","1.25","17.4%","45.8%","36.7%","6.6%","21.2%","13","7.6%","0","0.0%","43.2%","34.3%","22.5%","13.9%","46.6%","39.4%","13329"
"Hanley Ramirez","BOS",".315","1.47","18.8%","48.4%","32.9%","12.0%","21.1%","15","7.2%","0","0.0%","37.9%","36.3%","25.9%","22.6%","40.2%","37.2%","8001"
"Miguel Sano","MIN",".329","0.74","20.2%","34.0%","45.8%","4.2%","20.8%","5","5.6%","0","0.0%","36.3%","39.3%","24.4%","14.1%","45.8%","40.1%","12164"
"Byung-ho Park","MIN",".230","0.98","16.7%","41.3%","42.0%","10.3%","20.7%","2","3.5%","0","0.0%","47.8%","33.3%","18.8%","20.3%","42.8%","37.0%","18497"
"Mike Napoli","CLE",".296","0.81","18.5%","36.4%","45.1%","14.5%","20.5%","8","6.0%","0","0.0%","47.6%","31.8%","20.7%","19.3%","44.0%","36.7%","3057"
"David Ross","CHC",".262","0.78","23.7%","33.3%","43.0%","6.1%","20.4%","1","2.6%","3","42.9%","40.5%","34.7%","24.8%","19.0%","46.3%","34.7%","1551"
"Brad Miller","TBR",".277","1.22","18.5%","44.8%","36.8%","9.5%","20.4%","12","6.7%","1","50.0%","42.5%","32.8%","24.6%","22.6%","42.3%","35.1%","12775"
"Freddie Freeman","ATL",".370","0.75","29.1%","30.3%","40.5%","5.3%","19.9%","5","3.9%","1","100.0%","36.6%","33.6%","29.8%","12.5%","44.0%","43.5%","5361"
"Yoenis Cespedes","NYM",".298","0.90","21.5%","37.1%","41.4%","11.5%","19.9%","8","5.7%","0","0.0%","39.3%","36.9%","23.9%","15.4%","45.4%","39.3%","13110"
"Josh Donaldson","TOR",".300","0.94","21.3%","38.2%","40.6%","10.2%","19.8%","8","4.5%","0","0.0%","46.0%","27.6%","26.3%","16.4%","43.2%","40.4%","5038"
"George Springer","HOU",".317","1.53","20.3%","48.2%","31.5%","6.1%","19.7%","14","6.2%","0","0.0%","39.0%","38.3%","22.7%","19.5%","46.9%","33.6%","12856"
"Jonathan Villar","MIL",".373","2.31","20.3%","55.6%","24.1%","11.3%","19.6%","22","9.8%","7","33.3%","32.3%","41.7%","25.9%","20.5%","44.3%","35.1%","10071"
"Michael Saunders","TOR",".321","1.11","22.5%","40.7%","36.8%","6.5%","19.5%","7","5.1%","2","66.7%","41.2%","33.2%","25.5%","16.0%","46.6%","37.4%","9981"
"Oswaldo Arcia","- - -",".287","1.24","24.6%","41.8%","33.6%","9.8%","19.5%","1","2.0%","0","0.0%","51.2%","28.5%","20.3%","20.3%","48.8%","30.9%","10306"
"Brandon Moss","STL",".261","0.51","20.4%","27.0%","52.6%","8.3%","19.4%","5","6.8%","1","33.3%","46.2%","31.4%","22.4%","19.1%","40.8%","40.1%","4467"
"Jay Bruce","- - -",".266","0.91","21.9%","37.1%","41.0%","5.9%","19.4%","8","5.2%","0","0.0%","44.5%","35.8%","19.7%","14.7%","47.1%","38.2%","9892"
"Kirk Nieuwenhuis","MIL",".302","1.37","19.7%","46.5%","33.8%","6.0%","19.4%","2","2.2%","4","100.0%","48.5%","27.2%","24.3%","13.4%","51.5%","35.1%","6400"
"Robinson Cano","SEA",".299","1.27","18.0%","45.9%","36.1%","8.9%","19.3%","11","4.3%","0","0.0%","38.9%","35.2%","25.9%","17.9%","46.6%","35.5%","3269"
