"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Justin Bour","MIA",".278","1.27","21.7%","43.8%","34.5%","6.4%","19.2%","2","2.0%","1","100.0%","44.1%","31.3%","24.7%","15.4%","49.3%","35.2%","9744"
"Rickie Weeks Jr.","ARI",".288","1.21","18.1%","44.9%","37.0%","10.6%","19.1%","6","10.5%","0","0.0%","40.2%","40.9%","18.9%","15.7%","44.1%","40.2%","1849"
"Paul Goldschmidt","ARI",".358","1.61","24.7%","46.5%","28.8%","14.3%","19.0%","10","4.9%","0","0.0%","39.1%","35.9%","24.9%","14.2%","48.3%","37.5%","9218"
"Jefry Marte","LAA",".267","1.18","14.9%","46.0%","39.1%","15.2%","19.0%","4","4.3%","0","0.0%","50.5%","29.7%","19.8%","21.3%","42.6%","36.1%","5107"
"Kendrys Morales","KCR",".283","1.24","20.1%","44.2%","35.7%","6.3%","19.0%","6","3.1%","0","0.0%","37.9%","37.9%","24.2%","12.9%","46.0%","41.1%","8610"
"Todd Frazier","CHW",".236","0.73","15.7%","35.6%","48.7%","18.5%","19.0%","6","3.9%","1","50.0%","48.7%","28.5%","22.8%","20.7%","48.0%","31.3%","785"
"Mike Trout","LAA",".371","1.12","22.1%","41.2%","36.7%","2.6%","19.0%","18","10.5%","0","0.0%","40.5%","32.9%","26.6%","12.0%","46.3%","41.7%","10155"
"Tommy Joseph","PHI",".267","0.82","17.9%","37.0%","45.1%","13.5%","18.9%","3","3.3%","0","0.0%","41.9%","37.8%","20.3%","20.3%","43.1%","36.6%","10349"
"Kris Bryant","CHC",".332","0.67","23.7%","30.5%","45.8%","12.1%","18.8%","18","13.0%","0","0.0%","46.7%","33.6%","19.7%","17.0%","42.7%","40.3%","15429"
"Wil Myers","SDP",".305","1.32","21.4%","44.7%","33.9%","6.0%","18.7%","18","9.1%","0","0.0%","38.3%","37.8%","23.9%","16.7%","49.8%","33.6%","10047"
"Steven Souza Jr.","TBR",".348","1.20","24.9%","40.9%","34.2%","9.8%","18.5%","15","13.6%","2","66.7%","45.6%","31.3%","23.2%","15.1%","52.6%","32.4%","5667"
"David Ortiz","BOS",".312","0.73","22.1%","32.8%","45.1%","7.3%","18.4%","1","0.7%","0","0.0%","48.0%","34.1%","17.9%","12.4%","41.7%","45.9%","745"
"Matt Kemp","- - -",".297","1.01","20.5%","39.9%","39.7%","4.7%","18.4%","5","2.6%","0","0.0%","44.5%","33.0%","22.5%","15.2%","48.9%","35.9%","5631"
"Brian Dozier","MIN",".280","0.76","15.9%","36.4%","47.7%","13.2%","18.4%","19","10.9%","2","33.3%","56.4%","28.3%","15.3%","18.2%","47.1%","34.7%","9810"
"Justin Upton","DET",".301","0.90","18.3%","38.7%","43.0%","11.2%","18.3%","4","2.6%","0","0.0%","39.2%","36.4%","24.4%","21.1%","41.0%","37.9%","5222"
"Ian Desmond","TEX",".350","2.06","20.6%","53.4%","26.0%","9.1%","18.2%","19","7.6%","1","50.0%","31.2%","38.0%","30.8%","20.5%","49.1%","30.3%","6885"
"Jackie Bradley Jr.","BOS",".312","1.38","18.4%","47.3%","34.4%","11.1%","18.1%","12","6.1%","0","0.0%","46.0%","34.3%","19.8%","16.0%","48.1%","36.0%","12984"
"J.D. Martinez","DET",".378","1.17","21.4%","42.4%","36.2%","4.1%","18.0%","9","6.3%","0","0.0%","40.4%","35.9%","23.7%","10.7%","48.4%","40.9%","6184"
"Russell Martin","TOR",".291","1.31","17.9%","46.5%","35.6%","13.5%","18.0%","5","3.4%","0","0.0%","37.4%","36.7%","25.9%","18.8%","47.6%","33.5%","4616"
"Seth Smith","SEA",".282","1.57","21.6%","47.9%","30.5%","12.4%","18.0%","1","0.7%","1","100.0%","43.0%","39.6%","17.4%","15.0%","51.2%","33.8%","7331"
"Corey Seager","LAD",".355","1.58","24.4%","46.3%","29.3%","2.1%","17.9%","8","3.5%","0","0.0%","37.1%","34.3%","28.6%","12.7%","47.6%","39.7%","13624"
"Randal Grichuk","STL",".294","0.93","15.7%","40.5%","43.8%","10.4%","17.9%","8","6.5%","0","0.0%","47.1%","31.4%","21.6%","17.0%","43.1%","39.9%","10243"
"Matt Holliday","STL",".253","1.39","14.1%","50.0%","35.9%","8.0%","17.9%","7","4.5%","0","0.0%","37.8%","34.0%","28.2%","17.6%","43.9%","38.5%","1873"
"Adam Duvall","CIN",".275","0.72","19.4%","33.8%","46.7%","8.1%","17.8%","10","7.5%","0","0.0%","49.5%","31.1%","19.4%","16.4%","44.7%","38.9%","10950"
"Justin Smoak","TOR",".295","0.72","27.3%","30.5%","42.2%","7.6%","17.7%","3","5.3%","0","0.0%","41.7%","28.3%","29.9%","12.3%","48.7%","39.0%","9054"
"Adam Lind","SEA",".259","1.22","20.1%","43.9%","36.0%","9.7%","17.7%","2","1.4%","0","0.0%","39.5%","33.4%","27.1%","19.7%","44.3%","36.0%","8027"
"Ryan Schimpf","SDP",".260","0.30","15.5%","19.5%","64.9%","15.0%","17.7%","0","0.0%","0","0.0%","40.2%","35.6%","24.1%","22.4%","37.9%","39.7%","9953"
"Shin-Soo Choo","TEX",".288","1.53","22.3%","46.9%","30.8%","2.5%","17.5%","1","1.6%","1","50.0%","40.9%","34.1%","25.0%","9.8%","47.0%","43.2%","3174"
"Melvin Upton Jr.","- - -",".300","1.43","17.6%","48.5%","33.8%","6.1%","17.4%","11","6.7%","0","0.0%","34.1%","36.7%","29.2%","18.1%","51.9%","30.0%","5015"
"Carlos Beltran","- - -",".315","1.14","20.9%","42.1%","37.0%","11.3%","17.3%","13","6.8%","1","100.0%","47.7%","29.9%","22.4%","14.9%","49.2%","35.8%","589"
"Mitch Moreland","TEX",".266","1.11","21.1%","41.5%","37.4%","10.9%","17.2%","10","7.0%","0","0.0%","44.7%","34.2%","21.1%","15.2%","48.2%","36.5%","3086"
"Avisail Garcia","CHW",".309","2.36","21.7%","55.0%","23.3%","7.1%","17.1%","8","4.8%","0","0.0%","36.7%","37.0%","26.3%","18.3%","47.3%","34.3%","5760"
"Danny Espinosa","WSN",".261","0.90","18.2%","38.8%","43.1%","12.1%","17.1%","5","4.0%","9","32.1%","52.7%","29.7%","17.6%","18.1%","48.4%","33.4%","9219"
"Curtis Granderson","NYM",".254","0.86","21.5%","36.4%","42.1%","4.5%","17.0%","3","2.0%","0","0.0%","43.6%","36.7%","19.8%","15.7%","47.4%","36.9%","4747"
"Ryan Rua","TEX",".342","1.83","19.4%","52.1%","28.5%","12.8%","17.0%","6","7.0%","1","100.0%","37.3%","42.2%","20.5%","16.3%","51.2%","32.5%","12409"
"Rougned Odor","TEX",".297","0.95","17.6%","40.2%","42.2%","8.2%","17.0%","12","6.5%","10","71.4%","47.3%","33.5%","19.2%","15.4%","49.2%","35.4%","12282"
"Carlos Santana","CLE",".258","1.04","16.0%","42.8%","41.2%","10.9%","16.9%","8","3.8%","0","0.0%","52.9%","30.7%","16.4%","17.8%","45.9%","36.3%","2396"
"Jorge Soler","CHC",".276","0.92","17.1%","39.6%","43.3%","14.1%","16.9%","7","10.8%","0","0.0%","42.7%","35.4%","22.0%","18.9%","50.0%","31.1%","14221"
"Carlos Gonzalez","COL",".346","1.42","21.3%","46.2%","32.5%","8.1%","16.9%","20","9.5%","0","0.0%","37.1%","37.5%","25.4%","20.2%","42.8%","37.1%","7287"
"Cameron Rupp","PHI",".315","1.40","17.4%","48.2%","34.4%","5.3%","16.8%","6","4.5%","0","0.0%","33.3%","38.4%","28.3%","16.7%","48.9%","34.4%","11146"
"Nolan Arenado","COL",".293","0.75","18.0%","35.2%","46.7%","11.5%","16.8%","13","7.1%","1","100.0%","45.7%","32.1%","22.2%","14.5%","47.6%","37.9%","9777"
"Michael A. Taylor","WSN",".319","1.48","26.8%","43.7%","29.6%","9.5%","16.7%","8","12.9%","1","33.3%","50.3%","33.1%","16.6%","18.6%","49.7%","31.7%","11489"
"Trea Turner","WSN",".388","1.36","25.2%","43.1%","31.7%","6.4%","16.7%","14","13.2%","2","50.0%","36.8%","41.2%","22.0%","17.2%","48.0%","34.8%","16252"
"Carlos Correa","HOU",".328","1.83","22.4%","50.1%","27.4%","6.6%","16.5%","21","9.5%","0","0.0%","39.0%","34.7%","26.3%","16.3%","46.5%","37.2%","14162"
"Manny Machado","BAL",".309","0.88","20.0%","37.3%","42.7%","14.3%","16.5%","16","8.2%","0","0.0%","41.9%","34.5%","23.6%","21.7%","42.9%","35.4%","11493"
"Nomar Mazara","TEX",".299","1.65","21.4%","48.9%","29.7%","8.2%","16.4%","13","6.5%","0","0.0%","37.2%","35.3%","27.5%","20.7%","50.6%","28.7%","14553"
"Jose Bautista","TOR",".255","0.95","18.8%","39.5%","41.7%","17.8%","16.3%","4","3.1%","0","0.0%","52.8%","31.5%","15.7%","21.3%","37.7%","41.0%","1887"
"Steve Pearce","- - -",".318","1.14","19.0%","43.1%","37.9%","11.3%","16.3%","11","12.1%","0","0.0%","45.0%","36.5%","18.5%","15.6%","49.8%","34.6%","9957"
"Anthony Rizzo","CHC",".309","0.93","20.3%","38.4%","41.3%","8.6%","16.2%","5","2.7%","1","100.0%","45.6%","32.6%","21.8%","16.7%","49.0%","34.3%","3473"
"Charlie Blackmon","COL",".350","0.91","27.8%","34.4%","37.8%","7.3%","16.2%","7","4.3%","3","33.3%","43.9%","31.3%","24.8%","19.0%","46.6%","34.4%","7859"
"Neil Walker","NYM",".302","0.82","21.3%","35.4%","43.3%","9.9%","16.2%","4","3.4%","2","66.7%","41.7%","36.9%","21.5%","16.6%","47.4%","36.0%","7539"
"Ryan Raburn","COL",".292","1.20","15.8%","45.9%","38.4%","10.7%","16.1%","4","6.0%","0","0.0%","38.4%","34.9%","26.7%","15.1%","46.6%","38.4%","2218"
"Ryon Healy","OAK",".352","1.07","19.6%","41.6%","38.8%","7.4%","16.0%","8","9.2%","0","0.0%","41.9%","34.3%","23.8%","19.5%","50.5%","30.0%","15447"
"Jason Castro","HOU",".297","1.35","20.2%","45.8%","34.0%","1.4%","15.9%","2","2.2%","2","50.0%","43.0%","29.0%","28.0%","15.0%","49.8%","35.3%","8722"
"Alex Rodriguez","NYY",".237","1.30","18.6%","46.0%","35.4%","14.0%","15.8%","3","4.1%","0","0.0%","42.2%","30.4%","27.3%","23.0%","47.8%","29.2%","1274"
"Jonathan Lucroy","- - -",".322","0.96","24.2%","37.2%","38.7%","13.8%","15.8%","8","5.5%","0","0.0%","35.1%","37.2%","27.7%","21.1%","43.5%","35.4%","7870"
"Brett Wallace","SDP",".271","1.82","20.7%","51.1%","28.1%","7.9%","15.8%","2","2.9%","0","0.0%","45.9%","30.4%","23.7%","20.7%","44.4%","34.8%","8434"
"Scott Schebler","CIN",".312","1.81","18.4%","52.6%","29.1%","8.8%","15.8%","4","3.9%","1","50.0%","46.5%","28.3%","25.3%","16.2%","50.5%","33.3%","12225"
"Evan Longoria","TBR",".298","0.68","21.4%","31.9%","46.8%","11.6%","15.5%","13","8.2%","0","0.0%","42.9%","34.5%","22.6%","17.1%","46.6%","36.3%","9368"
"Matt Adams","STL",".286","0.66","19.8%","31.8%","48.4%","6.7%","15.2%","7","10.1%","1","50.0%","35.2%","36.5%","28.3%","14.6%","48.9%","36.5%","9393"
"Mark Reynolds","COL",".361","1.28","25.8%","41.7%","32.5%","16.3%","15.2%","10","8.5%","0","0.0%","40.6%","31.8%","27.6%","20.5%","50.5%","29.0%","7619"
"Logan Morrison","TBR",".278","1.27","21.1%","44.2%","34.7%","10.9%","15.2%","5","4.3%","1","100.0%","50.0%","30.5%","19.5%","19.9%","45.9%","34.2%","9205"
"Jarrod Saltalamacchia","DET",".222","0.58","15.0%","31.3%","53.7%","6.3%","15.2%","1","2.2%","0","0.0%","46.3%","32.7%","21.1%","9.5%","53.1%","37.4%","5557"
"Max Kepler","MIN",".261","1.29","16.3%","47.2%","36.5%","8.0%","15.2%","9","6.2%","1","50.0%","44.3%","35.6%","20.1%","20.4%","46.6%","33.0%","12144"
"Hunter Pence","SFG",".348","1.93","16.8%","54.8%","28.4%","10.5%","15.1%","18","10.8%","0","0.0%","34.0%","36.0%","30.0%","20.1%","49.8%","30.0%","8252"
"Troy Tulowitzki","TOR",".272","1.01","19.2%","40.5%","40.3%","11.9%","15.1%","7","4.4%","0","0.0%","45.3%","32.2%","22.5%","15.4%","50.4%","34.2%","3531"
"Alex Gordon","KCR",".288","1.00","24.2%","37.9%","37.9%","5.3%","15.0%","6","5.3%","0","0.0%","44.6%","32.9%","22.5%","16.1%","47.0%","36.9%","5209"
"Mark Teixeira","NYY",".238","1.23","21.5%","43.3%","35.2%","12.0%","15.0%","4","3.3%","0","0.0%","52.1%","29.6%","18.3%","17.3%","50.7%","32.0%","1281"
"Starlin Castro","NYY",".305","1.63","20.7%","49.1%","30.2%","9.3%","15.0%","16","7.0%","0","0.0%","40.0%","34.8%","25.2%","16.1%","52.7%","31.2%","4579"
"Albert Pujols","LAA",".260","1.11","16.6%","43.9%","39.5%","9.2%","15.0%","8","3.5%","0","0.0%","47.9%","33.8%","18.3%","16.4%","47.1%","36.5%","1177"
"Danny Valencia","OAK",".346","1.41","23.2%","45.0%","31.8%","14.0%","14.9%","10","6.2%","0","0.0%","39.9%","34.4%","25.7%","18.4%","50.0%","31.6%","6364"
"Jonathan Schoop","BAL",".305","1.30","19.8%","45.3%","34.9%","14.3%","14.9%","18","8.3%","0","0.0%","44.7%","31.0%","24.3%","25.4%","48.0%","26.6%","11265"
"Brandon Drury","ARI",".327","1.69","20.3%","50.1%","29.6%","10.2%","14.8%","12","6.6%","0","0.0%","45.8%","32.1%","22.2%","17.3%","49.9%","32.9%","11615"
"Jose Abreu","CHW",".327","1.37","21.3%","45.5%","33.3%","11.2%","14.8%","17","7.4%","0","0.0%","36.0%","34.1%","29.9%","20.3%","47.0%","32.7%","15676"
"Luis Valbuena","HOU",".315","0.86","21.2%","36.5%","42.3%","10.2%","14.8%","3","3.9%","4","50.0%","48.1%","29.6%","22.2%","19.9%","44.4%","35.6%","4969"
"Victor Martinez","DET",".303","0.95","23.4%","37.3%","39.3%","12.0%","14.8%","7","4.0%","0","0.0%","44.6%","33.3%","22.1%","16.3%","44.8%","38.8%","393"
"Justin Turner","LAD",".293","0.90","23.9%","36.1%","40.0%","6.6%","14.8%","7","4.2%","0","0.0%","35.2%","33.5%","31.3%","12.0%","50.3%","37.6%","5235"
"Logan Forsythe","TBR",".314","1.19","22.8%","42.0%","35.2%","8.1%","14.7%","12","7.4%","0","0.0%","39.1%","32.9%","28.0%","11.7%","52.3%","36.0%","7185"
"Maikel Franco","PHI",".271","1.25","20.0%","44.5%","35.5%","17.1%","14.7%","17","8.0%","0","0.0%","45.5%","34.7%","19.8%","21.5%","47.8%","30.7%","12179"
"Marcus Semien","OAK",".268","0.92","17.7%","39.4%","42.9%","6.5%","14.7%","12","7.1%","0","0.0%","42.5%","35.5%","22.0%","16.5%","55.0%","28.5%","12533"
"Kyle Seager","SEA",".295","0.86","21.9%","36.1%","42.0%","7.3%","14.6%","3","1.7%","2","66.7%","40.1%","31.6%","28.3%","14.7%","46.6%","38.7%","9785"
"Adrian Beltre","TEX",".293","0.95","17.7%","40.2%","42.1%","11.0%","14.6%","13","6.2%","0","0.0%","41.0%","34.6%","24.4%","16.3%","48.1%","35.6%","639"
"Adrian Gonzalez","LAD",".328","1.68","26.4%","46.2%","27.5%","4.8%","14.4%","9","4.3%","1","50.0%","38.1%","34.1%","27.8%","16.2%","51.0%","32.8%","1908"
"Gregory Polanco","PIT",".291","1.05","24.0%","38.8%","37.1%","11.1%","14.4%","8","5.0%","1","33.3%","49.2%","28.2%","22.7%","18.3%","46.0%","35.7%","12907"
"Welington Castillo","ARI",".337","1.28","25.4%","41.8%","32.8%","9.2%","14.3%","5","4.0%","0","0.0%","45.5%","32.4%","22.1%","13.0%","47.2%","39.8%","3256"
"Rene Rivera","NYM",".276","1.50","21.1%","47.4%","31.6%","9.5%","14.3%","2","3.2%","0","0.0%","35.1%","35.8%","29.1%","20.9%","47.8%","31.3%","3648"
"Carlos Gomez","- - -",".313","1.27","21.0%","44.3%","34.7%","14.3%","14.3%","13","11.2%","9","56.3%","44.6%","31.7%","23.7%","21.9%","47.8%","30.2%","4881"
"Bryce Harper","WSN",".264","0.95","17.2%","40.4%","42.4%","8.9%","14.3%","9","5.6%","2","66.7%","39.3%","34.3%","26.3%","19.8%","46.1%","34.1%","11579"
"Addison Russell","CHC",".277","1.09","21.1%","41.2%","37.7%","15.5%","14.2%","18","11.1%","0","0.0%","44.2%","34.1%","21.7%","23.7%","47.0%","29.3%","14106"
"Colby Rasmus","HOU",".257","0.83","21.1%","35.8%","43.1%","4.7%","14.2%","5","5.7%","6","85.7%","53.0%","27.3%","19.8%","13.4%","51.4%","35.2%","9893"
"Corey Dickerson","TBR",".285","0.84","17.5%","37.6%","45.0%","11.2%","14.1%","8","5.6%","0","0.0%","32.5%","33.6%","33.9%","18.3%","50.0%","31.7%","10762"
"Marcell Ozuna","MIA",".296","1.20","19.5%","43.9%","36.5%","9.2%","14.1%","15","7.7%","0","0.0%","37.7%","39.2%","23.1%","17.3%","45.3%","37.4%","10324"
"Adam Jones","BAL",".280","1.06","16.5%","42.9%","40.6%","8.3%","14.1%","16","7.3%","1","20.0%","40.4%","36.1%","23.6%","19.1%","48.3%","32.6%","6368"
