"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"Aaron Judge","NYY","498","266","94.7","119.9","12.4","41","15.4%","144","54.1%",".278",".273",".528",".527",".391",".393","15640"
"Joey Gallo","TEX","577","293","94.3","117.5","21.9","65","22.2%","144","49.1%",".206",".231",".498",".544",".343",".371","14128"
"Nelson Cruz","SEA","591","400","93.9","117.0","12.8","54","13.5%","205","51.3%",".256",".281",".509",".566",".361",".396","2434"
"Giancarlo Stanton","NYY","705","416","93.7","121.7","11.7","61","14.7%","210","50.5%",".266",".241",".509",".477",".360",".345","4949"
"David Bote","CHC","210","127","93.5","114.0","3.7","13","10.2%","67","52.8%",".239",".251",".408",".448",".314",".350","14593"
"Matt Olson","OAK","660","419","93.3","113.3","18.1","48","11.5%","218","52.0%",".247",".250",".453",".494",".340",".357","14344"
"Matt Chapman","OAK","616","403","93.1","115.3","14.9","33","8.2%","192","47.6%",".278",".257",".508",".432",".369",".338","16505"
"Robinson Cano","SEA","348","265","93.0","113.4","8.2","19","7.2%","136","51.3%",".303",".305",".471",".496",".364",".376","3269"
"J.D. Martinez","BOS","649","430","93.0","116.7","10.8","65","15.1%","225","52.3%",".330",".307",".629",".619",".427",".418","6184"
"Tommy Pham","- - -","570","357","92.9","112.1","6.6","34","9.5%","177","49.6%",".275",".283",".464",".498",".359",".376","2967"
"Shohei Ohtani","LAA","367","226","92.9","113.9","12.3","32","14.2%","113","50.0%",".285",".276",".564",".547",".390",".384","19755"
"Mark Trumbo","BAL","358","245","92.8","113.4","10.4","23","9.4%","119","48.6%",".261",".267",".452",".450",".329",".335","6876"
"Christian Yelich","MIL","651","441","92.6","113.6","5.0","54","12.2%","224","50.8%",".326",".318",".598",".570",".422",".416","11477"
"Ryan Zimmerman","WSN","323","235","92.6","110.8","7.1","28","11.9%","124","52.8%",".264",".267",".486",".507",".351",".370","4220"
"Khris Davis","OAK","654","408","92.5","112.8","18.1","68","16.7%","194","47.5%",".247",".247",".549",".566",".365",".376","9112"
"Kendrys Morales","TOR","471","323","92.3","111.6","10.0","39","12.1%","170","52.6%",".249",".269",".438",".518",".329",".373","8610"
"Ryan Braun","MIL","447","326","92.3","116.3","6.4","32","9.8%","160","49.1%",".254",".292",".469",".515",".330",".368","3410"
"Daniel Palka","CHW","449","264","92.3","118.4","11.6","38","14.4%","129","48.9%",".240",".227",".484",".447",".329",".312","14897"
"Mookie Betts","BOS","614","434","92.3","110.6","18.5","57","13.1%","217","50.0%",".346",".309",".640",".606",".449",".431","13611"
"Franmil Reyes","SDP","285","181","92.2","115.4","6.8","18","9.9%","85","47.0%",".280",".248",".498",".446",".360",".329","14566"
"Jackie Bradley Jr.","BOS","535","341","92.2","112.4","12.3","32","9.4%","171","50.1%",".234",".257",".403",".459",".310",".343","12984"
"Chris Iannetta","COL","360","216","92.0","114.5","13.6","18","8.3%","93","43.1%",".224",".225",".385",".402",".320",".331","8267"
"Teoscar Hernandez","TOR","523","316","91.8","112.2","16.9","47","14.9%","145","45.9%",".239",".234",".468",".498",".328",".341","13066"
"Jorge Alfaro","PHI","377","207","91.7","116.6","8.3","21","10.1%","91","44.0%",".262",".228",".407",".401",".314",".298","12180"
"Manny Machado","- - -","709","533","91.6","114.8","14.4","54","10.1%","257","48.2%",".297",".284",".538",".512",".377",".369","11493"
"David Peralta","ARI","614","438","91.5","114.8","6.7","33","7.5%","200","45.7%",".293",".278",".516",".472",".368",".350","2136"
"Joc Pederson","LAD","443","314","91.5","113.9","15.8","24","7.6%","125","39.8%",".248",".239",".522",".443",".354",".329","11899"
"Marcell Ozuna","STL","628","477","91.4","117.2","10.8","44","9.2%","212","44.4%",".280",".285",".433",".497",".327",".358","10324"
"Wilson Ramos","- - -","416","304","91.3","113.3","4.5","19","6.3%","143","47.0%",".306",".260",".487",".440",".361",".328","1433"
"DJ LeMahieu","COL","581","460","91.3","109.3","5.9","20","4.3%","197","42.8%",".276",".277",".428",".420",".322",".326","9874"
"Jose Abreu","CHW","553","396","91.3","115.5","12.2","35","8.8%","179","45.2%",".265",".277",".473",".493",".337",".356","15676"
"Chad Pinder","OAK","333","212","91.3","112.3","14.0","26","12.3%","90","42.5%",".258",".268",".436",".510",".333",".366","15191"
"Salvador Perez","KCR","544","407","91.2","112.1","18.0","37","9.1%","193","47.4%",".235",".259",".439",".481",".304",".336","7304"
"Mike Trout","LAA","608","352","91.2","118.0","18.6","54","15.3%","162","46.0%",".312",".294",".628",".602",".447",".434","10155"
"Eugenio Suarez","CIN","606","391","91.2","112.8","14.8","38","9.7%","178","45.5%",".283",".275",".526",".515",".376",".373","12552"
"Joe Mauer","MIN","543","404","91.1","107.6","4.4","17","4.2%","173","42.8%",".282",".295",".379",".448",".319",".354","1857"
"Brad Miller","- - -","254","150","91.1","112.0","11.2","14","9.3%","73","48.7%",".248",".226",".413",".422",".312",".310","12775"
"Mitch Moreland","BOS","459","307","91.0","114.3","11.5","33","10.7%","136","44.3%",".245",".249",".433",".481",".325",".353","3086"
"Yoan Moncada","CHW","650","365","91.0","113.1","15.4","32","8.8%","161","44.1%",".235",".211",".400",".381",".311",".297","17232"
"Lourdes Gurriel Jr.","TOR","263","193","91.0","110.7","11.2","13","6.7%","87","45.1%",".281",".268",".446",".451",".322",".321","19238"
"Trevor Story","COL","656","434","91.0","112.5","16.0","54","12.4%","198","45.6%",".291",".266",".567",".513",".384",".358","12564"
"Eric Thames","MIL","278","150","91.0","110.8","19.3","25","16.7%","65","43.3%",".219",".208",".478",".445",".330",".315","3711"
"Bryce Harper","WSN","695","390","91.0","115.1","14.4","39","10.0%","176","45.1%",".249",".263",".496",".518",".376",".391","11579"
"Jose Martinez","STL","590","435","91.0","113.8","8.1","39","9.0%","192","44.1%",".305",".301",".457",".512",".356",".378","7996"
"Jesse Winker","CIN","334","237","90.9","114.1","13.6","14","5.9%","100","42.2%",".299",".275",".431",".452",".366",".366","13590"
"Ronald Acuna Jr.","ATL","487","313","90.9","113.9","13.1","41","13.1%","146","46.6%",".293",".271",".552",".535",".388",".375","18401"
"Rafael Devers","BOS","490","331","90.9","116.3","11.2","25","7.6%","138","41.7%",".240",".233",".433",".407",".310",".303","17350"
