"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"Nelson Cruz","SEA","667","437","94.6","116.3","11.2","69","15.8%","230","52.6%",".287",".279",".555",".595",".383",".397","2434"
"Giancarlo Stanton","MIA","470","276","94.0","120.1","13.8","42","15.2%","131","47.5%",".240",".238",".489",".490",".344",".345","4949"
"Miguel Cabrera","DET","679","484","93.6","114.3","12.2","72","14.9%","242","50.0%",".316",".332",".563",".677",".399",".449","1744"
"Keon Broxton","MIL","244","120","93.5","114.9","9.6","10","8.3%","59","49.2%",".242",".224",".430",".392",".343",".326","9253"
"Tyler Flowers","ATL","325","194","93.3","118.5","12.7","22","11.3%","93","47.9%",".270",".243",".420",".442",".338",".342","9134"
"David Ortiz","BOS","626","458","93.2","113.4","16.8","62","13.5%","218","47.6%",".315",".312",".620",".641",".419",".430","745"
"Matt Holliday","STL","426","312","93.1","115.5","8.6","25","8.0%","149","47.8%",".246",".264",".461",".468",".335",".351","1873"
"Domingo Santana","MIL","281","156","92.9","111.5","9.3","17","10.9%","83","53.2%",".256",".269",".447",".467",".343",".357","10348"
"Kendrys Morales","KCR","618","443","92.8","115.6","11.3","45","10.2%","220","49.7%",".263",".291",".468",".555",".339",".389","8610"
"Mark Trumbo","BAL","667","443","92.7","117.2","15.2","65","14.7%","198","44.7%",".256",".267",".533",".549",".358",".370","6876"
"Gary Sanchez","NYY","229","146","92.7","113.1","7.9","24","16.4%","71","48.6%",".299",".272",".657",".567",".425",".392","11442"
"Pedro Alvarez","BAL","376","242","92.7","115.0","13.3","29","12.0%","119","49.2%",".249",".262",".504",".501",".349",".355","2495"
"Christian Yelich","MIA","659","445","92.6","113.6","2.7","41","9.2%","222","49.9%",".298",".306",".483",".513",".367",".388","11477"
"Ryan Zimmerman","WSN","467","329","92.6","113.9","9.3","23","7.0%","150","45.6%",".218",".246",".370",".416",".277",".316","4220"
"Miguel Sano","MIN","495","262","92.4","114.2","17.0","35","13.4%","127","48.5%",".236",".215",".462",".450",".334",".328","12164"
"Joc Pederson","LAD","476","279","92.3","112.3","15.3","33","11.8%","131","47.0%",".246",".240",".495",".463",".360",".349","11899"
"Josh Donaldson","TOR","700","463","92.2","114.1","14.9","52","11.2%","227","49.0%",".284",".279",".549",".553",".403",".403","5038"
"Franklin Gutierrez","SEA","283","166","92.2","111.8","11.4","16","9.6%","79","47.6%",".246",".252",".452",".490",".336",".359","3255"
"Shin-Soo Choo","TEX","210","132","92.1","108.4","10.3","10","7.6%","62","47.0%",".242",".275",".399",".496",".334",".381","3174"
"Ryan Howard","PHI","362","220","92.0","109.2","16.7","33","15.0%","105","47.7%",".196",".243",".453",".534",".298",".352","2154"
"Khris Davis","OAK","610","394","92.0","115.9","13.3","65","16.5%","190","48.2%",".247",".251",".524",".564",".349",".369","9112"
"Eric Hosmer","KCR","667","477","91.9","114.9","4.1","39","8.2%","209","43.8%",".266",".259",".433",".440",".326",".330","3516"
"Justin Bour","MIA","321","227","91.8","114.1","10.1","22","9.7%","106","46.7%",".264",".276",".475",".505",".343",".364","9744"
"DJ LeMahieu","COL","635","486","91.8","111.9","6.0","20","4.1%","232","47.7%",".348",".337",".495",".490",".391",".391","9874"
"Yoenis Cespedes","NYM","543","377","91.7","114.6","16.3","36","9.5%","180","47.7%",".280",".282",".530",".529",".369",".374","13110"
"Chris Carter","MIL","644","353","91.7","114.3","18.6","58","16.4%","163","46.2%",".222",".237",".499",".536",".346",".368","9911"
"Rickie Weeks Jr.","ARI","205","127","91.6","114.2","11.0","16","12.6%","57","44.9%",".239",".272",".450",".539",".335",".382","1849"
"Albert Pujols","LAA","650","524","91.6","116.5","11.6","46","8.8%","231","44.1%",".268",".285",".457",".523",".331",".367","1177"
"Justin Smoak","TOR","341","187","91.6","110.2","18.7","22","11.8%","79","42.2%",".217",".226",".391",".435",".309",".328","9054"
"Jose Bautista","TOR","517","324","91.5","115.3","14.6","26","8.0%","148","45.7%",".234",".252",".452",".432",".355",".360","1887"
"Randal Grichuk","STL","478","306","91.4","114.2","16.3","29","9.5%","141","46.1%",".240",".236",".480",".470",".325",".321","10243"
"J.D. Martinez","DET","517","337","91.4","114.7","13.3","41","12.2%","155","46.0%",".307",".294",".535",".571",".384",".397","6184"
"Freddie Freeman","ATL","693","423","91.3","114.6","17.2","55","13.0%","189","44.7%",".302",".282",".569",".568",".402",".397","5361"
"Jayson Werth","WSN","606","392","91.3","114.7","15.0","27","6.9%","175","44.6%",".244",".247",".417",".422",".327",".337","1327"
"Justin Upton","DET","626","393","91.3","114.4","15.6","48","12.2%","179","45.5%",".246",".253",".465",".488",".329",".342","5222"
"Jake Lamb","ARI","594","373","91.3","111.6","10.4","42","11.3%","161","43.2%",".249",".246",".509",".469",".352",".343","13329"
"Alex Avila","CHW","209","92","91.3","107.5","6.9","7","7.6%","37","40.2%",".213",".199",".373",".354",".329",".319","7476"
"Yasmani Grandal","LAD","457","275","91.3","111.0","12.2","34","12.4%","123","44.7%",".228",".236",".477",".482",".350",".357","11368"
"Cameron Rupp","PHI","419","276","91.3","113.6","9.0","24","8.7%","129","46.7%",".252",".236",".447",".431",".321",".309","11146"
"Adam Lind","SEA","430","314","91.2","112.8","10.9","25","8.0%","134","42.7%",".239",".257",".431",".466",".304",".326","8027"
"Chris Davis","BAL","665","350","91.1","111.2","17.2","53","15.1%","154","44.0%",".221",".220",".459",".493",".340",".353","9272"
"Corey Seager","LAD","687","496","91.1","112.7","10.3","38","7.7%","217","43.8%",".308",".304",".512",".521",".372",".376","13624"
"Tyler Naquin","CLE","365","213","91.1","112.7","10.1","16","7.5%","96","45.1%",".296",".253",".514",".432",".374",".331","13359"
"Anthony Rendon","WSN","647","458","91.0","111.4","17.0","25","5.5%","191","41.7%",".270",".267",".450",".454",".342",".349","12861"
"Paul Goldschmidt","ARI","705","438","91.0","112.0","11.1","31","7.1%","186","42.5%",".297",".271",".489",".458",".382",".365","9218"
"Carlos Correa","HOU","660","441","91.0","118.2","7.0","33","7.5%","190","43.1%",".274",".285",".451",".481",".349",".367","14162"
"Trevor Story","COL","415","245","91.0","112.3","18.0","33","13.5%","109","44.5%",".272",".263",".567",".538",".380",".369","12564"
"David Freese","PIT","492","295","91.0","111.2","2.2","22","7.5%","142","48.1%",".270",".246",".412",".408",".334",".324","9549"
"Hunter Pence","SFG","442","303","91.0","113.7","5.6","20","6.6%","124","40.9%",".289",".264",".451",".431",".349",".341","8252"
"Mike Trout","LAA","681","417","90.9","117.1","13.7","56","13.4%","167","40.0%",".315",".304",".550",".573",".418",".427","10155"
"Marcell Ozuna","MIA","608","446","90.9","113.8","10.8","34","7.6%","187","41.9%",".266",".276",".452",".469",".330",".343","10324"
"Edwin Encarnacion","TOR","702","472","90.8","112.8","15.8","53","11.2%","194","41.1%",".263",".263",".529",".536",".373",".380","2151"
"Wilson Ramos","WSN","523","407","90.8","111.5","4.9","27","6.6%","175","43.0%",".307",".280",".496",".483",".361",".349","1433"
"Carlos Santana","CLE","688","488","90.8","111.2","14.4","44","9.0%","209","42.8%",".259",".275",".498",".515",".370",".385","2396"
