"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"Evan Longoria","TBR","685","496","90.8","110.2","18.2","57","11.5%","207","41.7%",".273",".269",".521",".541",".350",".361","9368"
"Ian Desmond","TEX","677","468","90.7","112.0","4.8","34","7.3%","203","43.4%",".285",".258",".446",".424",".336",".319","6885"
"Daniel Murphy","WSN","582","482","90.7","113.5","16.8","40","8.3%","199","41.3%",".347",".318",".595",".564",".408",".395","4316"
"Matt Carpenter","STL","566","372","90.7","111.1","18.1","39","10.5%","157","42.2%",".271",".287",".505",".543",".375",".398","8090"
"Nick Markakis","ATL","684","507","90.7","114.3","10.7","22","4.3%","217","42.8%",".269",".276",".397",".415",".321",".337","5930"
"Hanley Ramirez","BOS","620","433","90.6","114.9","9.3","36","8.3%","183","42.3%",".286",".262",".505",".472",".367",".348","8001"
"Yasmany Tomas","ARI","563","395","90.6","114.3","10.0","40","10.1%","167","42.3%",".272",".275",".508",".497",".345",".346","17171"
"Chris Johnson","MIA","264","166","90.6","115.2","11.5","8","4.8%","71","42.8%",".222",".258",".329",".393",".267",".307","1191"
"Justin Turner","LAD","622","457","90.5","109.2","17.0","37","8.1%","187","40.9%",".275",".275",".493",".484",".353",".354","5235"
"Brad Miller","TBR","601","402","90.5","113.1","12.0","36","9.0%","171","42.5%",".243",".242",".482",".441",".333",".322","12775"
"Ryan Rua","TEX","269","166","90.5","117.0","10.0","11","6.6%","67","40.4%",".258",".230",".400",".362",".317",".293","12409"
"Mitch Moreland","TEX","503","342","90.5","112.5","14.6","33","9.6%","135","39.5%",".233",".255",".422",".474",".307",".337","3086"
"Logan Morrison","TBR","398","266","90.5","113.7","12.0","20","7.5%","111","41.7%",".238",".260",".414",".442",".318",".338","9205"
"Buster Posey","SFG","614","479","90.5","110.2","10.1","31","6.5%","206","43.0%",".288",".288",".434",".480",".341",".361","9166"
"Hyun Soo Kim","BAL","346","255","90.5","111.8","6.5","12","4.7%","92","36.1%",".302",".273",".420",".423",".352",".345","18718"
"Howie Kendrick","LAD","543","394","90.4","111.0","1.7","22","5.6%","166","42.1%",".255",".268",".366",".417",".303",".332","4229"
"Yasiel Puig","LAD","368","263","90.4","114.6","11.5","15","5.7%","108","41.1%",".263",".246",".416",".395",".320",".308","14225"
"Kyle Seager","SEA","676","491","90.4","109.2","16.7","41","8.4%","203","41.3%",".278",".292",".499",".512",".363",".377","9785"
"Sean Rodriguez","PIT","342","202","90.4","111.3","12.8","23","11.4%","73","36.1%",".270",".239",".510",".478",".363",".342","6589"
"Ryan Schimpf","SDP","330","174","90.3","109.4","29.7","26","14.9%","72","41.4%",".217",".196",".533",".474",".362",".344","9953"
"Jonathan Villar","MIL","679","424","90.3","114.0","4.7","21","5.0%","162","38.2%",".285",".242",".457",".377",".356",".315","10071"
"Manny Machado","BAL","696","525","90.3","116.8","14.6","47","9.0%","227","43.2%",".294",".289",".533",".525",".366",".366","11493"
"Billy Butler","- - -","274","211","90.3","112.4","8.7","14","6.6%","88","41.7%",".284",".312",".416",".525",".324",".377","7399"
"Ryan Raburn","COL","256","146","90.3","109.9","11.5","9","6.2%","63","43.2%",".220",".192",".404",".336",".309",".278","2218"
"Michael Conforto","NYM","348","218","90.3","115.0","15.3","21","9.6%","85","39.0%",".220",".228",".414",".422",".312",".322","16376"
"Jackie Bradley Jr.","BOS","636","420","90.3","109.1","10.1","33","7.9%","167","39.8%",".267",".241",".486",".434",".354",".331","12984"
"Jung Ho Kang","PIT","370","241","90.2","110.9","11.1","20","8.3%","95","39.4%",".255",".250",".513",".479",".369",".361","17182"
"Kirk Nieuwenhuis","MIL","392","202","90.2","111.2","9.6","19","9.4%","76","37.6%",".209",".203",".385",".384",".313",".312","6400"
"Justin Morneau","CHW","218","153","90.2","110.6","9.3","6","3.9%","55","35.9%",".261",".238",".429",".355",".311",".280","1737"
"Carlos Gonzalez","COL","632","456","90.2","118.0","8.9","38","8.3%","187","41.0%",".298",".275",".505",".465",".361",".339","7287"
"J.J. Hardy","BAL","438","344","90.2","109.1","12.3","11","3.2%","135","39.2%",".269",".255",".407",".385",".307",".299","3797"
"Robinson Cano","SEA","715","560","90.2","113.4","11.5","37","6.6%","241","43.0%",".298",".283",".533",".478",".370",".348","3269"
"Trevor Plouffe","MIN","344","263","90.2","110.7","12.3","18","6.8%","106","40.3%",".260",".259",".420",".435",".311",".328","7462"
"Carlos Beltran","- - -","593","455","90.1","110.9","12.5","29","6.4%","175","38.5%",".295",".268",".513",".434",".358",".320","589"
"Adrian Beltre","TEX","640","520","90.1","109.9","14.5","41","7.9%","208","40.0%",".300",".290",".521",".509",".371",".366","639"
"Avisail Garcia","CHW","453","300","90.1","117.1","5.4","23","7.7%","118","39.3%",".245",".262",".385",".430",".302",".329","5760"
"Danny Espinosa","WSN","601","353","90.1","112.2","14.9","29","8.2%","118","33.4%",".209",".197",".378",".361",".294",".286","9219"
"Danny Valencia","OAK","517","358","90.1","113.8","9.8","25","7.0%","145","40.5%",".287",".277",".446",".469",".342",".348","6364"
"Michael Saunders","TOR","558","337","90.0","110.4","11.1","25","7.4%","150","44.5%",".253",".234",".478",".404",".348",".318","9981"
"Nick Hundley","COL","317","226","90.0","110.1","10.7","11","4.9%","84","37.2%",".260",".248",".439",".382",".323",".300","3376"
"Logan Forsythe","TBR","567","386","90.0","109.4","13.6","26","6.7%","150","38.9%",".264",".271",".444",".478",".336",".352","7185"
"Ryan Braun","MIL","564","416","90.0","114.7","4.6","34","8.2%","162","38.9%",".305",".282",".538",".470",".378",".349","3410"
"Troy Tulowitzki","TOR","544","395","90.0","111.1","14.2","37","9.4%","160","40.5%",".254",".266",".443",".490",".327",".351","3531"
"Victor Martinez","DET","610","466","90.0","110.2","15.5","34","7.3%","194","41.6%",".289",".286",".476",".506",".351",".364","393"
"Jorge Soler","CHC","264","164","89.9","114.7","17.8","16","9.8%","59","36.0%",".238",".224",".436",".426",".333",".327","14221"
"Jason Kipnis","CLE","688","476","89.9","108.2","14.8","29","6.1%","188","39.5%",".275",".270",".469",".453",".347",".345","9776"
"Gregory Polanco","PIT","587","415","89.9","113.7","14.0","24","5.8%","165","39.8%",".258",".273",".463",".441",".331",".337","12907"
"Trea Turner","WSN","324","250","89.9","113.5","11.5","16","6.4%","91","36.4%",".342",".298",".567",".496",".395",".356","16252"
"Matt Adams","STL","327","219","89.9","110.9","20.0","21","9.6%","90","41.1%",".249",".238",".471",".468",".331",".325","9393"
"Tommy Joseph","PHI","347","246","89.9","112.5","17.0","27","11.0%","102","41.5%",".257",".258",".505",".489",".342",".345","10349"
"Steven Souza Jr.","TBR","468","273","89.8","113.6","13.1","27","9.9%","103","37.7%",".247",".228",".409",".418",".308",".308","5667"
"Steve Pearce","- - -","302","211","89.8","112.5","15.4","18","8.5%","85","40.3%",".288",".275",".492",".500",".371",".369","9957"
"Joe Mauer","MIN","576","403","89.8","108.0","3.7","20","5.0%","173","42.9%",".261",".281",".389",".449",".327",".357","1857"
"Scott Schebler","CIN","282","198","89.8","114.1","6.7","10","5.1%","76","38.4%",".265",".256",".432",".396",".328",".313","12225"
"Alex Rodriguez","NYY","243","161","89.8","112.3","10.7","12","7.5%","61","37.9%",".200",".217",".351",".395",".258",".287","1274"
"Mookie Betts","BOS","730","599","89.7","114.7","12.5","28","4.7%","238","39.7%",".318",".278",".534",".446",".379",".336","13611"
"Kole Calhoun","LAA","672","481","89.7","109.6","15.0","25","5.2%","192","39.9%",".271",".271",".438",".454",".340",".350","11200"
"Max Kepler","MIN","447","309","89.7","115.4","8.5","11","3.6%","116","37.5%",".235",".241",".424",".352",".313",".295","12144"
"Jose Abreu","CHW","695","508","89.7","113.4","10.3","36","7.1%","199","39.2%",".293",".280",".468",".467",".349",".348","15676"
"Adam Rosales","SDP","248","130","89.6","109.7","15.4","14","10.8%","51","39.2%",".229",".202",".495",".398",".340",".300","9682"
"Rougned Odor","TEX","632","474","89.6","112.1","14.1","35","7.4%","179","37.8%",".271",".253",".502",".462",".336",".318","12282"
"Andrew McCutchen","PIT","675","458","89.6","111.4","16.5","35","7.6%","191","41.7%",".256",".259",".430",".457",".329",".343","9847"
"Mike Napoli","CLE","645","368","89.6","114.2","18.4","48","13.0%","142","38.6%",".239",".220",".465",".471",".343",".340","3057"
"Tim Beckham","TBR","215","133","89.6","110.9","11.3","7","5.3%","60","45.1%",".247",".216",".434",".355",".314",".274","7949"
"Eduardo Nunez","- - -","595","473","89.6","112.0","8.3","20","4.2%","175","37.0%",".288",".255",".432",".390",".324",".299","6848"
"Joey Votto","CIN","677","444","89.6","109.0","11.6","37","8.3%","173","39.0%",".326",".301",".550",".532",".413",".399","4314"
"Paulo Orlando","KCR","484","359","89.6","111.6","8.3","19","5.3%","132","36.8%",".302",".281",".405",".411",".317",".313","8628"
"Seth Smith","SEA","438","293","89.5","111.6","8.4","25","8.5%","119","40.6%",".249",".267",".415",".477",".331",".360","7331"
"Melky Cabrera","CHW","646","530","89.5","110.6","11.2","10","1.9%","181","34.2%",".296",".276",".455",".384",".342",".312","4022"
"Maikel Franco","PHI","630","479","89.5","113.2","11.8","30","6.3%","195","40.7%",".255",".259",".427",".431",".311",".318","12179"
"Nolan Arenado","COL","696","523","89.5","111.2","18.8","43","8.2%","207","39.6%",".294",".263",".570",".486",".386",".348","9777"
"Jason Castro","HOU","376","207","89.5","108.7","11.5","19","9.2%","83","40.1%",".210",".219",".377",".404",".301",".315","8722"
"Aledmys Diaz","STL","460","352","89.5","112.2","12.6","15","4.3%","137","38.9%",".300",".255",".510",".413",".370",".322","15937"
"Byron Buxton","MIN","331","187","89.5","111.3","17.3","8","4.3%","59","31.6%",".225",".189",".430",".309",".304",".252","14161"
"Evan Gattis","HOU","499","325","89.4","114.0","13.0","33","10.2%","115","35.4%",".251",".236",".508",".453",".345",".322","11003"
"C.J. Cron","LAA","445","339","89.4","115.4","12.3","23","6.8%","133","39.2%",".278",".273",".467",".464",".337",".341","12546"
"George Springer","HOU","744","467","89.4","115.9","8.7","47","10.1%","177","37.9%",".261",".260",".457",".471",".353",".359","12856"
"Nick Castellanos","DET","447","305","89.4","109.2","16.8","37","12.1%","117","38.4%",".285",".289",".496",".584",".350",".384","11737"
"Cheslor Cuthbert","KCR","510","382","89.3","111.7","12.4","8","2.1%","140","36.6%",".274",".232",".413",".329",".316",".268","10473"
"Kris Bryant","CHC","699","452","89.3","112.6","20.6","53","11.7%","176","38.9%",".292",".267",".554",".548",".396",".386","15429"
"Marwin Gonzalez","HOU","518","373","89.3","110.2","9.5","19","5.1%","131","35.1%",".254",".234",".401",".390",".298",".288","5497"
"Yunel Escobar","LAA","567","457","89.3","109.5","1.7","13","2.8%","163","35.7%",".304",".279",".391",".382",".327",".316","4191"
"Russell Martin","TOR","535","313","89.2","110.7","10.0","28","8.9%","125","39.9%",".231",".224",".398",".411",".322",".326","4616"
"Jefry Marte","LAA","284","202","89.2","110.3","12.6","14","6.9%","74","36.6%",".252",".245",".481",".427",".335",".316","5107"
"Chris Iannetta","SEA","338","215","89.2","112.5","15.3","12","5.6%","84","39.1%",".210",".233",".329",".376",".282",".313","8267"
"Travis d'Arnaud","NYM","276","204","89.1","107.2","8.7","7","3.4%","81","39.7%",".247",".238",".323",".337",".279",".281","7739"
"Jarrod Saltalamacchia","DET","292","147","89.1","109.7","21.0","14","9.5%","51","34.7%",".171",".170",".346",".355",".277",".294","5557"
"Ben Zobrist","CHC","631","449","89.1","110.4","9.5","18","4.0%","159","35.4%",".272",".276",".446",".418",".360",".357","7435"
"Aaron Hicks","NYY","361","263","89.1","107.6","10.7","10","3.8%","92","35.0%",".217",".232",".336",".359",".270",".289","5297"
"Todd Frazier","CHW","666","435","89.1","113.5","20.5","42","9.7%","154","35.4%",".225",".220",".464",".427",".326",".314","785"
"Neil Walker","NYM","458","331","89.1","108.2","18.1","23","6.9%","124","37.5%",".282",".270",".476",".487",".351",".353","7539"
"Matt Joyce","PIT","293","164","89.1","108.4","13.3","15","9.1%","64","39.0%",".242",".229",".463",".427",".375",".363","3353"
"Anthony Rizzo","CHC","676","478","89.1","113.5","16.3","42","8.8%","174","36.4%",".292",".264",".544",".486",".391",".363","3473"
"Adonis Garcia","ATL","563","440","89.0","108.9","7.9","20","4.5%","152","34.5%",".273",".280",".406",".424",".308",".320","13777"
"Brett Lawrie","CHW","384","243","89.0","109.8","16.6","12","4.9%","85","35.0%",".248",".232",".413",".381",".311",".294","5247"
"Xander Bogaerts","BOS","719","532","89.0","113.2","11.0","27","5.1%","178","33.5%",".294",".257",".446",".402",".348",".319","12161"
"Adam Eaton","CHW","706","514","89.0","108.6","4.9","14","2.7%","183","35.6%",".284",".268",".428",".397",".344",".330","11205"
"Jean Segura","ARI","694","542","89.0","110.0","7.9","30","5.5%","183","33.8%",".319",".274",".499",".459",".371",".339","5933"
"Corey Dickerson","TBR","548","379","89.0","112.7","18.1","36","9.5%","144","38.0%",".245",".230",".469",".438",".319",".304","10762"
"Asdrubal Cabrera","NYM","568","420","88.9","107.7","15.5","20","4.8%","139","33.1%",".280",".254",".474",".423",".345",".317","4962"
"Bryce Harper","WSN","627","399","88.9","112.7","14.9","29","7.3%","143","35.8%",".243",".250",".441",".440",".343",".352","11579"
"Brian McCann","NYY","492","332","88.9","109.0","18.8","18","5.4%","119","35.8%",".242",".246",".413",".422",".326",".332","4810"
"Salvador Perez","KCR","546","397","88.9","112.7","19.1","23","5.8%","148","37.3%",".247",".237",".438",".397",".308",".290","7304"
"Brandon Crawford","SFG","623","447","88.9","109.4","12.8","18","4.0%","154","34.5%",".275",".252",".430",".408",".327",".317","5343"
"Alex Dickerson","SDP","285","211","88.9","113.2","15.8","13","6.2%","83","39.3%",".257",".269",".455",".445",".336",".342","12649"
"Jay Bruce","- - -","589","416","88.9","111.8","14.8","34","8.2%","159","38.2%",".250",".249",".506",".466",".340",".329","9892"
"Prince Fielder","TEX","370","268","88.9","113.0","11.3","15","5.6%","85","31.7%",".212",".247",".334",".391",".276",".319","4613"
"Conor Gillaspie","SFG","205","164","88.9","109.2","13.4","6","3.7%","61","37.2%",".262",".266",".440",".407",".314",".307","9009"
"Brandon Drury","ARI","499","365","88.8","113.3","9.5","22","6.0%","134","36.7%",".282",".261",".458",".411",".335",".313","11615"
"Welington Castillo","ARI","457","299","88.8","112.1","12.9","16","5.4%","112","37.5%",".264",".234",".423",".387",".319",".298","3256"
"Adam Jones","BAL","672","513","88.8","110.5","14.6","36","7.0%","179","34.9%",".265",".260",".436",".460",".319",".328","6368"
"Hernan Perez","MIL","430","317","88.8","108.2","12.4","11","3.5%","121","38.2%",".272",".247",".428",".368",".312",".281","5751"
"Francisco Lindor","CLE","684","534","88.7","112.1","8.0","21","3.9%","177","33.1%",".301",".288",".435",".424",".340",".338","12916"
"Travis Shaw","BOS","530","351","88.7","112.3","16.2","26","7.4%","120","34.2%",".242",".234",".421",".420",".310",".308","11982"
"Ryon Healy","OAK","283","210","88.7","111.6","13.5","19","9.0%","83","39.5%",".305",".289",".524",".508",".364",".354","15447"
"J.T. Realmuto","MIA","545","412","88.6","109.7","9.8","16","3.9%","145","35.2%",".303",".266",".428",".387",".333",".306","11739"
"Danny Santana","MIN","248","180","88.6","107.5","7.5","6","3.3%","61","33.9%",".240",".237",".326",".353",".265",".276","10322"
"Yonder Alonso","OAK","532","412","88.6","110.6","11.2","15","3.6%","153","37.1%",".253",".259",".367",".399",".299",".316","2530"
"Wil Myers","SDP","676","444","88.6","113.2","10.0","31","7.0%","174","39.2%",".259",".252",".461",".433",".341",".334","10047"
"Dustin Pedroia","BOS","698","564","88.6","104.1","8.6","11","2.0%","163","28.9%",".318",".285",".449",".403",".358",".331","8370"
"Lorenzo Cain","KCR","434","317","88.6","110.7","9.3","14","4.4%","106","33.4%",".287",".276",".408",".407",".322",".319","9077"
"Byung-ho Park","MIN","244","138","88.6","112.1","14.4","23","16.7%","58","42.0%",".191",".229",".409",".514",".294",".348","18497"
"Adam Duvall","CIN","608","397","88.5","110.7","19.2","45","11.3%","163","41.1%",".241",".247",".498",".491",".333",".336","10950"
"Enrique Hernandez","LAD","244","152","88.5","118.1","13.8","9","5.9%","54","35.5%",".190",".215",".324",".369",".270",".297","10472"
"Starlin Castro","NYY","610","465","88.5","113.2","8.9","24","5.2%","161","34.6%",".270",".262",".433",".419",".313",".308","4579"
"Andres Blanco","PHI","209","150","88.5","105.5","6.5","3","2.0%","53","35.3%",".253",".244",".405",".333",".313",".288","1907"
"Yangervis Solarte","SDP","443","345","88.5","110.2","13.0","13","3.8%","115","33.3%",".286",".247",".467",".381",".346",".299","5352"
"Colby Rasmus","HOU","417","253","88.5","109.4","18.3","20","7.9%","93","36.8%",".206",".223",".355",".406",".282",".313","9893"
"Brandon Moss","STL","464","277","88.5","113.5","22.5","35","12.6%","108","39.0%",".225",".232",".484",".484",".329",".337","4467"
"James McCann","DET","373","239","88.5","109.5","16.1","20","8.4%","89","37.2%",".221",".224",".358",".416",".273",".299","12859"
"Willson Contreras","CHC","283","186","88.4","113.7","6.9","15","8.1%","63","33.9%",".282",".262",".488",".444",".363",".341","11609"
"Trayce Thompson","LAD","262","170","88.4","110.2","8.5","17","10.0%","60","35.3%",".225",".241",".436",".429",".318",".324","9952"
"Javier Baez","CHC","450","316","88.4","112.3","14.1","18","5.7%","102","32.3%",".273",".233",".423",".377",".316",".283","12979"
"Mark Teixeira","NYY","438","284","88.4","109.6","12.8","15","5.3%","106","37.3%",".204",".221",".362",".403",".287",".309","1281"
"Jose Ramirez","CLE","618","508","88.4","110.7","13.2","13","2.6%","167","32.9%",".312",".290",".462",".416",".355",".331","13510"
"Melvin Upton Jr.","- - -","539","345","88.3","110.7","9.2","20","5.8%","124","35.9%",".238",".231",".402",".394",".297",".294","5015"
"Jose Altuve","HOU","717","580","88.3","109.0","11.4","36","6.2%","210","36.2%",".338",".318",".531",".526",".391",".385","5417"
"Aaron Altherr","PHI","227","129","88.2","111.7","5.5","4","3.1%","45","34.9%",".202",".214",".293",".312",".270",".282","11270"
"Matt Kemp","- - -","672","479","88.2","110.7","14.5","50","10.4%","181","37.8%",".268",".267",".499",".522",".333",".347","5631"
"Stephen Piscotty","STL","649","453","88.2","110.7","13.7","39","8.6%","169","37.3%",".273",".263",".457",".461",".345",".343","13367"
"Chris Young","BOS","227","153","88.2","110.8","21.8","7","4.6%","56","36.6%",".276",".231",".498",".385",".364",".306","3882"
"Austin Jackson","CHW","203","146","88.2","106.8","13.1","3","2.1%","46","31.5%",".254",".274",".343",".399",".292",".325","9848"
"Jace Peterson","ATL","408","286","88.2","108.1","3.7","7","2.4%","93","32.5%",".254",".271",".366",".391",".317",".334","12325"
"Adrian Gonzalez","LAD","633","457","88.2","107.8","9.6","18","3.9%","153","33.5%",".285",".271",".435",".423",".334",".327","1908"
"Alex Bregman","HOU","217","150","88.1","106.2","18.5","8","5.3%","53","35.3%",".264",".246",".478",".408",".336",".306","17678"
"Josh Reddick","- - -","439","344","88.1","109.0","14.3","12","3.5%","111","32.3%",".281",".282",".405",".411",".324",".327","3892"
"Peter Bourjos","PHI","383","271","88.1","112.1","7.8","6","2.2%","89","32.8%",".251",".227",".389",".321",".291",".260","2578"
"Tyler White","HOU","276","186","88.1","110.4","15.2","11","5.9%","58","31.2%",".217",".221",".378",".375",".287",".290","15564"
"Whit Merrifield","KCR","332","241","88.1","107.1","12.2","6","2.5%","83","34.4%",".283",".252",".392",".372",".309",".292","11281"
"Juan Uribe","CLE","259","192","88.1","110.7","10.1","14","7.3%","72","37.5%",".206",".265",".332",".419",".256",".323","454"
"Chris Owings","ARI","466","354","88.1","107.9","8.5","8","2.3%","116","32.8%",".277",".266",".416",".381",".311",".299","10030"
"Michael A. Taylor","WSN","237","145","88.1","112.1","8.5","10","6.9%","55","37.9%",".231",".234",".376",".387",".283",".292","11489"
"Brian Dozier","MIN","691","484","88.1","107.7","18.7","39","8.1%","175","36.2%",".268",".235",".546",".460",".370",".329","9810"
"Dexter Fowler","CHC","551","337","88.1","109.6","12.4","18","5.3%","110","32.6%",".276",".255",".447",".407",".367",".350","4062"
"Adeiny Hechavarria","MIA","547","440","88.1","106.7","8.1","3","0.7%","137","31.1%",".236",".271",".311",".358",".256",".293","10459"
"Gordon Beckham","- - -","279","197","88.0","108.5","12.6","5","2.5%","63","32.0%",".212",".228",".347",".356",".281",".296","9015"
"Marcus Semien","OAK","621","431","88.0","108.4","15.4","27","6.3%","150","34.8%",".238",".225",".435",".411",".315",".303","12533"
