"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mike Moustakas","KCR","147","614","22","73","82","1","7.0%","12.4%",".186",".294",".284",".348",".470",".353",".339","123","-5.6","11.0","5.2","3.8","4892"
"Derek Norris","SDP","147","557","14","65","62","4","6.3%","23.5%",".153",".310",".250",".305",".404",".309",".270","98","-1.1","-2.4","21.2","3.8","6867"
"Evan Longoria","TBR","160","670","21","74","73","3","7.6%","19.7%",".166",".309",".270",".328",".435",".327",".340","109","1.0","7.9","6.2","3.8","9368"
"Joe Panik","SFG","100","432","8","59","37","3","8.8%","9.7%",".144",".330",".312",".378",".455",".363",".334","135","0.3","17.7","4.9","3.8","11936"
"Kyle Seager","SEA","161","686","26","85","74","6","7.9%","14.3%",".185",".278",".266",".328",".451",".335",".353","115","-3.2","9.1","4.0","3.8","9785"
"Odubel Herrera","PHI","147","537","8","64","41","16","5.2%","24.0%",".121",".387",".297",".344",".418",".333",".291","111","2.3","8.9","9.9","3.8","11476"
"Kevin Pillar","TOR","159","628","12","76","56","25","4.5%","13.5%",".121",".306",".278",".314",".399",".310",".290","94","8.2","3.7","10.9","3.7","12434"
"Jung Ho Kang","PIT","126","467","15","60","58","5","6.0%","21.2%",".173",".344",".287",".355",".461",".356",".361","128","3.2","18.2","2.2","3.7","17182"
"Michael Brantley","CLE","137","596","15","68","84","15","10.1%","8.6%",".170",".318",".310",".379",".480",".368",".346","133","1.5","24.0","-10.5","3.5","4106"
"Giancarlo Stanton","MIA","74","318","27","47","67","4","10.7%","29.9%",".341",".294",".265",".346",".606",".394",".411","155","1.3","21.7","1.3","3.5","4949"
"Eric Hosmer","KCR","158","667","18","98","93","7","9.1%","16.2%",".162",".336",".297",".363",".459",".355",".361","124","3.1","21.7","-10.8","3.5","3516"
"Carlos Correa","HOU","99","432","22","52","68","14","9.3%","18.1%",".233",".296",".279",".345",".512",".365",".360","136","1.9","20.0","-1.9","3.4","14162"
"Shin-Soo Choo","TEX","149","653","22","94","82","4","11.6%","22.5%",".187",".335",".276",".375",".463",".365",".357","128","2.0","23.4","-12.5","3.4","3174"
"Justin Upton","SDP","150","620","26","85","81","19","11.0%","25.6%",".203",".304",".251",".336",".454",".340",".327","119","4.9","18.9","-5.9","3.4","5222"
"Martin Prado","MIA","129","551","9","52","63","1","6.7%","12.3%",".106",".313",".288",".338",".394",".318",".312","102","-0.1","1.5","13.6","3.4","3312"
"Adam Jones","BAL","137","581","27","74","82","3","4.1%","17.6%",".205",".286",".269",".308",".474",".334",".338","111","0.1","7.2","5.8","3.4","6368"
"Travis d'Arnaud","NYM","67","268","12","31","41","0","8.6%","18.3%",".218",".289",".268",".340",".485",".355",".325","130","0.1","9.5","14.0","3.4","7739"
"Jose Abreu","CHW","154","668","30","88","101","0","5.8%","21.0%",".212",".333",".290",".347",".502",".361",".338","131","-1.2","22.9","-13.5","3.3","15676"
"Freddie Freeman","ATL","118","481","18","62","66","3","11.6%","20.4%",".195",".321",".276",".370",".471",".364",".418","132","2.7","20.4","-4.1","3.3","5361"
"Starling Marte","PIT","153","633","19","84","81","30","4.3%","19.4%",".157",".333",".287",".337",".444",".337",".344","115","-1.4","9.5","1.9","3.3","9241"
"Kole Calhoun","LAA","159","686","26","78","83","4","6.6%","23.9%",".167",".304",".256",".308",".422",".317",".317","103","3.2","5.6","2.3","3.2","11200"
"Lucas Duda","NYM","135","554","27","67","73","0","11.9%","24.9%",".242",".285",".244",".352",".486",".359",".372","132","0.0","20.9","-7.9","3.2","2502"
"Ryan Braun","MIL","140","568","25","87","84","24","9.5%","20.2%",".213",".322",".285",".356",".498",".366",".374","131","1.8","22.0","-9.8","3.2","3410"
"Chris Coghlan","CHC","148","503","16","64","41","11","11.5%","18.7%",".193",".284",".250",".341",".443",".337",".325","113","3.4","10.8","3.2","3.1","6878"
"Joc Pederson","LAD","151","585","26","67","54","4","15.7%","29.1%",".206",".262",".210",".346",".417",".335",".348","116","-0.3","10.3","1.0","3.1","11899"
"Didi Gregorius","NYY","155","578","9","57","56","5","5.7%","14.7%",".105",".297",".265",".318",".370",".303",".291","89","3.3","-3.9","14.3","3.1","6012"
"Miguel Montero","CHC","113","403","15","36","53","1","12.2%","25.6%",".161",".306",".248",".345",".409",".328",".333","107","-2.7","0.4","16.4","3.1","3364"
"Andrelton Simmons","ATL","147","583","4","60","44","5","6.7%","8.2%",".073",".285",".265",".321",".338",".290",".305","81","0.7","-12.3","23.4","3.1","10847"
"Brian Dozier","MIN","157","704","28","101","77","12","8.7%","21.0%",".209",".261",".236",".307",".444",".323",".299","102","2.9","4.1","1.8","3.1","9810"
"Ben Zobrist","- - -","126","535","13","76","56","3","11.6%","10.5%",".173",".288",".276",".359",".450",".349",".324","122","-0.7","13.1","-2.2","3.0","7435"
"Randal Grichuk","STL","103","350","17","49","47","4","6.3%","31.4%",".272",".365",".276",".329",".548",".370",".338","138","1.8","17.3","0.0","3.0","10243"
"Dexter Fowler","CHC","156","690","17","102","46","20","12.2%","22.3%",".161",".308",".250",".346",".411",".333",".307","109","-0.1","7.5","-0.9","3.0","4062"
"Adrian Gonzalez","LAD","156","643","28","76","90","0","9.6%","16.6%",".205",".294",".275",".350",".480",".354",".368","129","-5.8","15.9","-7.9","3.0","1908"
"Mark Teixeira","NYY","111","462","31","57","79","2","12.8%","18.4%",".293",".246",".255",".357",".548",".381",".372","143","-2.6","20.5","-8.4","2.9","1281"
"David Ortiz","BOS","146","614","37","73","108","0","12.5%","15.5%",".280",".264",".273",".360",".553",".379",".420","139","-5.3","22.3","-15.2","2.9","745"
"Colby Rasmus","HOU","137","485","25","67","61","2","9.7%","31.8%",".236",".305",".238",".314",".475",".339",".310","118","5.1","15.4","-4.2","2.9","9893"
"Josh Reddick","OAK","149","582","20","67","77","10","8.4%","11.2%",".177",".278",".272",".333",".449",".338",".329","116","5.0","16.0","-8.2","2.8","3892"
"Carlos Gonzalez","COL","153","608","40","87","97","2","7.6%","21.9%",".269",".284",".271",".325",".540",".364",".340","116","1.5","12.8","-4.8","2.8","7287"
"Andre Ethier","LAD","142","445","14","54","53","2","9.7%","16.9%",".192",".330",".294",".366",".486",".366",".365","137","-1.9","17.4","-4.6","2.8","6265"
"Brian McCann","NYY","135","535","26","68","94","0","9.7%","18.1%",".204",".235",".232",".320",".437",".327",".307","106","-3.3","0.2","8.9","2.8","4810"
"Danny Valencia","- - -","105","378","18","59","66","2","7.7%","21.2%",".229",".329",".290",".345",".519",".367",".355","135","-4.4","10.9","2.9","2.8","6364"
"Robinson Cano","SEA","156","674","21","82","79","2","6.4%","15.9%",".159",".316",".287",".334",".446",".335",".356","116","-8.3","4.2","-0.1","2.8","3269"
"Alex Gordon","KCR","104","422","13","40","48","2","11.6%","21.8%",".161",".327",".271",".377",".432",".351",".331","122","-0.7","9.9","2.2","2.7","5209"
"Alex Rodriguez","NYY","151","620","33","83","86","4","13.5%","23.4%",".235",".278",".250",".356",".486",".361",".368","129","-0.8","20.2","-15.1","2.7","1274"
"Trevor Plouffe","MIN","152","632","22","74","86","2","7.9%","19.6%",".190",".274",".244",".307",".435",".321",".330","100","-1.6","-1.3","5.5","2.6","7462"
"Asdrubal Cabrera","TBR","143","551","15","66","58","6","6.5%","19.4%",".164",".306",".265",".315",".430",".319",".292","104","0.3","2.5","4.1","2.6","4962"
"Neil Walker","PIT","151","603","16","69","71","4","7.3%","18.2%",".158",".306",".269",".328",".427",".325",".315","106","2.7","7.1","-1.6","2.6","7539"
"Adeiny Hechavarria","MIA","130","499","5","54","48","7","4.6%","15.6%",".094",".325",".281",".315",".374",".298",".281","89","-1.0","-7.6","16.3","2.6","10459"
"Addison Russell","CHC","142","523","13","60","54","4","8.0%","28.5%",".147",".324",".242",".307",".389",".304",".269","90","0.3","-6.1","14.0","2.6","14106"
"Kolten Wong","STL","150","613","11","71","61","15","5.9%","15.5%",".124",".296",".262",".321",".386",".310",".309","96","3.2","0.6","4.1","2.5","12532"
"Brandon Phillips","CIN","148","623","12","69","70","23","4.3%","10.9%",".100",".315",".294",".328",".395",".315",".316","97","3.8","1.9","2.5","2.5","791"
"Jason Castro","HOU","104","375","11","38","31","0","8.8%","30.7%",".154",".280",".211",".283",".365",".284",".279","80","0.2","-8.5","19.6","2.5","8722"
"Brett Gardner","NYY","151","656","16","94","66","20","10.4%","20.6%",".140",".312",".259",".343",".399",".327",".332","106","5.4","9.8","-7.9","2.5","9927"
"Rougned Odor","TEX","120","470","16","54","61","6","4.9%","16.8%",".204",".283",".261",".316",".465",".334",".300","107","2.0","5.7","2.3","2.5","12282"
"Charlie Blackmon","COL","157","682","17","93","58","43","6.7%","16.4%",".163",".325",".287",".347",".450",".345",".318","103","3.2","5.7","-3.5","2.5","7859"
"Eddie Rosario","MIN","122","474","13","60","50","11","3.2%","24.9%",".192",".332",".267",".289",".459",".316",".270","97","4.8","2.9","4.6","2.4","12155"
"Troy Tulowitzki","- - -","128","534","17","77","70","1","7.1%","21.3%",".160",".331",".280",".337",".440",".335",".319","101","-3.2","-2.4","8.5","2.4","3531"
"Ender Inciarte","ARI","132","561","6","73","45","21","4.6%","10.3%",".105",".329",".303",".338",".408",".325",".286","100","3.1","2.8","2.8","2.4","4922"
"Tyler Flowers","CHW","112","361","9","21","39","0","5.8%","28.8%",".118",".320",".239",".295",".356",".288",".266","81","-2.0","-9.9","20.7","2.4","9134"
"Howie Kendrick","LAD","117","495","9","64","54","6","5.5%","16.6%",".114",".342",".295",".336",".409",".325",".325","109","2.0","7.2","-0.1","2.4","4229"
"Yadier Molina","STL","136","530","4","34","61","3","6.0%","11.1%",".080",".295",".270",".310",".350",".287",".270","81","-1.9","-13.6","19.5","2.4","7007"
"Christian Yelich","MIA","126","525","7","63","44","16","9.0%","19.2%",".116",".370",".300",".366",".416",".343",".358","120","2.0","14.1","-8.1","2.4","11477"
"Ben Revere","- - -","152","634","2","84","45","31","5.0%","10.1%",".071",".338",".306",".342",".377",".316",".298","98","7.8","6.4","-4.5","2.3","4712"
"Yunel Escobar","WSN","139","591","9","75","56","2","7.6%","11.8%",".101",".347",".314",".375",".415",".348",".335","120","-6.4","7.1","-3.5","2.3","4191"
"Dustin Pedroia","BOS","93","425","12","46","42","2","8.9%","12.0%",".150",".308",".291",".356",".441",".347",".300","117","-0.9","7.3","0.6","2.3","8370"
"Gregory Polanco","PIT","153","652","9","83","52","27","8.4%","18.6%",".125",".308",".256",".320",".381",".304",".312","92","5.1","-0.8","1.8","2.2","12907"
"Carlos Gomez","- - -","115","477","12","61","56","17","6.5%","21.2%",".154",".307",".255",".314",".409",".315",".309","98","5.2","4.0","1.7","2.2","4881"
"Mitch Moreland","TEX","132","515","23","51","85","1","6.2%","21.7%",".204",".317",".278",".330",".482",".348",".362","117","0.7","10.5","-6.6","2.2","3086"
"Devon Travis","TOR","62","238","8","38","35","3","7.6%","18.1%",".194",".347",".304",".361",".498",".370",".369","136","1.1","10.9","2.0","2.2","13862"
"David Freese","LAA","121","470","14","53","56","1","6.6%","22.8%",".163",".310",".257",".323",".420",".325",".328","108","-0.9","3.6","1.6","2.2","9549"
"Daniel Murphy","NYM","130","538","14","56","73","2","5.8%","7.1%",".168",".278",".281",".322",".449",".325",".335","109","-0.5","5.2","-1.4","2.2","4316"
"Carlos Santana","CLE","154","666","19","72","85","11","16.2%","18.3%",".164",".261",".231",".357",".395",".331",".346","107","1.1","6.4","-8.4","2.1","2396"
"Roberto Perez","CLE","70","226","7","30","21","0","14.6%","28.3%",".174",".304",".228",".348",".402",".331",".328","107","-1.3","0.5","11.8","2.1","2900"
"Kendrys Morales","KCR","158","639","22","81","106","0","9.1%","16.1%",".195",".319",".290",".362",".485",".364",".375","131","-7.9","14.7","-15.8","2.1","8610"
"Caleb Joseph","BAL","100","355","11","38","49","0","7.6%","20.3%",".159",".269",".234",".299",".394",".301",".319","88","0.0","-5.1","13.1","2.1","7087"
"Jhonny Peralta","STL","155","640","17","64","71","1","7.8%","17.3%",".136",".311",".275",".334",".411",".323",".332","105","-6.9","-2.9","2.5","2.1","1738"
"Miguel Sano","MIN","80","335","18","46","52","1","15.8%","35.5%",".262",".396",".269",".385",".530",".392",".386","149","-4.6","14.5","-6.4","2.0","12164"
"Brock Holt","BOS","129","509","2","56","45","8","9.0%","19.1%",".099",".350",".280",".349",".379",".322",".299","99","5.2","4.9","-2.4","2.0","9345"
"Gregor Blanco","SFG","115","372","5","59","26","13","10.8%","15.9%",".122",".338",".291",".368",".413",".337",".325","117","4.1","11.5","-4.0","2.0","3123"
"Prince Fielder","TEX","158","693","23","78","98","0","9.2%","12.7%",".158",".323",".305",".378",".463",".360",".350","125","-5.2","15.1","-18.8","2.0","4613"
"Aaron Hicks","MIN","97","390","11","48","33","13","8.7%","16.9%",".142",".285",".256",".323",".398",".314",".329","96","0.4","-1.5","7.6","2.0","5297"
"Juan Uribe","- - -","119","397","14","40","43","2","8.6%","20.2%",".164",".288",".253",".320",".417",".319",".304","104","0.6","2.3","4.2","2.0","454"
"Adam Lind","MIL","149","572","20","72","87","0","11.5%","17.5%",".183",".309",".277",".360",".460",".351",".328","120","-3.3","10.1","-9.3","2.0","8027"
"Cory Spangenberg","SDP","108","345","4","38","21","9","8.1%","21.7%",".129",".344",".271",".333",".399",".319",".298","105","3.6","5.6","2.2","2.0","12294"
"Gerardo Parra","- - -","155","589","14","83","51","14","4.8%","15.6%",".161",".325",".291",".328",".452",".334",".303","109","2.2","8.6","-8.8","2.0","8553"
"Eduardo Escobar","MIN","127","446","12","48","58","2","6.3%","19.3%",".183",".301",".262",".309",".445",".323",".304","101","-1.9","-1.1","4.8","1.9","6153"
"Brandon Guyer","TBR","128","385","8","51","28","10","6.5%","15.8%",".148",".303",".265",".359",".413",".342",".317","120","0.2","9.0","-3.3","1.9","2636"
"DJ LeMahieu","COL","150","620","6","85","61","23","8.1%","17.3%",".087",".362",".301",".358",".388",".327",".319","91","3.1","-3.4","2.2","1.9","9874"
"Maikel Franco","PHI","80","335","14","45","50","1","7.8%","15.5%",".217",".297",".280",".343",".497",".360",".333","129","-0.8","10.3","-2.7","1.9","12179"
"Billy Burns","OAK","125","555","5","70","42","26","4.7%","14.6%",".098",".339",".294",".334",".392",".317",".260","102","5.4","6.4","-6.7","1.9","12701"
"Jackie Bradley Jr.","BOS","74","255","10","43","43","3","10.6%","27.1%",".249",".310",".249",".335",".498",".355",".291","123","-0.2","6.5","2.9","1.9","12984"
"Seth Smith","SEA","136","452","12","54","42","0","10.4%","21.9%",".195",".298",".248",".330",".443",".331",".337","113","-1.4","5.6","-3.1","1.8","7331"
"Elvis Andrus","TEX","160","661","7","69","62","25","7.0%","11.8%",".099",".283",".258",".309",".357",".292",".288","78","3.7","-13.1","8.8","1.8","8709"
"Austin Jackson","- - -","136","527","9","56","48","17","5.5%","23.9%",".118",".342",".267",".311",".385",".305",".304","94","-0.2","-3.7","3.5","1.8","9848"
"Stephen Vogt","OAK","136","511","18","58","71","0","11.0%","19.0%",".182",".290",".261",".341",".443",".335",".322","114","-3.7","4.7","-4.5","1.8","5000"
"Kyle Schwarber","CHC","69","273","16","52","43","3","13.2%","28.2%",".241",".293",".246",".355",".487",".364",".365","131","2.4","12.2","-3.8","1.8","16478"
"Danny Espinosa","WSN","118","412","13","59","37","5","8.0%","25.7%",".169",".299",".240",".311",".409",".310",".272","93","2.3","-0.9","5.0","1.8","9219"
"Ketel Marte","SEA","57","247","2","25","17","8","9.7%","17.4%",".119",".341",".283",".351",".402",".330",".287","112","0.5","4.0","4.7","1.8","13613"
"Yangervis Solarte","SDP","152","571","14","63","63","1","6.0%","9.8%",".158",".279",".270",".320",".428",".324",".298","109","-4.7","1.2","-2.0","1.8","5352"
"Jake Marisnick","HOU","133","372","9","46","36","24","4.8%","28.2%",".147",".310",".236",".281",".383",".288",".266","83","3.7","-3.5","7.9","1.8","11339"
"Carlos Beltran","NYY","133","531","19","57","67","0","8.5%","16.0%",".195",".297",".276",".337",".471",".346",".346","119","0.3","12.1","-12.9","1.8","589"
"Wilmer Flores","NYM","137","510","16","55","59","0","3.7%","12.4%",".145",".273",".263",".295",".408",".304",".270","95","0.0","-3.2","3.7","1.7","5827"
"Albert Pujols","LAA","157","661","40","85","95","5","7.6%","10.9%",".236",".217",".244",".307",".480",".333",".346","114","-4.9","5.9","-12.2","1.6","1177"
"Jonathan Lucroy","MIL","103","415","7","51","43","1","8.7%","15.4%",".127",".297",".264",".326",".391",".313",".332","95","-4.8","-7.4","9.5","1.6","7870"
"Delino DeShields","TEX","121","492","2","83","37","25","10.8%","20.5%",".113",".334",".261",".344",".374",".317",".283","95","7.2","4.5","-5.7","1.6","11379"
"Chase Headley","NYY","156","642","11","74","62","0","7.9%","21.0%",".110",".317",".259",".324",".369",".307",".323","92","0.2","-6.0","-0.1","1.6","4720"
"Denard Span","WSN","61","275","5","38","22","11","9.1%","9.5%",".130",".318",".301",".365",".431",".348",".360","120","2.4","8.8","-2.5","1.6","8347"
"Freddy Galvis","PHI","151","603","7","63","50","10","5.0%","17.1%",".081",".309",".263",".302",".343",".283",".272","76","4.4","-12.2","8.3","1.6","6609"
"Andres Blanco","PHI","106","261","7","32","25","1","8.0%","16.9%",".210",".335",".292",".360",".502",".372",".332","137","-2.0","9.2","-2.5","1.6","1907"
"Geovany Soto","CHW","78","210","9","20","21","0","10.0%","30.0%",".187",".278",".219",".301",".406",".311",".321","96","0.2","-0.7","8.4","1.6","3707"
"Luis Valbuena","HOU","132","493","25","62","56","1","10.1%","21.5%",".214",".235",".224",".310",".438",".325",".334","108","-2.4","2.4","-3.9","1.5","4969"
"Enrique Hernandez","LAD","76","218","7","24","22","0","5.0%","21.1%",".183",".364",".307",".346",".490",".359",".324","132","-1.3","6.8","0.9","1.5","10472"
"Jose Iglesias","DET","120","454","2","44","23","11","5.5%","9.7%",".070",".330",".300",".347",".370",".315",".272","97","-6.0","-7.8","7.4","1.5","10231"
"Lonnie Chisenhall","CLE","106","362","7","38","44","4","6.4%","19.1%",".126",".288",".246",".294",".372",".288",".289","78","5.2","-4.3","6.8","1.5","7571"
"Yasiel Puig","LAD","79","311","11","30","38","3","8.4%","21.2%",".181",".296",".255",".322",".436",".328",".328","111","1.6","5.6","-0.9","1.5","14225"
"Alcides Escobar","KCR","148","662","3","76","47","17","3.9%","11.3%",".064",".286",".257",".293",".320",".271",".281","66","4.8","-21.1","13.7","1.5","6310"
"Melvin Upton Jr.","SDP","87","228","5","23","17","9","9.2%","27.2%",".171",".348",".259",".327",".429",".326",".320","110","1.9","4.5","2.6","1.5","5015"
"Marlon Byrd","- - -","135","544","23","58","73","2","5.3%","26.7%",".206",".297",".247",".290",".453",".317",".311","100","0.3","0.1","-2.8","1.5","950"
"Travis Shaw","BOS","65","248","13","31","36","0","7.3%","23.0%",".217",".304",".270",".327",".487",".348",".329","118","0.8","5.9","0.0","1.5","11982"
"Steven Souza Jr.","TBR","110","426","16","59","40","12","10.8%","33.8%",".174",".318",".225",".318",".399",".316",".297","102","4.1","5.1","-5.1","1.5","5667"
"Marwin Gonzalez","HOU","120","370","12","44","34","4","4.3%","20.0%",".163",".326",".279",".317",".442",".329",".289","111","-1.8","3.0","-1.2","1.5","5497"
"Marcell Ozuna","MIA","123","494","10","47","44","2","6.1%","22.3%",".124",".320",".259",".308",".383",".302",".326","92","1.4","-3.4","2.0","1.5","10324"
"Johnny Giavotella","LAA","129","502","4","51","49","2","6.4%","11.8%",".104",".301",".272",".318",".375",".303",".291","93","1.5","-2.4","-0.3","1.5","6740"
"Marcus Semien","OAK","155","601","15","65","45","11","7.0%","22.0%",".147",".312",".257",".310",".405",".311",".298","97","0.8","-1.0","-5.0","1.4","12533"
"Jake Lamb","ARI","107","390","6","38","34","3","9.2%","24.9%",".123",".344",".263",".331",".386",".312",".320","91","1.0","-3.2","4.7","1.4","13329"
"Chris Iannetta","LAA","92","317","10","28","34","0","12.9%","26.2%",".147",".225",".188",".293",".335",".281",".287","78","-3.5","-11.6","14.7","1.4","8267"
"Josh Phegley","OAK","73","243","9","27","34","0","5.8%","21.0%",".200",".283",".249",".300",".449",".323",".286","106","-1.1","0.5","4.9","1.4","9308"
"Ian Desmond","WSN","156","641","19","69","62","13","7.0%","29.2%",".151",".307",".233",".290",".384",".294",".286","83","5.5","-7.3","0.8","1.4","6885"
"Chris Colabello","TOR","101","360","15","55","54","2","6.1%","26.7%",".198",".411",".321",".367",".520",".381",".336","143","-1.8","16.1","-14.6","1.4","13051"
