"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Bryce Harper","WSN","153","654","42","118","99","6","19.0%","20.0%",".319",".369",".330",".460",".649",".461",".418","197","3.6","77.7","-10.2","9.3","11579"
"Mike Trout","LAA","159","682","41","104","90","11","13.5%","23.2%",".290",".344",".299",".402",".590",".415",".422","171","3.0","58.7","6.6","9.3","10155"
"Josh Donaldson","TOR","158","711","41","122","123","6","10.3%","18.7%",".271",".314",".297",".371",".568",".398",".390","154","4.0","48.8","10.1","8.7","5038"
"Joey Votto","CIN","158","695","29","95","80","11","20.6%","19.4%",".228",".371",".314",".459",".541",".427",".422","174","-1.1","58.7","-11.8","7.3","4314"
"Paul Goldschmidt","ARI","159","695","33","103","110","21","17.0%","21.7%",".249",".382",".321",".435",".570",".418",".403","163","3.0","54.1","-7.5","7.2","9218"
"Buster Posey","SFG","150","623","19","74","95","2","9.0%","8.3%",".153",".320",".318",".379",".470",".363",".378","135","-1.7","23.8","20.8","6.8","9166"
"A.J. Pollock","ARI","157","673","20","111","76","39","7.9%","13.2%",".182",".338",".315",".367",".498",".371",".347","131","6.7","31.0","11.9","6.8","9256"
"Manny Machado","BAL","162","713","35","102","86","20","9.8%","15.6%",".216",".297",".286",".359",".502",".370",".345","135","1.2","30.4","8.4","6.6","11493"
"Lorenzo Cain","KCR","140","604","16","101","72","28","6.1%","16.2%",".171",".347",".307",".361",".477",".360",".364","128","6.3","26.0","11.8","6.1","9077"
"Kris Bryant","CHC","151","650","26","87","99","13","11.8%","30.6%",".213",".378",".275",".369",".488",".371",".354","136","6.9","33.8","3.6","6.1","15429"
"Andrew McCutchen","PIT","157","685","23","91","96","11","14.3%","19.4%",".196",".339",".292",".401",".488",".380",".399","144","-1.1","34.3","0.7","6.0","9847"
"Francisco Cervelli","PIT","130","510","7","56","43","1","9.0%","18.4%",".106",".359",".295",".370",".401",".341",".326","117","-0.8","9.4","30.6","5.9","5275"
"Yoenis Cespedes","- - -","159","676","35","101","105","7","4.9%","20.9%",".251",".323",".291",".328",".542",".367",".380","135","3.8","31.1","2.3","5.8","13110"
"Jason Heyward","STL","154","610","13","79","60","23","9.2%","14.8%",".146",".329",".293",".359",".439",".346",".317","121","7.2","22.2","11.3","5.6","4940"
"Chris Davis","BAL","160","670","47","100","117","2","12.5%","31.0%",".300",".319",".262",".361",".562",".390",".403","149","-0.7","37.2","-7.9","5.4","9272"
"Curtis Granderson","NYM","157","682","26","98","70","11","13.3%","22.1%",".198",".305",".259",".364",".457",".357",".363","131","2.5","27.2","2.0","5.3","4747"
"Matt Carpenter","STL","154","665","28","101","84","4","12.2%","22.7%",".233",".321",".272",".365",".505",".372",".391","140","1.3","31.9","-2.6","5.3","8090"
"Anthony Rizzo","CHC","160","701","31","94","101","17","11.1%","15.0%",".234",".289",".278",".387",".512",".384",".383","145","1.9","38.3","-10.7","5.2","3473"
"Jose Bautista","TOR","153","666","40","108","114","8","16.5%","15.9%",".285",".237",".250",".377",".536",".389",".390","148","2.0","39.0","-11.7","5.2","1887"
"J.D. Martinez","DET","158","657","38","93","102","3","8.1%","27.1%",".253",".339",".282",".344",".535",".372",".396","136","-2.4","25.2","2.1","5.2","6184"
"Yasmani Grandal","LAD","115","426","16","43","47","0","15.3%","21.6%",".169",".268",".234",".353",".403",".335",".343","116","-4.9","2.8","32.7","5.2","11368"
"Nelson Cruz","SEA","152","655","44","90","93","3","9.0%","25.0%",".264",".350",".302",".369",".566",".396",".386","158","-2.7","41.2","-15.2","5.0","2434"
"Dee Strange-Gordon","MIA","145","653","4","88","46","58","3.8%","13.9%",".085",".383",".333",".359",".418",".337",".283","116","4.8","16.6","8.4","4.8","8203"
"Mookie Betts","BOS","145","654","18","92","77","21","7.0%","12.5%",".188",".310",".291",".341",".479",".351",".341","120","7.9","23.1","0.5","4.8","13611"
"Xander Bogaerts","BOS","156","654","7","84","81","10","4.9%","15.4%",".101",".372",".320",".355",".421",".338",".300","111","3.9","12.0","9.9","4.6","12161"
"Miguel Cabrera","DET","119","511","18","64","76","1","15.1%","16.0%",".196",".384",".338",".440",".534",".413",".432","165","-4.7","33.4","-7.0","4.6","1744"
"Edwin Encarnacion","TOR","146","624","39","94","111","3","12.3%","15.7%",".280",".267",".277",".372",".557",".392",".380","150","-1.8","34.4","-12.2","4.5","2151"
"Jason Kipnis","CLE","141","641","9","86","52","12","8.9%","16.7%",".149",".356",".303",".372",".451",".355",".349","124","3.1","20.7","0.8","4.5","9776"
"Nolan Arenado","COL","157","665","42","97","130","2","5.1%","16.5%",".287",".284",".287",".323",".575",".371",".336","121","-1.1","15.3","6.4","4.5","9777"
"Russell Martin","TOR","129","507","23","76","77","4","10.5%","20.9%",".218",".262",".240",".329",".458",".340",".333","115","-4.5","4.1","21.4","4.5","4616"
"Jose Altuve","HOU","154","689","15","86","66","38","4.8%","9.7%",".146",".329",".313",".353",".459",".347",".300","124","-4.0","15.0","4.2","4.4","5417"
"Matt Duffy","SFG","149","612","12","77","77","12","4.9%","15.7%",".133",".336",".295",".334",".428",".331",".327","113","4.5","13.8","8.7","4.4","13836"
"Todd Frazier","CIN","157","678","35","82","89","13","6.5%","20.2%",".242",".271",".255",".309",".498",".342",".331","116","-0.5","12.0","7.8","4.3","785"
"Adrian Beltre","TEX","143","619","18","83","83","1","6.6%","10.5%",".166",".295",".287",".334",".453",".337",".360","109","4.0","10.6","9.8","4.3","639"
"Kevin Kiermaier","TBR","151","535","10","62","40","18","4.5%","17.8%",".156",".306",".263",".298",".420",".309",".302","97","3.9","2.1","20.6","4.3","11038"
"Brandon Crawford","SFG","143","561","21","65","84","6","7.0%","21.2%",".205",".294",".256",".321",".462",".332",".349","113","-1.2","7.6","15.2","4.3","5343"
"Logan Forsythe","TBR","153","615","17","69","68","9","8.9%","18.0%",".163",".323",".281",".359",".444",".350",".323","125","-1.5","16.2","2.0","4.1","7185"
"Francisco Lindor","CLE","99","438","12","50","51","12","6.2%","15.8%",".169",".348",".313",".353",".482",".358",".323","126","-0.8","12.2","10.8","4.0","12916"
"Justin Turner","LAD","126","439","16","55","60","5","8.2%","16.2%",".197",".321",".294",".370",".491",".371",".369","141","0.0","20.9","2.6","3.9","5235"
"Brandon Belt","SFG","137","556","18","73","68","9","10.1%","26.4%",".197",".363",".280",".356",".478",".359",".373","132","1.6","22.4","-2.6","3.9","10264"
"David Peralta","ARI","149","517","17","61","78","9","8.5%","20.7%",".210",".368",".312",".371",".522",".380",".355","137","3.5","25.9","-4.9","3.9","2136"
"Ian Kinsler","DET","154","675","11","94","73","10","6.4%","11.9%",".131",".323",".296",".342",".428",".335",".311","110","0.5","8.4","6.2","3.9","6195"
"George Springer","HOU","102","451","16","59","41","16","11.1%","24.2%",".183",".342",".276",".367",".459",".360",".364","133","5.2","22.4","-0.7","3.9","12856"
"Adam Eaton","CHW","153","689","14","98","56","18","8.4%","19.0%",".144",".345",".287",".361",".431",".346",".308","121","5.8","22.5","-8.7","3.9","11205"
