"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Jorge Alfaro","PHI",".406","1.65","23.2%","47.8%","29.0%","3.3%","16.7%","11","11.1%","0","0.0%","28.0%","40.1%","31.9%","14.5%","47.8%","37.7%","12180"
"Rafael Devers","BOS",".281","1.20","15.2%","46.2%","38.6%","15.7%","16.5%","16","10.5%","1","50.0%","37.2%","36.6%","26.3%","20.5%","45.0%","34.4%","17350"
"Ryan Zimmerman","WSN",".284","1.46","17.4%","48.9%","33.6%","7.6%","16.5%","7","6.1%","0","0.0%","31.5%","42.6%","26.0%","17.0%","43.4%","39.6%","4220"
"Manny Machado","- - -",".304","0.95","17.8%","40.0%","42.2%","11.6%","16.4%","9","4.2%","0","0.0%","38.1%","36.2%","25.7%","17.4%","43.9%","38.6%","11493"
"Mookie Betts","BOS",".368","0.75","21.2%","33.9%","44.9%","9.2%","16.4%","14","9.5%","0","0.0%","47.2%","34.8%","18.0%","12.2%","43.3%","44.5%","13611"
"Matt Olson","OAK",".292","0.83","21.1%","35.9%","43.1%","15.0%","16.1%","8","5.3%","0","0.0%","42.0%","33.9%","24.1%","13.8%","38.9%","47.3%","14344"
"Jose Abreu","CHW",".294","1.28","21.2%","44.2%","34.6%","13.9%","16.1%","10","5.7%","0","0.0%","39.1%","39.9%","21.0%","17.2%","44.9%","37.9%","15676"
"Ronald Guzman","TEX",".299","1.09","21.7%","40.8%","37.5%","10.0%","16.0%","5","4.6%","0","0.0%","37.8%","35.2%","27.0%","17.6%","49.4%","33.0%","14388"
"Rhys Hoskins","PHI",".272","0.56","19.2%","29.1%","51.7%","11.3%","16.0%","11","9.2%","0","0.0%","50.0%","31.1%","18.9%","19.9%","45.6%","34.5%","16472"
"Teoscar Hernandez","TOR",".313","0.83","19.9%","36.4%","43.7%","10.1%","15.9%","8","7.0%","0","0.0%","37.7%","36.1%","26.3%","15.8%","46.8%","37.3%","13066"
"Jonathan Schoop","- - -",".261","1.23","18.3%","45.2%","36.6%","19.7%","15.9%","11","6.7%","1","50.0%","43.3%","35.0%","21.8%","23.1%","49.0%","27.8%","11265"
"Mitch Haniger","SEA",".336","1.17","21.3%","42.4%","36.3%","9.1%","15.8%","15","7.8%","0","0.0%","44.8%","36.7%","18.5%","16.0%","46.8%","37.1%","14274"
"Miguel Andujar","NYY",".316","1.23","20.2%","44.0%","35.8%","14.5%","15.7%","23","10.9%","0","0.0%","47.5%","29.2%","23.3%","19.4%","44.6%","36.0%","15878"
"Matt Kemp","LAD",".339","0.92","26.8%","35.0%","38.1%","5.9%","15.6%","5","4.0%","0","0.0%","42.1%","35.9%","22.0%","13.8%","42.7%","43.5%","5631"
"Xander Bogaerts","BOS",".317","1.22","21.2%","43.3%","35.6%","10.8%","15.5%","16","8.9%","0","0.0%","43.4%","34.8%","21.8%","16.5%","45.6%","37.9%","12161"
"Niko Goodrum","DET",".312","1.34","22.8%","44.2%","33.0%","4.9%","15.5%","13","9.4%","2","100.0%","40.4%","31.2%","28.3%","15.9%","47.5%","36.6%","12092"
"Yairo Munoz","STL",".338","2.33","22.4%","54.3%","23.3%","1.9%","15.4%","8","6.6%","1","100.0%","37.9%","36.2%","25.9%","15.2%","47.8%","37.1%","16313"
"Cody Bellinger","LAD",".313","0.99","19.9%","40.0%","40.2%","16.5%","15.2%","18","11.0%","0","0.0%","45.2%","32.0%","22.7%","18.1%","41.8%","40.1%","15998"
"Jefry Marte","LAA",".240","1.83","15.0%","54.9%","30.1%","10.9%","15.2%","5","6.0%","0","0.0%","52.9%","28.8%","18.3%","19.0%","51.0%","30.1%","5107"
"Cory Spangenberg","SDP",".344","1.93","27.0%","48.1%","24.9%","2.2%","15.2%","10","11.2%","3","33.3%","33.5%","36.1%","30.4%","17.0%","47.4%","35.6%","12294"
"Matt Chapman","OAK",".338","1.03","20.4%","40.3%","39.3%","13.9%","15.2%","9","5.6%","0","0.0%","40.4%","35.0%","24.6%","16.1%","40.7%","43.2%","16505"
"Mark Canha","OAK",".282","0.95","21.9%","38.0%","40.1%","14.3%","15.2%","14","13.2%","0","0.0%","44.8%","34.1%","21.1%","18.6%","44.1%","37.3%","11445"
"Aaron Altherr","PHI",".247","1.38","18.2%","47.4%","34.4%","15.1%","15.1%","6","8.2%","0","0.0%","38.3%","39.6%","22.1%","21.4%","41.6%","37.0%","11270"
"Austin Hedges","SDP",".280","0.87","18.3%","38.0%","43.7%","11.8%","15.1%","8","9.9%","0","0.0%","48.1%","33.2%","18.7%","25.2%","37.9%","36.9%","12976"
"Mikie Mahtook","DET",".238","1.17","18.2%","44.0%","37.7%","13.3%","15.0%","8","11.4%","1","100.0%","47.5%","30.0%","22.5%","20.6%","53.1%","26.3%","13130"
"George Springer","HOU",".303","1.43","16.0%","49.4%","34.6%","8.2%","15.0%","23","11.0%","0","0.0%","39.8%","36.9%","23.3%","17.6%","48.9%","33.4%","12856"
"Johan Camargo","ATL",".315","1.27","19.8%","44.8%","35.4%","16.5%","15.0%","13","8.1%","0","0.0%","41.2%","33.4%","25.3%","18.7%","45.1%","36.2%","14950"
"Freddie Freeman","ATL",".358","1.16","32.3%","36.4%","31.3%","1.9%","14.9%","9","5.0%","0","0.0%","43.1%","31.1%","25.8%","11.0%","47.2%","41.9%","5361"
"J.T. Realmuto","MIA",".312","1.06","22.8%","39.8%","37.4%","10.6%","14.9%","15","10.0%","0","0.0%","45.1%","35.3%","19.6%","18.0%","43.5%","38.5%","11739"
"Kole Calhoun","LAA",".241","1.23","21.4%","43.4%","35.2%","3.9%","14.8%","4","2.5%","0","0.0%","42.6%","35.2%","22.3%","12.6%","42.9%","44.5%","11200"
"Curtis Granderson","- - -",".311","0.86","30.8%","32.1%","37.1%","6.8%","14.8%","2","2.6%","0","0.0%","52.7%","28.9%","18.4%","15.5%","47.3%","37.2%","4747"
"Didi Gregorius","NYY",".259","0.93","19.5%","38.9%","41.6%","12.0%","14.8%","7","4.1%","4","80.0%","40.4%","36.9%","22.7%","22.5%","41.6%","36.0%","6012"
"Salvador Perez","KCR",".245","0.77","20.4%","34.6%","45.0%","8.7%","14.8%","4","2.8%","0","0.0%","46.7%","33.4%","19.9%","12.0%","42.0%","45.9%","7304"
"Johnny Field","- - -",".284","0.95","19.0%","39.5%","41.5%","11.5%","14.8%","4","6.9%","1","25.0%","41.7%","31.8%","26.5%","21.2%","43.7%","35.1%","15048"
"Enrique Hernandez","LAD",".266","0.85","18.6%","37.5%","43.9%","16.7%","14.6%","4","3.3%","1","20.0%","43.2%","35.1%","21.6%","19.5%","45.0%","35.4%","10472"
"Chris Davis","BAL",".237","1.01","21.1%","39.6%","39.3%","5.5%","14.5%","6","5.4%","0","0.0%","40.8%","32.3%","27.0%","13.1%","50.7%","36.2%","9272"
"Omar Narvaez","CHW",".330","1.45","29.0%","42.1%","29.0%","6.5%","14.5%","4","4.4%","0","0.0%","34.6%","37.3%","28.1%","18.0%","53.5%","28.6%","13338"
"Yonder Alonso","CLE",".283","0.96","21.7%","38.3%","40.1%","14.5%","14.5%","6","3.9%","1","100.0%","43.7%","34.4%","21.9%","19.8%","42.5%","37.7%","2530"
"Daniel Robertson","TBR",".328","1.67","18.8%","50.7%","30.4%","11.1%","14.3%","9","8.6%","0","0.0%","41.5%","33.3%","25.1%","22.2%","43.0%","34.8%","14145"
"Ryan McMahon","COL",".327","1.54","23.9%","46.2%","29.9%","5.7%","14.3%","3","5.6%","1","100.0%","29.7%","40.7%","29.7%","18.6%","47.5%","33.9%","15112"
"Tim Anderson","CHW",".289","1.39","20.0%","46.6%","33.5%","5.0%","14.2%","17","8.7%","0","0.0%","44.4%","28.4%","27.2%","18.4%","51.3%","30.3%","15172"
"Jose Martinez","STL",".351","1.67","26.1%","46.2%","27.7%","3.3%","14.2%","13","6.5%","0","0.0%","32.4%","32.9%","34.7%","14.0%","45.5%","40.5%","7996"
"Gorkys Hernandez","SFG",".283","1.36","16.1%","48.3%","35.6%","20.8%","14.2%","10","6.9%","4","44.4%","38.1%","34.5%","27.4%","20.8%","40.4%","38.8%","4146"
"Harrison Bader","STL",".358","1.19","26.8%","39.8%","33.5%","14.1%","14.1%","18","17.8%","0","0.0%","46.5%","29.6%","23.8%","21.5%","40.8%","37.7%","18030"
"Starling Marte","PIT",".312","1.57","17.1%","50.7%","32.2%","7.0%","14.0%","24","10.7%","5","50.0%","40.3%","35.0%","24.7%","19.6%","46.9%","33.5%","9241"
"Alex Bregman","HOU",".289","0.80","21.9%","34.6%","43.4%","12.6%","14.0%","14","7.9%","1","100.0%","48.4%","32.4%","19.1%","17.2%","47.5%","35.4%","17678"
"Asdrubal Cabrera","- - -",".296","1.08","19.1%","42.1%","38.8%","8.5%","13.9%","7","3.9%","2","50.0%","47.8%","32.4%","19.8%","15.4%","46.2%","38.5%","4962"
"Odubel Herrera","PHI",".290","1.20","18.3%","44.6%","37.1%","13.9%","13.9%","15","7.9%","1","25.0%","38.8%","33.7%","27.4%","27.2%","47.9%","24.9%","11476"
"Russell Martin","TOR",".234","1.47","14.0%","51.2%","34.8%","19.4%","13.9%","5","4.7%","0","0.0%","40.6%","39.6%","19.8%","22.7%","47.3%","30.0%","4616"
"Carlos Correa","HOU",".282","1.23","20.2%","44.0%","35.8%","9.3%","13.9%","9","6.8%","0","0.0%","34.8%","33.4%","31.8%","17.9%","53.3%","28.8%","14162"
"Marcell Ozuna","STL",".309","1.35","18.1%","47.1%","34.9%","10.2%","13.9%","13","5.8%","0","0.0%","42.2%","35.3%","22.5%","15.8%","39.1%","45.2%","10324"
"Scooter Gennett","CIN",".358","1.11","23.6%","40.1%","36.2%","6.6%","13.8%","12","6.5%","1","16.7%","40.5%","32.1%","27.4%","15.6%","45.6%","38.8%","10339"
"Gregory Polanco","PIT",".287","0.69","18.7%","33.3%","48.0%","12.0%","13.8%","8","6.9%","2","100.0%","45.7%","34.6%","19.7%","20.0%","46.0%","34.0%","12907"
"Jake Bauers","TBR",".252","1.21","20.6%","43.5%","35.9%","11.3%","13.8%","1","1.0%","2","50.0%","51.1%","30.0%","18.9%","15.0%","44.5%","40.5%","15194"
"Rougned Odor","TEX",".305","1.05","19.5%","41.1%","39.3%","11.5%","13.7%","9","6.6%","8","38.1%","46.6%","35.9%","17.5%","15.0%","39.8%","45.2%","12282"
