"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Fernando Tatis Jr.","SDP",".306","1.36","16.5%","48.2%","35.4%","1.7%","29.3%","5","6.3%","0","0.0%","44.5%","36.0%","19.5%","7.9%","37.2%","54.9%","19709"
"Kole Calhoun","ARI",".211","0.96","23.6%","37.5%","38.9%","7.1%","28.6%","2","3.7%","0","0.0%","59.0%","27.1%","13.9%","12.5%","47.2%","40.3%","11200"
"Ronald Guzman","TEX",".300","1.93","24.1%","50.0%","25.9%","14.3%","28.6%","1","3.7%","0","0.0%","46.3%","35.2%","18.5%","20.4%","46.3%","33.3%","14388"
"Edwin Rios","LAD",".216","0.71","18.6%","33.9%","47.5%","0.0%","28.6%","0","0.0%","0","0.0%","45.8%","28.8%","25.4%","10.2%","39.0%","50.8%","18316"
"Jared Walsh","LAA",".256","1.31","14.9%","48.3%","36.8%","9.4%","28.1%","4","9.5%","0","0.0%","43.7%","27.6%","28.7%","13.8%","43.7%","42.5%","18607"
"Wil Myers","SDP",".331","1.00","23.4%","38.3%","38.3%","5.6%","27.8%","3","5.6%","1","100.0%","39.4%","33.1%","27.5%","11.3%","40.8%","47.9%","10047"
"Colin Moran","PIT",".291","1.97","15.1%","56.3%","28.6%","11.1%","27.8%","3","4.2%","1","100.0%","44.1%","31.5%","24.4%","9.4%","50.4%","40.2%","16909"
"Jedd Gyorko","MIL",".278","0.97","19.8%","39.5%","40.7%","15.2%","27.3%","2","6.3%","0","0.0%","44.4%","37.0%","18.5%","19.8%","48.1%","32.1%","10816"
"Ian Happ","CHC",".317","1.39","22.2%","45.2%","32.6%","6.8%","27.3%","4","6.6%","0","0.0%","37.5%","41.2%","21.3%","12.5%","51.5%","36.0%","17919"
"Sam Hilliard","COL",".281","1.41","14.5%","50.0%","35.5%","18.2%","27.3%","3","9.7%","1","100.0%","49.2%","31.7%","19.0%","23.8%","39.7%","36.5%","17954"
"DJ LeMahieu","NYY",".370","2.68","22.3%","56.6%","21.1%","0.0%","27.0%","4","4.0%","0","0.0%","27.4%","29.1%","43.4%","13.1%","51.4%","35.4%","9874"
"James McCann","CHW",".339","1.00","24.6%","37.7%","37.7%","7.7%","26.9%","1","3.8%","0","0.0%","33.3%","34.8%","31.9%","14.5%","49.3%","36.2%","12859"
"Brian Anderson","MIA",".323","1.61","20.7%","48.9%","30.4%","4.9%","26.8%","1","1.5%","0","0.0%","48.1%","27.4%","24.4%","14.8%","49.6%","35.6%","18289"
"Jackson Frazier","NYY",".338","1.20","25.0%","40.9%","34.1%","6.7%","26.7%","4","11.1%","0","0.0%","44.3%","29.5%","26.1%","13.6%","54.5%","31.8%","15983"
"Byron Buxton","MIN",".241","0.71","12.5%","36.5%","51.0%","24.5%","26.5%","9","25.7%","0","0.0%","54.2%","25.0%","20.8%","20.8%","43.8%","35.4%","14161"
"Marcell Ozuna","ATL",".391","0.91","23.1%","36.7%","40.2%","16.2%","26.5%","2","3.2%","0","0.0%","45.0%","29.0%","26.0%","14.8%","39.1%","46.2%","10324"
"Robinson Cano","NYM",".319","1.95","23.8%","50.3%","25.9%","10.5%","26.3%","4","5.4%","1","100.0%","41.2%","35.1%","23.6%","20.3%","44.6%","35.1%","3269"
"A.J. Pollock","LAD",".277","1.00","20.3%","39.9%","39.9%","6.6%","26.2%","6","9.8%","0","0.0%","45.8%","28.1%","26.1%","11.1%","47.1%","41.8%","9256"
"Keston Hiura","MIL",".273","1.14","20.1%","42.5%","37.3%","8.0%","26.0%","3","5.3%","0","0.0%","38.8%","37.3%","23.9%","19.4%","51.5%","29.1%","20003"
"Max Stassi","LAA",".277","1.07","22.2%","40.3%","37.5%","11.1%","25.9%","0","0.0%","0","0.0%","47.2%","34.7%","18.1%","6.9%","59.7%","33.3%","10059"
"Travis d'Arnaud","ATL",".411","1.43","26.7%","43.1%","30.2%","2.9%","25.7%","1","2.0%","0","0.0%","39.7%","33.6%","26.7%","10.3%","44.0%","45.7%","7739"
"Salvador Perez","KCR",".375","0.95","27.0%","35.7%","37.4%","4.7%","25.6%","4","9.8%","0","0.0%","46.1%","36.5%","17.4%","12.2%","45.2%","42.6%","7304"
"Kyle Schwarber","CHC",".219","1.47","14.5%","50.8%","34.7%","2.3%","25.6%","4","6.3%","1","100.0%","49.6%","31.2%","19.2%","10.4%","48.8%","40.8%","16478"
"Curt Casali","CIN",".268","0.50","23.4%","25.5%","51.1%","0.0%","25.0%","1","8.3%","0","0.0%","44.7%","38.3%","17.0%","6.4%","48.9%","44.7%","12510"
"Rowdy Tellez","TOR",".276","1.38","20.0%","46.3%","33.7%","6.3%","25.0%","3","6.8%","0","0.0%","36.8%","37.9%","25.3%","20.0%","42.1%","37.9%","15679"
"Austin Slater","SFG",".328","1.25","28.6%","39.7%","31.7%","5.0%","25.0%","2","8.0%","0","0.0%","37.5%","35.9%","26.6%","14.1%","54.7%","31.3%","16153"
"Ke'Bryan Hayes","PIT",".450","1.55","21.5%","47.7%","30.8%","5.0%","25.0%","1","3.2%","0","0.0%","24.6%","40.0%","35.4%","18.5%","36.9%","44.6%","18577"
"Pete Alonso","NYM",".242","0.89","16.9%","39.2%","43.9%","13.8%","24.6%","5","8.6%","0","0.0%","43.2%","31.8%","25.0%","16.9%","51.4%","31.8%","19251"
"Ryan McMahon","COL",".286","1.46","15.0%","50.5%","34.6%","5.4%","24.3%","4","7.4%","0","0.0%","40.2%","30.8%","29.0%","11.2%","48.6%","40.2%","15112"
"Eugenio Suarez","CIN",".214","0.74","18.2%","34.8%","47.0%","6.5%","24.2%","3","6.5%","0","0.0%","54.5%","27.3%","18.2%","16.7%","49.2%","34.1%","12552"
"Matt Olson","OAK",".227","0.79","20.6%","35.1%","44.3%","15.5%","24.1%","2","4.3%","1","50.0%","47.4%","33.1%","19.5%","12.8%","44.4%","42.9%","14344"
"David Bote","CHC",".228","1.48","16.3%","50.0%","33.7%","10.3%","24.1%","2","4.7%","0","0.0%","33.7%","40.7%","25.6%","15.1%","48.8%","36.0%","14593"
"Matt Kemp","COL",".314","1.24","26.3%","40.8%","32.9%","8.0%","24.0%","2","6.5%","0","0.0%","44.7%","32.9%","22.4%","17.1%","48.7%","34.2%","5631"
"Garrett Cooper","MIA",".337","1.64","25.8%","46.1%","28.1%","0.0%","24.0%","2","4.9%","0","0.0%","42.7%","31.5%","25.8%","13.5%","53.9%","32.6%","15279"
"Darin Ruf","SFG",".322","1.19","28.1%","39.1%","32.8%","4.8%","23.8%","1","4.0%","0","0.0%","42.2%","34.4%","23.4%","18.8%","51.6%","29.7%","9929"
"Gary Sanchez","NYY",".159","0.83","16.3%","38.0%","45.7%","14.3%","23.8%","1","2.9%","0","0.0%","57.6%","22.8%","19.6%","15.2%","43.5%","41.3%","11442"
"JaCoby Jones","DET",".356","1.38","21.9%","45.3%","32.8%","9.5%","23.8%","1","3.4%","0","0.0%","43.8%","32.8%","23.4%","18.8%","51.6%","29.7%","14818"
"Tim Anderson","CHW",".383","2.07","18.9%","54.7%","26.4%","0.0%","23.8%","12","13.8%","0","0.0%","33.3%","42.8%","23.9%","15.1%","52.8%","32.1%","15172"
"Mike Brosseau","TBR",".412","1.19","17.9%","44.6%","37.5%","4.8%","23.8%","3","12.0%","0","0.0%","50.0%","28.6%","21.4%","7.1%","46.4%","46.4%","19683"
"Nick Castellanos","CIN",".257","0.88","26.0%","34.7%","39.3%","1.7%","23.7%","2","3.8%","0","0.0%","32.0%","46.7%","21.3%","10.0%","53.3%","36.7%","11737"
"Brandon Lowe","TBR",".309","0.76","24.1%","32.8%","43.1%","3.4%","23.7%","1","2.2%","0","0.0%","45.3%","32.1%","22.6%","13.9%","43.1%","43.1%","18882"
"Jake Cave","MIN",".323","2.00","25.0%","50.0%","25.0%","0.0%","23.5%","0","0.0%","1","100.0%","37.7%","34.8%","27.5%","13.0%","52.2%","34.8%","14477"
"J.T. Realmuto","PHI",".307","1.28","14.4%","48.0%","37.6%","10.6%","23.4%","9","15.0%","0","0.0%","40.8%","37.6%","21.6%","16.8%","45.6%","37.6%","11739"
"Mitch Moreland","- - -",".277","1.07","13.6%","44.7%","41.7%","7.0%","23.3%","1","2.2%","0","0.0%","43.3%","30.8%","26.0%","14.4%","52.9%","32.7%","3086"
"Mike Trout","LAA",".300","0.50","24.5%","25.2%","50.3%","8.1%","23.0%","4","10.8%","0","0.0%","38.1%","33.3%","28.6%","10.2%","48.3%","41.5%","10155"
"Chris Taylor","LAD",".344","1.66","26.8%","45.7%","27.6%","5.7%","22.9%","8","13.8%","3","75.0%","31.3%","41.2%","27.5%","14.5%","48.9%","36.6%","13757"
"Jorge Soler","KCR",".317","0.97","23.3%","37.8%","38.9%","20.0%","22.9%","0","0.0%","0","0.0%","51.1%","25.6%","23.3%","17.8%","40.0%","42.2%","14221"
"Willy Adames","TBR",".388","1.37","25.2%","43.2%","31.5%","22.9%","22.9%","6","12.5%","0","0.0%","55.0%","25.2%","19.8%","18.9%","44.1%","36.9%","15986"
"Joc Pederson","LAD",".200","1.32","15.3%","48.2%","36.5%","6.5%","22.6%","3","7.3%","1","50.0%","47.1%","36.8%","16.1%","12.6%","50.6%","36.8%","11899"
"Sean Murphy","OAK",".278","1.10","17.7%","43.0%","39.2%","9.7%","22.6%","2","5.9%","0","0.0%","31.6%","46.8%","21.5%","11.4%","54.4%","34.2%","19352"
"Eric Hosmer","SDP",".296","1.35","19.7%","46.2%","34.2%","5.0%","22.5%","1","1.9%","0","0.0%","37.6%","40.2%","22.2%","16.2%","42.7%","41.0%","3516"
"Rougned Odor","TEX",".157","0.67","16.7%","33.3%","50.0%","17.8%","22.2%","2","6.7%","2","66.7%","47.3%","32.3%","20.4%","22.6%","46.2%","31.2%","12282"
"Josh Bell","PIT",".273","2.17","18.6%","55.7%","25.7%","8.3%","22.2%","3","3.8%","0","0.0%","38.6%","37.1%","24.3%","10.7%","47.9%","41.4%","13145"
"Daniel Vogelbach","- - -",".237","1.41","20.7%","46.3%","32.9%","0.0%","22.2%","0","0.0%","0","0.0%","31.7%","40.2%","28.0%","13.4%","54.9%","31.7%","14130"
"Dominic Smith","NYM",".368","1.22","25.9%","40.7%","33.3%","2.2%","22.2%","3","5.5%","0","0.0%","44.4%","35.6%","20.0%","10.4%","51.9%","37.8%","15653"
"Matt Chapman","OAK",".291","0.51","23.6%","25.8%","50.6%","24.4%","22.2%","1","4.3%","0","0.0%","49.4%","29.2%","21.3%","20.2%","38.2%","41.6%","16505"
"Ryan McBroom","KCR",".311","0.59","15.7%","31.4%","52.9%","3.7%","22.2%","0","0.0%","0","0.0%","31.4%","37.3%","31.4%","15.7%","54.9%","29.4%","16524"
"Kyle Lewis","SEA",".341","1.18","20.4%","43.1%","36.5%","4.0%","22.0%","5","8.5%","0","0.0%","30.7%","42.3%","27.0%","18.2%","48.9%","32.8%","19508"
"Michael Conforto","NYM",".412","1.46","30.3%","41.4%","28.3%","7.3%","22.0%","4","6.7%","0","0.0%","32.4%","39.3%","28.3%","14.5%","49.0%","36.6%","16376"
"Shin-Soo Choo","TEX",".284","1.57","22.4%","47.4%","30.3%","8.7%","21.7%","0","0.0%","2","66.7%","36.7%","32.9%","30.4%","10.1%","54.4%","35.4%","3174"
"Corey Seager","LAD",".309","0.99","22.6%","38.4%","39.0%","1.4%","21.7%","5","7.4%","0","0.0%","40.7%","32.2%","27.1%","8.5%","39.5%","52.0%","13624"
"Adam Duvall","ATL",".240","0.54","16.8%","29.2%","54.0%","6.8%","21.6%","6","15.0%","0","0.0%","44.5%","30.7%","24.8%","20.4%","48.9%","30.7%","10950"
"Dylan Moore","SEA",".314","0.89","24.7%","35.5%","39.8%","10.8%","21.6%","1","3.0%","0","0.0%","42.6%","31.9%","25.5%","9.6%","54.3%","36.2%","18042"
"Brad Miller","STL",".289","1.24","23.7%","42.3%","34.0%","6.1%","21.2%","4","9.8%","0","0.0%","39.2%","44.3%","16.5%","19.6%","44.3%","36.1%","12775"
"George Springer","HOU",".259","0.83","20.9%","35.9%","43.1%","10.6%","21.2%","6","10.9%","0","0.0%","48.0%","34.9%","17.1%","20.4%","43.4%","36.2%","12856"
"Jonathan Schoop","DET",".316","1.68","18.4%","51.2%","30.4%","13.2%","21.1%","6","9.4%","0","0.0%","48.8%","28.0%","23.2%","21.6%","54.4%","24.0%","11265"
"Alex Dickerson","SFG",".313","1.04","19.7%","41.0%","39.3%","12.5%","20.8%","1","2.0%","0","0.0%","39.3%","32.8%","27.9%","13.9%","45.1%","41.0%","12649"
"Jose Marmolejos","SEA",".232","1.14","17.3%","44.0%","38.7%","6.9%","20.7%","1","3.0%","0","0.0%","41.3%","41.3%","17.3%","14.7%","48.0%","37.3%","15767"
"Willi Castro","DET",".448","1.34","26.9%","41.9%","31.2%","0.0%","20.7%","3","7.7%","0","0.0%","39.4%","39.4%","21.3%","22.3%","48.9%","28.7%","17338"
"Shohei Ohtani","LAA",".229","1.50","17.5%","49.5%","33.0%","2.9%","20.6%","4","7.8%","0","0.0%","45.6%","34.0%","20.4%","19.4%","45.6%","35.0%","19755"
"Manny Machado","SDP",".297","0.91","22.0%","37.2%","40.8%","10.3%","20.5%","8","11.3%","0","0.0%","45.0%","31.4%","23.6%","13.6%","47.6%","38.7%","11493"
"Miguel Cabrera","DET",".283","1.33","26.5%","41.9%","31.6%","8.2%","20.4%","2","3.1%","0","0.0%","40.0%","34.2%","25.8%","12.3%","57.4%","30.3%","1744"
"Lourdes Gurriel Jr.","TOR",".351","1.22","25.9%","40.7%","33.3%","7.4%","20.4%","6","9.1%","0","0.0%","42.0%","35.2%","22.8%","11.1%","58.6%","30.2%","19238"
"Renato Nunez","BAL",".317","0.71","23.5%","31.8%","44.7%","15.3%","20.3%","2","4.8%","0","0.0%","49.2%","28.8%","22.0%","23.5%","50.8%","25.8%","14503"
"Ryan Braun","MIL",".232","0.95","23.5%","37.3%","39.2%","10.0%","20.0%","1","2.6%","1","100.0%","47.6%","35.0%","17.5%","18.4%","49.5%","32.0%","3410"
"Jason Heyward","CHC",".311","1.70","27.7%","45.5%","26.8%","10.0%","20.0%","3","5.9%","0","0.0%","50.0%","34.8%","15.2%","14.3%","46.4%","39.3%","4940"
"Domingo Santana","CLE",".209","2.70","17.8%","60.0%","22.2%","10.0%","20.0%","1","3.7%","0","0.0%","51.1%","26.7%","22.2%","24.4%","44.4%","31.1%","10348"
"Michael A. Taylor","WSN",".217","1.08","17.5%","42.9%","39.7%","0.0%","20.0%","1","3.7%","1","50.0%","38.5%","38.5%","23.1%","12.3%","61.5%","26.2%","11489"
"Trent Grisham","SDP",".310","1.18","24.8%","40.7%","34.5%","16.0%","20.0%","6","10.2%","5","62.5%","44.4%","33.3%","22.2%","17.0%","50.3%","32.7%","18564"
"Freddie Freeman","ATL",".366","0.85","31.1%","31.6%","37.3%","1.5%","19.7%","3","5.4%","0","0.0%","37.3%","33.3%","29.4%","9.6%","47.5%","42.9%","5361"
"Bryce Harper","PHI",".279","0.79","18.1%","36.1%","45.8%","3.0%","19.7%","2","3.8%","2","33.3%","38.7%","34.0%","27.3%","9.3%","50.7%","40.0%","11579"
"Max Muncy","LAD",".203","1.05","13.8%","44.1%","42.1%","3.3%","19.7%","6","9.4%","0","0.0%","45.5%","32.4%","22.1%","10.3%","48.3%","41.4%","13301"
"Joey Votto","CIN",".235","0.98","22.4%","38.5%","39.2%","0.0%","19.6%","3","5.5%","0","0.0%","46.2%","28.7%","25.2%","10.5%","53.1%","36.4%","4314"
"Luis Robert","CHW",".300","0.88","19.8%","37.4%","42.7%","14.3%","19.6%","7","14.3%","0","0.0%","35.1%","36.6%","28.2%","26.0%","44.3%","29.8%","20043"
"Hunter Renfroe","TBR",".141","0.88","10.5%","41.9%","47.7%","12.2%","19.5%","3","8.3%","0","0.0%","46.5%","30.2%","23.3%","20.9%","44.2%","34.9%","15464"
"Evan White","SEA",".264","1.02","15.3%","42.9%","41.8%","4.9%","19.5%","5","11.9%","0","0.0%","43.4%","33.3%","23.2%","13.1%","52.5%","34.3%","20078"
"Martin Maldonado","HOU",".295","0.94","27.7%","34.9%","37.3%","16.1%","19.4%","2","6.9%","0","0.0%","51.2%","34.9%","14.0%","15.1%","59.3%","25.6%","6887"
"Randal Grichuk","TOR",".299","1.13","21.9%","41.4%","36.7%","16.1%","19.4%","10","14.3%","0","0.0%","45.6%","24.9%","29.6%","18.9%","46.2%","34.9%","10243"
"Rafael Devers","BOS",".325","1.32","20.0%","45.5%","34.5%","5.3%","19.3%","5","6.7%","0","0.0%","37.6%","41.2%","21.2%","10.9%","47.9%","41.2%","17350"
"Justin Upton","LAA",".219","0.94","13.3%","41.9%","44.8%","8.5%","19.1%","2","4.5%","0","0.0%","46.7%","35.2%","18.1%","12.4%","45.7%","41.9%","5222"
"Brandon Belt","SFG",".356","0.72","27.0%","30.6%","42.3%","0.0%","19.1%","0","0.0%","1","50.0%","43.4%","34.5%","22.1%","11.5%","47.8%","40.7%","10264"
"Mookie Betts","LAD",".289","0.70","21.4%","32.4%","46.2%","7.1%","19.0%","8","13.6%","0","0.0%","38.5%","34.1%","27.5%","13.2%","42.3%","44.5%","13611"
"Pat Valaika","BAL",".313","0.88","25.5%","34.9%","39.6%","4.8%","19.0%","5","13.5%","0","0.0%","34.3%","38.0%","27.8%","14.8%","52.8%","32.4%","14885"
"Chance Sisco","BAL",".321","0.81","33.3%","29.8%","36.8%","9.5%","19.0%","0","0.0%","0","0.0%","49.1%","24.6%","26.3%","17.5%","42.1%","40.4%","15694"
"Jose Ramirez","CLE",".294","0.59","18.8%","30.1%","51.1%","11.1%","18.9%","6","11.3%","1","100.0%","52.0%","28.8%","19.2%","19.8%","46.9%","33.3%","13510"
"J.D. Davis","NYM",".318","2.38","20.0%","56.3%","23.7%","6.3%","18.8%","10","13.2%","0","0.0%","31.9%","42.2%","25.9%","16.3%","48.9%","34.8%","16219"
"Xander Bogaerts","BOS",".329","1.27","17.8%","46.0%","36.2%","3.4%","18.6%","8","10.7%","0","0.0%","42.3%","31.3%","26.4%","16.6%","47.2%","36.2%","12161"
"Yasmani Grandal","CHW",".299","0.88","22.9%","36.2%","41.0%","11.6%","18.6%","0","0.0%","0","0.0%","41.0%","32.4%","26.7%","13.3%","44.8%","41.9%","11368"
"Franmil Reyes","CLE",".355","1.51","16.3%","50.3%","33.3%","10.2%","18.4%","6","8.1%","0","0.0%","38.1%","36.1%","25.9%","14.3%","49.0%","36.7%","14566"
"Edwin Encarnacion","CHW",".156","0.64","15.1%","33.0%","51.9%","18.2%","18.2%","4","11.4%","0","0.0%","49.1%","34.0%","17.0%","22.6%","47.2%","30.2%","2151"
"Jay Bruce","PHI",".197","0.85","15.3%","38.9%","45.8%","3.0%","18.2%","1","3.6%","0","0.0%","51.4%","27.8%","20.8%","13.9%","45.8%","40.3%","9892"
"Yandy Diaz","TBR",".347","5.82","22.7%","66.0%","11.3%","0.0%","18.2%","9","14.1%","0","0.0%","26.8%","30.9%","42.3%","23.7%","48.5%","27.8%","16578"
"Rio Ruiz","BAL",".244","1.32","17.1%","47.1%","35.7%","12.0%","18.0%","4","6.1%","0","0.0%","43.3%","30.5%","26.2%","19.1%","49.6%","31.2%","14103"
"Justin Smoak","- - -",".219","1.11","24.4%","39.7%","35.9%","10.7%","17.9%","3","9.7%","0","0.0%","56.4%","26.9%","16.7%","14.1%","41.0%","44.9%","9054"
"Rhys Hoskins","PHI",".276","0.55","19.4%","28.7%","51.9%","17.9%","17.9%","4","12.9%","0","0.0%","48.1%","27.8%","24.1%","19.4%","48.1%","32.4%","16472"
"Brandon Crawford","SFG",".303","1.18","22.8%","41.7%","35.4%","8.9%","17.8%","2","3.8%","0","0.0%","52.0%","37.0%","11.0%","15.7%","49.6%","34.6%","5343"
"Anthony Rizzo","CHC",".218","1.02","24.2%","38.2%","37.6%","17.7%","17.7%","3","4.8%","0","0.0%","47.9%","32.3%","19.8%","16.8%","47.9%","35.3%","3473"
"Jorge Alfaro","MIA",".333","1.65","21.1%","49.1%","29.8%","5.9%","17.6%","2","7.1%","0","0.0%","22.8%","35.1%","42.1%","17.5%","36.8%","45.6%","12180"
"Vladimir Guerrero Jr.","TOR",".282","1.96","17.5%","54.6%","27.9%","5.9%","17.6%","2","2.0%","0","0.0%","41.5%","35.0%","23.5%","14.2%","47.0%","38.8%","19611"
"Freddy Galvis","CIN",".231","1.28","16.5%","46.8%","36.7%","10.0%","17.5%","1","2.0%","1","50.0%","44.1%","35.1%","20.7%","20.7%","52.3%","27.0%","6609"
"Jackie Bradley Jr.","BOS",".343","1.90","18.9%","53.1%","28.0%","2.5%","17.5%","8","10.5%","1","100.0%","29.9%","42.4%","27.8%","18.8%","54.2%","27.1%","12984"
"Tyler O'Neill","STL",".189","1.05","15.5%","43.3%","41.2%","7.5%","17.5%","9","21.4%","0","0.0%","45.4%","27.8%","26.8%","13.4%","53.6%","33.0%","15711"
"Anthony Santander","BAL",".248","0.48","26.8%","23.6%","49.6%","19.0%","17.5%","1","3.3%","0","0.0%","38.3%","29.7%","32.0%","21.1%","42.2%","36.7%","14551"
"Dexter Fowler","STL",".293","1.17","19.4%","43.5%","37.1%","4.3%","17.4%","1","3.7%","0","0.0%","45.2%","38.7%","16.1%","21.0%","51.6%","27.4%","4062"
"Mike Moustakas","CIN",".247","0.83","20.0%","36.2%","43.8%","8.7%","17.4%","2","5.3%","0","0.0%","38.1%","41.0%","21.0%","18.1%","43.8%","38.1%","4892"
"Brandon Nimmo","NYM",".326","1.46","20.4%","47.2%","32.4%","4.3%","17.4%","4","6.0%","1","100.0%","35.0%","30.1%","35.0%","21.0%","57.3%","21.7%","12927"
"Mike Zunino","TBR",".206","0.35","18.4%","21.1%","60.5%","26.1%","17.4%","0","0.0%","0","0.0%","44.7%","34.2%","21.1%","23.7%","39.5%","36.8%","13265"
"Cody Bellinger","LAD",".245","0.93","21.8%","37.6%","40.6%","11.6%","17.4%","3","4.7%","0","0.0%","45.6%","33.9%","20.5%","16.4%","45.6%","38.0%","15998"
"Trea Turner","WSN",".353","1.29","20.6%","44.7%","34.7%","7.2%","17.4%","11","12.4%","0","0.0%","30.7%","38.7%","30.7%","16.1%","47.2%","36.7%","16252"
"Will Smith","LAD",".294","0.48","26.9%","23.7%","49.5%","6.5%","17.4%","1","4.5%","0","0.0%","38.7%","36.6%","24.7%","8.6%","50.5%","40.9%","19197"
"Tucker Barnhart","CIN",".231","0.76","23.9%","32.8%","43.3%","10.3%","17.2%","0","0.0%","0","0.0%","44.3%","31.4%","24.3%","20.0%","52.9%","27.1%","10200"
"Mike Yastrzemski","SFG",".370","0.91","19.0%","38.7%","42.3%","12.1%","17.2%","2","3.8%","0","0.0%","43.1%","35.8%","21.2%","19.7%","43.1%","37.2%","14854"
"Danny Jansen","TOR",".190","0.91","24.7%","36.0%","39.3%","5.7%","17.1%","4","12.5%","0","0.0%","33.3%","40.9%","25.8%","17.2%","61.3%","21.5%","16535"
"Javier Baez","CHC",".262","1.55","18.4%","49.7%","32.0%","14.9%","17.0%","7","9.6%","2","100.0%","46.3%","30.2%","23.5%","17.4%","46.3%","36.2%","12979"
"Wilmer Flores","SFG",".272","0.76","23.3%","33.1%","43.6%","5.6%","16.9%","2","3.7%","0","0.0%","51.5%","28.2%","20.2%","17.2%","48.5%","34.4%","5827"
"Ben Gamel","MIL",".333","1.56","38.7%","37.3%","24.0%","11.1%","16.7%","0","0.0%","0","0.0%","38.7%","36.0%","25.3%","16.0%","54.7%","29.3%","12160"
"Joey Gallo","TEX",".240","0.48","18.3%","26.6%","55.0%","11.7%","16.7%","2","6.9%","3","60.0%","49.1%","28.1%","22.8%","13.2%","45.6%","41.2%","14128"
"Michael Chavis","BOS",".280","1.50","23.5%","45.9%","30.6%","6.7%","16.7%","4","8.9%","0","0.0%","41.8%","39.8%","18.4%","14.3%","52.0%","33.7%","17321"
"Austin Riley","ATL",".280","1.21","23.7%","41.7%","34.5%","6.3%","16.7%","5","8.6%","0","0.0%","41.7%","30.2%","28.1%","15.7%","50.7%","33.6%","18360"
