"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Randy Arozarena","TBR",".306","1.33","18.6%","46.5%","34.9%","6.7%","46.7%","2","10.0%","0","0.0%","44.2%","23.3%","32.6%","16.3%","46.5%","37.2%","19290"
"Bobby Dalbec","BOS",".394","0.83","19.5%","36.6%","43.9%","11.1%","44.4%","1","6.7%","0","0.0%","41.5%","34.1%","24.4%","17.1%","41.5%","41.5%","19966"
"Nelson Cruz","MIN",".360","1.51","22.8%","46.5%","30.7%","10.3%","41.0%","3","5.1%","0","0.0%","34.6%","37.8%","27.6%","14.2%","47.2%","38.6%","2434"
"Jesse Winker","CIN",".283","1.67","23.1%","48.1%","28.8%","6.7%","40.0%","0","0.0%","0","0.0%","46.2%","31.7%","22.1%","10.6%","40.4%","49.0%","13590"
"Nathaniel Lowe","TBR",".314","1.80","28.2%","46.2%","25.6%","0.0%","40.0%","0","0.0%","0","0.0%","33.3%","41.0%","25.6%","10.3%","64.1%","25.6%","19566"
"Juan Soto","WSN",".363","1.81","19.8%","51.6%","28.6%","5.6%","36.1%","4","6.2%","0","0.0%","32.5%","43.7%","23.8%","15.1%","42.9%","42.1%","20123"
"Derek Dietrich","TEX",".200","1.14","25.0%","40.0%","35.0%","14.3%","35.7%","1","6.3%","0","0.0%","30.0%","37.5%","32.5%","20.0%","37.5%","42.5%","10542"
"Luke Voit","NYY",".268","1.03","20.0%","40.6%","39.4%","4.8%","34.9%","5","7.7%","0","0.0%","54.4%","24.4%","21.3%","16.9%","41.3%","41.9%","14811"
"Miguel Sano","MIN",".301","0.92","24.0%","36.5%","39.6%","10.5%","34.2%","2","5.7%","0","0.0%","56.3%","26.0%","17.7%","10.4%","41.7%","47.9%","12164"
"D.J. Stewart","BAL",".233","0.95","16.3%","40.8%","42.9%","23.8%","33.3%","0","0.0%","0","0.0%","55.8%","26.9%","17.3%","23.1%","38.5%","38.5%","17766"
"Jose Abreu","CHW",".350","1.40","23.6%","44.5%","31.9%","8.6%","32.8%","6","7.4%","0","0.0%","37.9%","38.5%","23.6%","13.2%","47.3%","39.6%","15676"
"Teoscar Hernandez","TOR",".348","0.94","25.8%","35.9%","38.3%","6.1%","32.7%","5","10.9%","0","0.0%","35.9%","42.2%","21.9%","11.6%","39.5%","48.8%","13066"
"Ronald Acuna Jr.","ATL",".302","0.81","22.0%","35.0%","43.0%","7.0%","32.6%","1","2.9%","0","0.0%","42.0%","35.0%","23.0%","17.0%","32.0%","51.0%","18401"
"Christian Yelich","MIL",".259","1.70","19.4%","50.8%","29.8%","0.0%","32.4%","1","1.6%","0","0.0%","38.7%","33.1%","28.2%","8.1%","50.8%","41.1%","11477"
"Aaron Judge","NYY",".283","0.96","20.3%","39.1%","40.6%","0.0%","32.1%","2","7.4%","0","0.0%","53.6%","29.0%","17.4%","13.0%","44.9%","42.0%","15640"
"Eloy Jimenez","CHW",".340","1.82","19.6%","51.9%","28.5%","11.1%","31.1%","8","9.8%","0","0.0%","36.1%","33.5%","30.4%","12.0%","43.7%","44.3%","17484"
"Giancarlo Stanton","NYY",".333","1.77","26.5%","46.9%","26.5%","23.1%","30.8%","1","4.3%","0","0.0%","57.1%","28.6%","14.3%","20.4%","32.7%","46.9%","4949"
"Josh Donaldson","MIN",".231","1.60","10.3%","55.2%","34.5%","5.0%","30.0%","3","9.4%","0","0.0%","51.7%","27.6%","20.7%","15.5%","50.0%","34.5%","5038"
