"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Shohei Ohtani","LAA",".303","0.94","21.4%","38.0%","40.6%","5.0%","32.9%","17","13.0%","4","80.0%","48.0%","30.0%","22.0%","10.9%","44.0%","45.1%","19755"
"Fernando Tatis Jr.","SDP",".324","1.01","19.8%","40.2%","39.9%","11.5%","32.1%","17","12.9%","0","0.0%","48.0%","30.4%","21.6%","14.9%","37.1%","48.0%","19709"
"Patrick Wisdom","CHC",".318","0.64","19.5%","31.4%","49.2%","9.9%","30.8%","4","6.9%","0","0.0%","56.8%","28.1%","15.1%","14.6%","40.0%","45.4%","13602"
"Franmil Reyes","CLE",".314","1.29","17.6%","46.3%","36.0%","11.2%","30.6%","9","7.1%","0","0.0%","40.4%","37.9%","21.7%","15.4%","40.8%","43.8%","14566"
"Mike Zunino","TBR",".231","0.56","15.8%","30.2%","54.0%","22.9%","30.3%","5","8.2%","0","0.0%","58.9%","24.3%","16.8%","24.8%","34.7%","40.6%","13265"
"Sam Hilliard","COL",".283","1.15","18.3%","43.7%","38.1%","12.5%","29.2%","5","9.1%","0","0.0%","42.5%","36.2%","21.3%","21.3%","45.7%","33.1%","17954"
"Darin Ruf","SFG",".344","1.36","26.1%","42.6%","31.3%","9.1%","29.1%","2","2.7%","0","0.0%","43.8%","35.2%","21.0%","13.1%","46.6%","40.3%","9929"
"Byron Buxton","MIN",".344","1.05","21.5%","40.1%","38.4%","4.5%","28.8%","7","10.1%","0","0.0%","53.8%","26.6%","19.7%","13.9%","43.4%","42.8%","14161"
"Kyle Schwarber","- - -",".306","0.94","20.8%","38.3%","40.9%","8.0%","28.6%","3","2.9%","0","0.0%","45.3%","35.0%","19.7%","15.3%","45.6%","39.1%","16478"
"Bobby Bradley","CLE",".263","1.07","22.1%","40.3%","37.6%","8.9%","28.6%","2","3.3%","0","0.0%","39.6%","33.6%","26.8%","13.4%","47.7%","38.9%","17278"
"Yasmani Grandal","CHW",".246","1.01","18.9%","40.8%","40.3%","11.1%","28.4%","2","2.4%","1","50.0%","46.3%","35.5%","18.2%","14.8%","42.9%","42.4%","11368"
"Javier Baez","- - -",".352","1.36","18.5%","47.0%","34.5%","10.9%","28.2%","22","14.7%","1","50.0%","44.2%","35.2%","20.6%","19.0%","44.2%","36.8%","12979"
"Aaron Judge","NYY",".332","1.16","23.2%","41.3%","35.5%","3.5%","27.7%","10","6.1%","0","0.0%","36.3%","37.0%","26.7%","8.6%","44.6%","46.9%","15640"
"Jesus Sanchez","MIA",".316","1.33","20.7%","45.3%","34.0%","9.8%","27.5%","2","2.9%","0","0.0%","36.7%","36.0%","27.3%","13.3%","48.7%","38.0%","19913"
"Joey Gallo","- - -",".246","0.64","16.7%","32.6%","50.7%","10.7%","27.1%","4","4.4%","7","70.0%","44.8%","32.9%","22.4%","15.0%","47.2%","37.8%","14128"
"Brandon Belt","SFG",".309","0.55","22.7%","27.3%","50.0%","5.6%","26.9%","5","8.5%","5","71.4%","43.5%","31.8%","24.7%","15.7%","45.7%","38.6%","10264"
"Giancarlo Stanton","NYY",".324","1.21","18.5%","44.7%","36.8%","9.9%","26.7%","7","4.4%","0","0.0%","37.9%","34.0%","28.1%","16.0%","42.4%","41.6%","4949"
"Bryce Harper","PHI",".359","1.09","21.9%","40.7%","37.3%","6.9%","26.7%","9","6.3%","4","44.4%","38.1%","34.4%","27.5%","12.8%","43.9%","43.3%","11579"
"Vladimir Guerrero Jr.","TOR",".313","1.23","18.8%","44.8%","36.5%","7.7%","26.5%","13","5.9%","0","0.0%","39.9%","35.5%","24.6%","10.7%","47.6%","41.7%","19611"
"Joey Votto","CIN",".287","0.76","26.5%","31.7%","41.8%","5.9%","26.5%","9","8.7%","0","0.0%","43.4%","33.5%","23.1%","8.0%","47.1%","44.9%","4314"
"Salvador Perez","KCR",".298","0.93","22.7%","37.2%","40.1%","8.8%","26.4%","9","5.3%","0","0.0%","46.9%","31.7%","21.4%","13.4%","42.7%","43.8%","7304"
"Tyler O'Neill","STL",".366","0.88","23.0%","36.2%","40.9%","10.8%","26.2%","14","12.2%","0","0.0%","38.1%","36.5%","25.5%","14.2%","43.1%","42.8%","15711"
"Avisail Garcia","MIL",".291","1.47","20.6%","47.2%","32.2%","5.4%","26.1%","12","7.4%","0","0.0%","44.3%","36.2%","19.4%","15.1%","47.5%","37.4%","5760"
"Josh Bell","WSN",".276","2.02","20.0%","53.5%","26.5%","5.7%","25.5%","7","3.3%","0","0.0%","39.0%","35.8%","25.3%","12.0%","50.5%","37.5%","13145"
"Jared Walsh","LAA",".335","1.61","21.8%","48.3%","29.9%","12.3%","25.4%","8","4.3%","0","0.0%","41.7%","37.3%","21.0%","17.8%","46.2%","36.0%","18607"
"Brad Miller","PHI",".276","1.24","17.9%","45.4%","36.7%","13.8%","25.0%","5","5.1%","0","0.0%","40.6%","36.5%","22.8%","14.6%","42.5%","42.9%","12775"
"Austin Slater","SFG",".303","1.98","23.9%","50.5%","25.5%","2.1%","25.0%","5","5.3%","2","100.0%","38.4%","34.7%","26.8%","14.7%","56.3%","28.9%","16153"
"Miguel Sano","MIN",".291","0.91","18.4%","38.9%","42.7%","13.8%","24.4%","2","1.8%","0","0.0%","46.2%","29.2%","24.7%","14.9%","39.6%","45.5%","12164"
"Juan Soto","WSN",".332","1.83","18.6%","52.7%","28.7%","6.7%","24.4%","13","6.0%","0","0.0%","31.2%","43.5%","25.4%","15.9%","44.9%","39.1%","20123"
"Ian Happ","CHC",".281","1.38","20.7%","46.0%","33.3%","8.7%","24.3%","9","6.3%","0","0.0%","40.4%","31.7%","27.9%","15.7%","50.0%","34.3%","17919"
"Ronald Acuna Jr.","ATL",".311","0.69","23.0%","31.3%","45.6%","8.1%","24.2%","5","7.4%","0","0.0%","47.0%","33.6%","19.4%","12.9%","48.4%","38.7%","18401"
"Brandon Lowe","TBR",".280","0.78","21.7%","34.2%","44.0%","7.4%","24.1%","10","7.9%","2","66.7%","43.1%","32.3%","24.5%","17.8%","46.9%","35.3%","18882"
"Ryan Jeffers","MIN",".269","1.14","20.8%","42.1%","37.1%","11.9%","23.7%","6","9.0%","0","0.0%","44.7%","33.3%","22.0%","15.1%","45.3%","39.6%","24618"
"Ryan Zimmerman","WSN",".289","1.52","16.1%","50.6%","33.3%","10.0%","23.3%","6","6.6%","0","0.0%","39.4%","42.8%","17.8%","18.3%","42.8%","38.9%","4220"
"Max Muncy","LAD",".257","0.92","20.6%","38.1%","41.3%","7.7%","23.1%","5","3.5%","0","0.0%","43.9%","34.4%","21.7%","12.7%","47.9%","39.4%","13301"
"Nick Castellanos","CIN",".340","1.05","26.7%","37.5%","35.8%","6.0%","22.8%","11","7.1%","0","0.0%","39.4%","36.1%","24.5%","12.0%","47.6%","40.4%","11737"
"Eric Haase","DET",".278","0.93","20.1%","38.5%","41.5%","13.4%","22.7%","7","7.8%","0","0.0%","47.9%","27.8%","24.4%","14.5%","49.1%","36.3%","14111"
