"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Garrett Cooper","MIA",".374","1.90","21.6%","51.4%","27.0%","2.5%","22.5%","3","3.9%","0","0.0%","37.8%","35.8%","26.4%","14.2%","52.0%","33.8%","15279"
"Willson Contreras","CHC",".298","1.49","16.1%","50.2%","33.7%","5.3%","22.3%","5","3.6%","0","0.0%","40.9%","34.1%","25.1%","12.5%","48.4%","39.1%","11609"
"Bobby Dalbec","BOS",".316","0.87","19.5%","37.4%","43.1%","3.5%","22.1%","6","6.1%","0","0.0%","39.3%","34.0%","26.7%","9.9%","52.3%","37.8%","19966"
"Rafael Devers","BOS",".307","1.08","20.5%","41.2%","38.3%","10.5%","22.1%","15","8.1%","1","50.0%","36.4%","39.5%","24.2%","17.3%","42.6%","40.1%","17350"
"Teoscar Hernandez","TOR",".352","1.06","25.5%","38.4%","36.1%","6.8%","21.9%","19","12.3%","0","0.0%","42.6%","31.9%","25.5%","12.9%","50.5%","36.6%","13066"
"Eloy Jimenez","CHW",".293","1.65","22.3%","48.4%","29.3%","10.9%","21.7%","4","5.3%","0","0.0%","40.8%","30.6%","28.7%","15.9%","44.6%","39.5%","17484"
"Max Stassi","LAA",".325","1.33","23.1%","44.0%","33.0%","10.0%","21.7%","4","5.0%","0","0.0%","46.2%","33.0%","20.9%","15.9%","53.8%","30.2%","10059"
"Brett Phillips","TBR",".302","0.83","21.4%","35.7%","42.9%","3.3%","21.7%","3","6.0%","0","0.0%","41.0%","37.5%","21.5%","11.8%","53.5%","34.7%","14735"
"Yordan Alvarez","HOU",".320","0.97","23.1%","37.8%","39.1%","4.5%","21.4%","7","4.7%","1","100.0%","35.2%","37.5%","27.3%","12.9%","47.6%","39.5%","19556"
"George Springer","TOR",".286","0.70","20.8%","32.6%","46.6%","11.7%","21.4%","7","9.7%","0","0.0%","49.3%","31.7%","19.0%","19.5%","46.2%","34.4%","12856"
"Adam Duvall","- - -",".260","0.56","17.3%","29.8%","52.9%","14.9%","21.0%","7","6.9%","0","0.0%","47.4%","35.4%","17.3%","18.7%","45.3%","36.0%","10950"
"Mitch Haniger","SEA",".281","1.07","16.1%","43.4%","40.5%","9.7%","21.0%","11","5.5%","0","0.0%","47.3%","33.1%","19.6%","19.0%","43.8%","37.3%","14274"
"Nelson Cruz","- - -",".286","1.11","18.4%","42.9%","38.6%","12.4%","20.9%","9","5.3%","0","0.0%","41.4%","33.8%","24.7%","16.2%","45.7%","38.1%","2434"
"Austin Riley","ATL",".368","1.04","25.1%","38.1%","36.7%","10.1%","20.9%","19","11.6%","0","0.0%","41.6%","34.9%","23.5%","19.5%","45.1%","35.3%","18360"
"Jesse Winker","CIN",".324","1.26","24.7%","42.0%","33.3%","9.5%","20.7%","7","4.8%","0","0.0%","39.4%","35.6%","25.0%","15.8%","47.7%","36.5%","13590"
"Mitch Garver","MIN",".320","0.68","23.2%","31.2%","45.7%","11.1%","20.6%","1","2.3%","0","0.0%","53.6%","26.8%","19.6%","14.5%","39.9%","45.7%","15161"
"Seth Brown","OAK",".230","0.63","18.6%","31.4%","50.0%","15.5%","20.6%","1","1.6%","0","0.0%","43.3%","35.1%","21.6%","21.6%","44.3%","34.0%","18171"
"Buster Posey","SFG",".349","1.64","25.2%","46.5%","28.4%","2.3%","20.5%","7","4.9%","0","0.0%","34.8%","41.9%","23.2%","15.2%","54.2%","30.6%","9166"
"Ryan Mountcastle","BAL",".297","0.83","22.1%","35.3%","42.6%","8.0%","20.4%","13","9.7%","0","0.0%","39.7%","32.4%","27.9%","16.3%","49.7%","33.9%","18373"
"Luke Voit","NYY",".313","1.02","20.1%","40.3%","39.6%","3.6%","20.0%","3","5.4%","0","0.0%","44.6%","33.8%","21.6%","10.1%","52.5%","37.4%","14811"
"Jose Abreu","CHW",".293","1.33","18.7%","46.4%","34.9%","5.3%","19.9%","10","5.0%","0","0.0%","40.4%","35.6%","24.0%","12.2%","50.3%","37.4%","15676"
"Luis Torrens","SEA",".294","1.68","18.1%","51.4%","30.5%","10.5%","19.7%","6","4.7%","0","0.0%","34.4%","42.4%","23.2%","17.2%","47.2%","35.6%","15905"
"Pete Alonso","NYM",".274","0.90","18.3%","38.8%","42.9%","9.0%","19.7%","12","7.1%","0","0.0%","41.3%","32.0%","26.7%","15.5%","46.6%","37.9%","19251"
"Eugenio Suarez","CIN",".224","0.78","17.1%","36.3%","46.6%","7.6%","19.6%","6","4.9%","0","0.0%","47.2%","31.0%","21.8%","15.6%","49.6%","34.8%","12552"
"Adolis Garcia","TEX",".306","1.07","16.2%","43.3%","40.5%","7.6%","19.6%","18","10.7%","0","0.0%","44.8%","31.2%","24.0%","9.2%","51.9%","38.9%","19287"
"Brent Rooker","MIN",".264","0.93","25.2%","36.1%","38.7%","2.2%","19.6%","4","9.3%","0","0.0%","43.7%","31.1%","25.2%","15.1%","47.9%","37.0%","19627"
"Tyler Naquin","CIN",".318","1.44","20.9%","46.7%","32.5%","8.2%","19.4%","10","7.1%","4","66.7%","45.1%","29.9%","25.0%","14.9%","49.0%","36.0%","13359"
"Albert Pujols","- - -",".223","1.22","15.9%","46.1%","37.9%","9.1%","19.3%","3","2.8%","0","0.0%","50.4%","23.7%","25.9%","17.2%","44.8%","37.9%","1177"
"Matt Olson","OAK",".269","0.91","16.5%","39.8%","43.7%","12.4%","19.3%","8","4.3%","0","0.0%","40.4%","34.6%","25.1%","19.4%","44.3%","36.3%","14344"
"Freddie Freeman","ATL",".321","1.32","24.4%","43.0%","32.5%","3.7%","19.3%","12","5.6%","0","0.0%","37.6%","36.8%","25.7%","11.7%","49.9%","38.4%","5361"
"Yadiel Hernandez","WSN",".318","2.38","22.8%","54.4%","22.8%","2.1%","19.1%","4","3.6%","0","0.0%","33.8%","33.8%","32.4%","9.7%","57.5%","32.9%","19334"
"Manny Pina","MIL",".162","0.81","14.0%","38.5%","47.6%","10.3%","19.1%","1","1.8%","0","0.0%","46.9%","35.7%","17.5%","19.6%","49.7%","30.8%","2829"
"Gary Sanchez","NYY",".230","0.79","17.6%","36.3%","46.2%","12.4%","19.0%","2","2.1%","0","0.0%","53.8%","27.9%","18.3%","15.3%","53.8%","30.9%","11442"
"Tim Anderson","CHW",".372","2.51","22.7%","55.3%","22.0%","1.1%","18.9%","24","10.6%","0","0.0%","37.2%","35.7%","27.1%","13.9%","52.3%","33.7%","15172"
"Bo Bichette","TOR",".339","1.62","20.5%","49.1%","30.4%","6.5%","18.8%","15","6.0%","0","0.0%","29.4%","37.1%","33.5%","14.8%","48.9%","36.3%","19612"
"Andrew McCutchen","PHI",".242","1.00","19.3%","40.3%","40.3%","9.0%","18.8%","10","6.9%","0","0.0%","50.4%","31.7%","17.9%","15.4%","48.2%","36.4%","9847"
"Rhys Hoskins","PHI",".270","0.58","19.8%","29.3%","50.9%","13.2%","18.8%","5","6.0%","0","0.0%","44.2%","32.2%","23.7%","12.7%","53.0%","34.3%","16472"
"C.J. Cron","COL",".316","0.93","19.0%","38.9%","42.0%","8.7%","18.7%","9","6.5%","0","0.0%","40.1%","35.6%","24.4%","17.1%","46.8%","36.1%","12546"
"Ji-Man Choi","TBR",".300","1.15","25.3%","40.0%","34.7%","11.9%","18.6%","2","2.9%","0","0.0%","40.9%","32.2%","26.9%","15.8%","45.6%","38.6%","5452"
"Josh Donaldson","MIN",".268","1.08","17.1%","43.0%","39.9%","12.9%","18.6%","7","4.6%","0","0.0%","47.9%","31.6%","20.5%","12.3%","47.6%","40.2%","5038"
"DJ Peters","- - -",".237","0.80","12.5%","38.9%","48.6%","10.0%","18.6%","4","7.1%","0","0.0%","38.2%","39.6%","22.2%","23.6%","36.1%","40.3%","19348"
"Aristides Aquino","CIN",".253","0.54","17.8%","28.7%","53.5%","18.5%","18.5%","2","6.9%","0","0.0%","49.5%","28.7%","21.8%","24.8%","38.6%","36.6%","15482"
"Jonathan Villar","NYM",".313","1.58","20.7%","48.6%","30.7%","9.2%","18.4%","15","9.7%","0","0.0%","41.0%","30.6%","28.4%","22.2%","48.8%","29.0%","10071"
"Marcus Semien","TOR",".276","0.64","20.8%","31.0%","48.1%","9.4%","18.4%","12","7.6%","0","0.0%","51.3%","29.9%","18.9%","15.1%","48.9%","36.0%","12533"
"Justin Upton","LAA",".254","0.98","14.0%","42.5%","43.5%","11.8%","18.3%","9","9.9%","0","0.0%","45.3%","34.1%","20.6%","16.8%","47.2%","36.0%","5222"
"Jazz Chisholm Jr.","MIA",".319","1.57","20.4%","48.6%","31.0%","8.1%","18.2%","15","9.7%","2","40.0%","40.1%","32.1%","27.8%","17.6%","51.5%","30.9%","20454"
"Hunter Renfroe","BOS",".284","0.90","17.6%","39.0%","43.3%","16.3%","18.0%","10","6.5%","0","0.0%","46.1%","28.7%","25.2%","18.9%","45.1%","36.0%","15464"
"Jake Fraley","SEA",".265","1.14","26.2%","39.3%","34.5%","4.0%","18.0%","6","10.5%","0","0.0%","41.1%","38.4%","20.5%","21.9%","47.9%","30.1%","19260"
"Willy Adames","- - -",".331","0.90","22.8%","36.5%","40.6%","5.0%","18.0%","15","12.0%","0","0.0%","44.4%","32.7%","22.8%","14.0%","48.2%","37.7%","15986"
"A.J. Pollock","LAD",".326","1.03","21.6%","39.9%","38.6%","5.1%","17.8%","17","13.9%","0","0.0%","44.4%","33.7%","21.9%","13.7%","48.7%","37.6%","9256"
"Frank Schwindel","- - -",".348","1.04","19.9%","40.8%","39.3%","15.2%","17.7%","8","9.8%","0","0.0%","40.8%","38.3%","20.9%","24.9%","43.3%","31.8%","15351"
"Chas McCormick","HOU",".341","0.85","21.9%","35.8%","42.2%","5.1%","17.7%","8","11.9%","0","0.0%","42.8%","29.9%","27.3%","11.8%","52.4%","35.8%","19599"
"Danny Jansen","TOR",".233","0.68","24.3%","30.7%","45.0%","20.6%","17.5%","4","9.3%","0","0.0%","60.3%","24.1%","15.6%","17.7%","48.9%","33.3%","16535"
"Evan Longoria","SFG",".305","1.03","18.7%","41.2%","40.1%","6.7%","17.3%","6","7.8%","0","0.0%","38.5%","36.9%","24.6%","7.5%","49.2%","43.3%","9368"
"Jose Ramirez","CLE",".256","0.79","19.2%","35.6%","45.2%","16.0%","17.0%","16","9.6%","1","100.0%","56.8%","27.7%","15.5%","18.3%","41.9%","39.8%","13510"
"Trea Turner","- - -",".362","1.34","21.1%","45.2%","33.7%","9.7%","17.0%","21","9.5%","0","0.0%","37.6%","37.4%","24.9%","17.0%","48.1%","35.0%","16252"
"Brendan Rodgers","COL",".328","1.74","20.0%","50.8%","29.2%","5.6%","16.9%","9","5.8%","0","0.0%","36.1%","35.1%","28.9%","17.4%","44.6%","38.0%","17907"
"Kris Bryant","- - -",".313","0.95","23.4%","37.4%","39.2%","8.1%","16.8%","15","10.6%","0","0.0%","41.3%","36.6%","22.1%","16.8%","47.1%","36.1%","15429"
"Carlos Correa","HOU",".308","1.19","23.6%","41.6%","34.8%","12.9%","16.8%","15","8.1%","0","0.0%","36.7%","35.6%","27.7%","16.9%","46.6%","36.5%","14162"
"Jorge Soler","- - -",".250","0.98","15.3%","41.8%","42.9%","12.3%","16.7%","11","7.0%","0","0.0%","51.3%","30.7%","18.0%","15.3%","47.6%","37.0%","14221"
"Will Smith","LAD",".274","0.68","22.2%","31.5%","46.3%","4.7%","16.7%","8","7.8%","0","0.0%","37.3%","38.6%","24.1%","12.0%","50.6%","37.3%","19197"
"Randy Arozarena","TBR",".363","1.48","17.9%","49.0%","33.1%","10.8%","16.7%","25","14.0%","0","0.0%","41.2%","36.5%","22.3%","18.1%","49.7%","32.1%","19290"
"Alex Kirilloff","MIN",".295","1.67","22.0%","48.8%","29.3%","2.1%","16.7%","2","2.5%","0","0.0%","36.6%","41.5%","22.0%","12.2%","53.0%","34.8%","20325"
"Nathaniel Lowe","TEX",".339","1.99","18.1%","54.5%","27.4%","2.8%","16.5%","15","6.9%","0","0.0%","26.4%","39.9%","33.7%","14.6%","49.7%","35.7%","19566"
"Corey Seager","LAD",".336","1.37","20.7%","45.9%","33.4%","4.1%","16.5%","10","7.5%","0","0.0%","37.2%","37.9%","24.8%","11.4%","47.6%","41.0%","13624"
"Ramon Laureano","OAK",".304","1.24","22.1%","43.0%","34.8%","8.2%","16.5%","7","6.7%","0","0.0%","43.9%","34.0%","22.1%","16.8%","50.8%","32.4%","17128"
"LaMonte Wade Jr.","SFG",".289","0.74","23.3%","32.5%","44.2%","9.1%","16.4%","7","8.6%","1","20.0%","46.9%","31.5%","21.7%","11.4%","51.2%","37.4%","18126"
"Paul Goldschmidt","STL",".331","0.90","23.5%","36.2%","40.3%","10.0%","16.3%","10","5.8%","0","0.0%","39.0%","37.3%","23.7%","12.1%","46.6%","41.3%","9218"
"Luis Robert","CHW",".394","0.99","26.4%","36.6%","37.0%","7.5%","16.3%","8","10.1%","0","0.0%","43.1%","35.2%","21.8%","13.0%","51.4%","35.6%","20043"
"Trey Mancini","BAL",".308","1.54","20.3%","48.3%","31.4%","6.2%","16.2%","10","5.0%","0","0.0%","36.7%","35.3%","28.0%","18.6%","47.3%","34.1%","15149"
"Colin Moran","PIT",".321","1.85","23.4%","49.8%","26.8%","4.8%","16.1%","4","3.5%","1","33.3%","35.5%","38.0%","26.5%","15.0%","54.3%","30.8%","16909"
"Kyle Tucker","HOU",".304","0.76","21.7%","33.9%","44.4%","4.3%","16.1%","7","4.9%","1","50.0%","35.9%","42.3%","21.9%","10.2%","50.6%","39.2%","18345"
"Luis Urias","MIL",".280","1.09","20.7%","41.4%","37.9%","14.7%","16.1%","13","8.3%","0","0.0%","46.6%","34.7%","18.8%","19.0%","46.0%","34.9%","16622"
"Elias Diaz","COL",".249","1.02","19.0%","40.9%","40.1%","16.1%","16.1%","2","1.8%","0","0.0%","39.8%","34.1%","26.2%","20.4%","44.4%","35.1%","11680"
"Daniel Vogelbach","MIL",".255","1.25","20.3%","44.3%","35.4%","10.7%","16.1%","3","4.3%","0","0.0%","34.8%","38.6%","26.6%","13.3%","53.2%","33.5%","14130"
"Ryan McMahon","COL",".306","1.03","24.0%","38.5%","37.5%","4.9%","16.0%","9","6.1%","0","0.0%","30.6%","36.8%","32.6%","12.7%","49.0%","38.3%","15112"
"Paul DeJong","STL",".216","0.81","15.7%","37.6%","46.7%","10.1%","16.0%","6","6.3%","0","0.0%","43.5%","34.1%","22.4%","16.5%","49.0%","34.5%","18015"
"Jonathan India","CIN",".326","1.32","22.5%","44.1%","33.4%","8.3%","15.9%","13","7.5%","0","0.0%","50.8%","31.8%","17.4%","15.7%","50.3%","34.1%","21523"
"Mike Yastrzemski","SFG",".254","0.72","19.3%","33.6%","47.0%","9.5%","15.8%","5","4.4%","3","60.0%","46.6%","34.3%","19.1%","14.4%","55.4%","30.2%","14854"
"Jose Altuve","HOU",".280","1.01","22.3%","38.9%","38.7%","17.9%","15.8%","17","8.6%","2","18.2%","54.4%","31.3%","14.3%","19.0%","50.3%","30.8%","5417"
"Jorge Polanco","MIN",".282","0.72","23.1%","32.1%","44.8%","8.1%","15.8%","13","8.7%","4","44.4%","52.7%","28.4%","18.9%","14.1%","52.5%","33.4%","13152"
"J.D. Martinez","BOS",".340","0.82","23.8%","34.4%","41.9%","6.2%","15.7%","11","7.5%","0","0.0%","34.8%","34.8%","30.4%","10.6%","50.6%","38.8%","6184"
"Dansby Swanson","ATL",".297","0.99","19.9%","39.8%","40.3%","8.7%","15.7%","17","10.0%","0","0.0%","44.1%","32.4%","23.5%","12.6%","54.3%","33.1%","18314"
"Bradley Zimmer","CLE",".347","1.61","22.2%","48.0%","29.8%","2.0%","15.7%","12","14.6%","3","30.0%","40.3%","33.1%","26.5%","14.9%","50.8%","34.3%","16221"
"Kyle Seager","SEA",".226","0.63","17.4%","32.1%","50.6%","13.4%","15.6%","11","7.7%","2","66.7%","43.5%","34.1%","22.4%","16.8%","46.4%","36.8%","9785"
"Ketel Marte","ARI",".352","1.41","22.2%","45.5%","32.3%","13.3%","15.6%","7","5.5%","1","50.0%","41.3%","31.7%","27.0%","12.1%","48.0%","39.9%","13613"
"Matt Chapman","OAK",".272","0.65","14.6%","33.6%","51.8%","13.2%","15.5%","11","9.7%","0","0.0%","40.8%","37.5%","21.7%","19.6%","50.3%","30.1%","16505"
"Cedric Mullins II","BAL",".322","0.95","19.9%","39.0%","41.1%","12.4%","15.5%","17","9.2%","5","50.0%","43.6%","32.4%","24.1%","14.9%","51.9%","33.2%","17929"
"Mitch Moreland","OAK",".256","1.20","17.8%","44.8%","37.4%","10.8%","15.4%","2","2.6%","0","0.0%","43.1%","33.9%","23.0%","10.3%","56.9%","32.8%","3086"
"Lourdes Gurriel Jr.","TOR",".305","1.33","20.8%","45.2%","34.0%","7.3%","15.3%","14","7.7%","1","50.0%","39.3%","34.1%","26.7%","12.8%","54.6%","32.6%","19238"
"Bryan Reynolds","PIT",".345","1.10","25.6%","38.9%","35.5%","3.8%","15.3%","12","7.0%","1","100.0%","42.2%","34.1%","23.7%","15.1%","50.3%","34.5%","19326"
"Brandon Crawford","SFG",".334","0.96","18.8%","39.8%","41.4%","10.1%","15.2%","8","5.3%","1","100.0%","36.8%","37.1%","26.1%","15.4%","53.0%","31.6%","5343"
"Wil Myers","SDP",".333","1.20","17.7%","44.8%","37.5%","8.0%","15.2%","16","11.9%","3","50.0%","43.3%","36.7%","20.0%","18.7%","51.5%","29.8%","10047"
"Alex Dickerson","SFG",".273","0.86","22.7%","35.7%","41.5%","10.5%","15.1%","4","5.4%","0","0.0%","45.9%","31.4%","22.7%","21.7%","46.4%","31.9%","12649"
"Gio Urshela","NYY",".329","1.60","22.4%","47.8%","29.8%","2.2%","15.1%","13","8.7%","0","0.0%","34.6%","38.1%","27.2%","15.4%","56.4%","28.2%","10681"
"Tyrone Taylor","MIL",".277","0.95","15.7%","41.1%","43.2%","11.3%","15.0%","6","7.9%","0","0.0%","45.9%","29.2%","24.9%","17.8%","48.1%","34.1%","13675"
"Austin Hays","BAL",".286","1.12","18.3%","43.2%","38.5%","12.9%","15.0%","12","7.3%","0","0.0%","42.6%","33.2%","24.2%","16.4%","53.0%","30.6%","19363"
"Rougned Odor","NYY",".242","0.79","15.4%","37.4%","47.2%","14.9%","14.9%","2","2.5%","4","44.4%","52.9%","26.0%","21.1%","18.4%","48.4%","33.2%","12282"
"Connor Joe","COL",".323","0.87","28.4%","33.3%","38.3%","9.3%","14.8%","2","4.3%","0","0.0%","42.6%","27.7%","29.8%","15.6%","45.4%","39.0%","16572"
"Sean Murphy","OAK",".257","0.97","19.9%","39.4%","40.8%","12.2%","14.8%","3","2.7%","0","0.0%","45.0%","33.7%","21.3%","18.8%","47.2%","34.0%","19352"
"Dom Nunez","COL",".258","0.65","18.2%","32.1%","49.6%","13.2%","14.7%","0","0.0%","0","0.0%","48.6%","33.3%","18.1%","17.4%","44.9%","37.7%","15055"
"J.D. Davis","NYM",".426","1.29","31.0%","38.9%","30.1%","14.7%","14.7%","7","15.9%","0","0.0%","37.2%","35.4%","27.4%","9.7%","59.3%","31.0%","16219"
"Tom Murphy","SEA",".265","1.07","14.4%","44.2%","41.4%","17.3%","14.7%","6","7.5%","0","0.0%","47.0%","33.7%","19.3%","20.4%","41.4%","38.1%","13499"
"J.T. Realmuto","PHI",".325","1.40","20.3%","46.4%","33.2%","8.6%","14.7%","19","11.7%","0","0.0%","35.5%","34.7%","29.8%","17.8%","46.4%","35.8%","11739"
"Manny Machado","SDP",".290","0.96","20.3%","39.0%","40.7%","13.0%","14.6%","17","9.2%","0","0.0%","42.7%","35.7%","21.6%","15.4%","43.8%","40.8%","11493"
"Ramon Urias","BAL",".369","1.92","24.3%","49.7%","25.9%","12.5%","14.6%","8","8.7%","0","0.0%","31.2%","38.2%","30.6%","18.3%","46.2%","35.5%","18795"
"Jarred Kelenic","SEA",".216","1.03","15.6%","42.9%","41.6%","12.5%","14.6%","1","1.0%","1","100.0%","40.5%","34.5%","25.0%","18.5%","52.2%","29.3%","22558"
"Xander Bogaerts","BOS",".333","1.07","22.7%","40.0%","37.4%","11.4%","14.6%","15","8.9%","0","0.0%","45.6%","31.2%","23.2%","15.8%","48.9%","35.2%","12161"
"Kyle Higashioka","NYY",".200","0.55","20.7%","28.1%","51.1%","18.8%","14.5%","1","2.6%","0","0.0%","45.9%","32.6%","21.5%","17.8%","44.4%","37.8%","5517"
"Travis d'Arnaud","ATL",".260","1.49","22.3%","46.5%","31.2%","2.0%","14.3%","2","2.7%","0","0.0%","37.6%","32.5%","29.9%","11.5%","57.3%","31.2%","7739"
